Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Speed Dating for Open Relationships",5/2/2014,19:00,5/2/2014,19:50,FALSE,"If you are interested in, or already involved in polyamory, and want to meet new available people at the con, join us for a round of poly speed dating!  Speakers include:Dana McNabb","Charlevoix C",PUBLIC
"Safewords, Beginning to Expert",5/2/2014,21:00,5/2/2014,21:50,FALSE,"Learn how and why people use safewords during rough sex play and BDSM. They're codewords to stop activity in case of trauma or the need to discuss what's going on, with no repercussions. Did you know that tops/doms use safewords, too? Practice saying safewords aloud during a brief exercise. Hear about examples when safewords failed and how many people are reluctant to use them, despite their best intent.  Speakers include:Deirdre McDaniel","Board of Trustees",PUBLIC
"Kinky Pervertibles",5/2/2014,21:00,5/2/2014,21:50,FALSE,"Sure you can go out and spend massive bucks on custom and professionally made kinky tools, but you don't need to.  Come find out some great places to find them for cheap, and how to find things that were not intended to be used as one but work even better.  Chances are, you'll never look at a shopping trip the same again.  Speakers include:Metalex","Windover",PUBLIC
"Parasitic Paranormals: Getting Rid of Them",5/2/2014,22:00,5/2/2014,22:50,FALSE,"How to remove unwanted things/beings from life, home and being. Discussion of different practices, spells, and ingredients that help to remove annoyances. After ghost hunting and magically cleansing many homes, I have found different things that work to remove attachments and parasitic paranormals.  Speakers include:Shetan Noir","Hamlin",PUBLIC
"We Have Cookies!",5/2/2014,22:00,5/2/2014,23:50,FALSE,"Come to the dark side -- we have cookies!  It's like an ice cream social for the alt-sex community without the melting.  Bring your favorite cookies, brownies, or other finger-foodable dessert to share and chat with some of Penguicon's finest kinksters, polyamorists, and relationship geeks.  Extra cool points are awarded for homemade treats.  People of any background, sexual interest, or dessert preference are welcome.  Speakers include:Susan","Nicolet",PUBLIC
"BoF: Your Kink Isn't My Kink And That's Okay",5/2/2014,23:00,5/2/2014,23:50,FALSE,"With the unlimited possibilities found in today's culture, how do you determine what your hard and soft limits are without suffering from the fallout of a traumatic experience?   Speakers include:","Board of Regents",PUBLIC
"A Tour of Adult Toys",5/2/2014,23:00,5/2/2014,23:50,FALSE,"See a variety of sex toys from simple and cheap to the cutting edge, and learn the best uses of each along with how to clean and store them. We'll demonstrate different materials, and how to share them with others. Hands-on (but not genitals-on) experimentation after the Q&A.  Speakers include:Deirdre McDaniel","Board of Trustees",PUBLIC
"The Guilty Orgasm: Does Traditional Masculinity Make You Worse In Bed?",5/3/2014,0:00,5/3/2014,0:50,FALSE,"Are men actually worse in bed because of a societal focus on a few sexual acts?  Ferrett Steinmetz reads from his essay 'The Guilty Orgasm,' which received over 2,000 shares and loves, and then moderates a discussion with the audience to see what you think.    Speakers include:Ferrett Steinmetz","Board of Trustees",PUBLIC
"Speed Dating for Open Relationships",5/3/2014,20:00,5/3/2014,20:50,FALSE,"If you are interested in, or already involved in polyamory, and want to meet new available people at the con, join us for a round of poly speed dating!  Speakers include:Dana McNabb","Windover",PUBLIC
"Polyamory 201",5/3/2014,21:00,5/3/2014,21:50,FALSE,"Advanced polyamory topics for practicing polyamorists.  We're skipping basics like 'what is polyamory' to talk about different poly relationship formats and how they tend to fare in different circumstances, how to introduce newbie polyamorists to a stable poly network with a minimum of drama, and more.  Speakers include:Susan","Montcalm",PUBLIC
"Fireplay 101: Burninating The Peasants And/Or Girlfriends",5/3/2014,22:00,5/3/2014,23:50,FALSE,"A hands-on demonstration, showing how to set fire to the ones you love. Much discussion of safety. Much more pretty, pretty flames. Will include demonstrations of fire wands, flash cotton, firecupping, and, if things go drastically wrong, fire extinguishers. (Hint: Things will not go drastically wrong.)  Speakers include:Ferrett Steinmetz","Board of Trustees",PUBLIC
"Kevin Bacon of Love",5/3/2014,22:00,5/3/2014,22:50,FALSE,"For polyamorous folks and those who may be poly-curious, we'd like to offer you an inside look on our lifestyle. Polyamory is the philosophy or state of being in love or romantically involved with more than one person at the same time. Regardless of whether you've been poly for years or have never heard of the term, join us to discuss ethics and styles of poly and 'poly-cules'!  Speakers include:Victoria Stapels, Sunny Smith, Michael McAtee ","Charlevoix C",PUBLIC
"Swinger *or* Poly?  Swinger *and* Poly?",5/3/2014,22:00,5/3/2014,22:50,FALSE,"Many times, the terms 'swinger' and 'polyamorous' get conflated.  Many times, they overlap.  In the world of alternate relationship styles, one can meet swingers who look suspiciously upon polyfolk.  Similarly, one can also meet polyfolk who sneer a bit at swingers.  But why?  Can't we all just get it on? (I mean, get along?)

This session is in audience-participation format (not like that, keep your kilts ON!) and seeks to get some of the common stereotypes out in the open, toward the goal of greater understanding on both sides of the 'aisle.'  The Venn Diagram might well inspire you.  It'll be run by folks who have their feet in both worlds, and it'll include an ask-us-anything time.  Speakers include:Phil Chase, Dana Chase, Amy Joynt","Nicolet",PUBLIC
"Poly Family Life",5/3/2014,23:00,5/3/2014,23:50,FALSE,"Not just for parents! This session will cover the whole of polyamorous family life: how to keep long-term relationships alive and healthy, household management, dealing with extended families, and yes, kids.  If you are a practicing polyamorist or seeking one or more long-term relationships, this session is for you. If you are poly-curious and want to see the different ways that poly families take shape, please feel free to join us.  Speakers include:Susan","Montcalm",PUBLIC
"Violet Wands: From Quackery to Your Bedroom and Beyond",5/4/2014,0:00,5/4/2014,0:50,FALSE,"Tesla Coils in the bedroom? Shocking!  A history and demonstration of Violet Wands from their beginnings as Violet Rays to your bedroom as fun and shocking devices known as Violet Wands. Learn some of the science behind the devices. Ever wondered what it's like to feel high voltage at your finger tips?  Ever wondered if you can take a tesla coil in the bedroom? This is where you'll find out!  Speakers include:Rabbit","Board of Trustees",PUBLIC
