Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Armour Academy: Scale Armour!",5/2/2014,17:00,5/2/2014,18:50,FALSE,"Since the dawn of time, scale armor has been the coolest of all the armors. And now you too can learn how to make it! In this panel, we will teach the basic art of scale mail weaving, and send you home with a small piece of scale armor forged by your own hands!  Kits can be purchased at Thundersteel Armoury in Artist Alley to participate in this panel, but all are welcome to observe!  Speakers include:Alexander Kostrzewa","Board of Regents",PUBLIC
"Learn to Build Your Own Cosplay Armor",5/2/2014,18:00,5/2/2014,18:50,FALSE,"Iron Man, Halo, Mass Effect, Star Wars -- what do all of these have in common? Some of the most impressive looking costumes you will see out there involve armor.  In this panel we will discuss multiple forms and techniques of armor construction for cosplay.  You might be surprised at how simple it can be to create very impressive looking armor from some easy to find materials.  Speakers include:Alex Drummer, Kevin McLeod, Justin Coluzzi","Nicolet",PUBLIC
"Junk Pile Costume Wars",5/3/2014,11:00,5/3/2014,13:50,FALSE,"Dig through the pile of random costume bits and strike gold!  Participants will have two hours to construct a costume using the supplies provided.  Make a thing, win a prize!  Speakers include:Wendy Carson","Charlevoix B",PUBLIC
"Armour Academy: Chainmail!",5/3/2014,16:00,5/3/2014,17:50,FALSE,"Want to learn how to make chainmail? Well, good news! It's not that hard! Well, kind of hard, but not too bad. In this panel, we will teach the traditional European four-in-one weave, used for armor from the Roman Empire through middle ages, and send you home with a small piece forged by your own hands! Kits can be purchased at Thundersteel Armoury in Artist Alley to participate in this panel, but all are welcome to observe!  Speakers include:Alexander Kostrzewa","Board of Regents",PUBLIC
"Face Painting How To",5/3/2014,19:00,5/3/2014,19:50,FALSE,"A professional face and body painter shows you how several beautiful designs can radiate from the eye with different combinations of a few simple strokes. Materials and guidance will be available for hands-on practice, so bring a face or two.  Speakers include:Sarah Metzler","Board of Regents",PUBLIC
"Armour Academy: Samurai Edition!",5/3/2014,20:00,5/3/2014,20:50,FALSE,"Want to make your own samurai armor? Well, let's get started! In this panel, we'll look at the construction of Japanese Kusari – a mesh armor similar to but distinct from European chainmail. During the course of the panel, we'll teach you the basic So Kusari and Hana Kusari patterns, and send you home with a small piece of your very own!
Kits can be purchased at Thundersteel Armoury in the artists alley to participate in this panel, but all are welcome to observe!  Speakers include:Alexander Kostrzewa","Board of Regents",PUBLIC
"Elements of Costuming for Dr. Who",5/3/2014,20:00,5/3/2014,21:50,FALSE,"Trace the history of the Doctor through costuming elements of each one's style, and learn how to mix and match fashions to create your own Dr. Who look.  Speakers include:Justin Coluzzi, Kevin McLeod, Alex Drummer","Nicolet",PUBLIC
"Modding Nerf for Cosplay",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Nerf guns and blasters are an amazing source for cosplay weaponry.  The bright yellow and blue colors they come in, however, might distract from your costume.  In this panel we will discuss and demonstrate how to disassemble a Nerf gun so you can prep it for painting.  We will even show you how to put it back together so it still works.  Speakers include:Alex Drummer, Kevin McLeod, Justin Coluzzi","Charlevoix C",PUBLIC
"The Emperor's New Clothes",5/4/2014,12:00,5/4/2014,12:50,FALSE,"Come learn how to create a costume out of thin air. You can take everyday clothes and items and make them into something cool!  Get tips on dyeing fabrics and taking care of wigs, and lots of ideas for ways to finish your costume. Bring your costume help with last minute adjustments.  Speakers include:Cyndee Richardson","Board of Trustees",PUBLIC
"You Monster! A Special Effects Makeup Demonstration",5/4/2014,14:00,5/4/2014,14:50,FALSE,"Learn how to transform yourself and others into a hideous creatures that will impress your friends and terrify your enemies.  Speakers include:Kat McConnell","Hamlin",PUBLIC
