Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"The Amazing Transparent Man",5/2/2014,16:00,5/2/2014,16:50,FALSE,"'The Amazing Transparent Man' Dr. Peter Ulof, inventor of an invisibility machine, is forced to create a weapon out of it by Maj. Paul Krenner who keeps his daughter prisoner. The machine cannot be completed without materials that are kept safe in a well guarded government facility. Krenner’s plan is to send an invisible man to steel the needed materials but he picks the wrong person for the job — a prisoner!  Speakers include:","Portage Auditorium",PUBLIC
"Webseries and Fan Films: Future of Filmmaking?",5/2/2014,17:00,5/2/2014,17:50,FALSE,"Come join us for a discussion on making webseries and fan films.  Speakers include:Keith Martens, Mary Lynne Gibbs, James Fernandez","Charlevoix C",PUBLIC
"Horrors of Spider Island",5/2/2014,17:00,5/2/2014,18:50,FALSE,"'Horrors of Spider Island' Gary and a group of dancers are flying to Singapore where they’ll perform. The plane crashes in the ocean and Gary and the girls are the only survivors. They barely make it to an island where they find fresh water, and something else…  Speakers include:","Portage Auditorium",PUBLIC
"Rocky Horror Picture Show - The Preshow",5/2/2014,20:00,5/2/2014,20:50,FALSE,"Spend an hour in an.ti.ci.....pation. Enjoy some fan videos and get ready to watch the feature film!  Speakers include:Tim Downing","Portage Auditorium",PUBLIC
"Rocky Horror Picture Show",5/2/2014,21:00,5/2/2014,23:50,FALSE,"'The Rocky Horror Picture Show' Come join us for a strange journey...   Speakers include:Tim Downing","Portage Auditorium",PUBLIC
"BoF: SciFi Movies and Technology",5/2/2014,22:00,5/2/2014,22:50,FALSE,"Which scifi movies have you seen recently?  Which ones have technologies we will be seeing soon?  What technologies do you want to see next?  Speakers include:","Board of Regents",PUBLIC
"A Horrible Sing-A-Long",5/2/2014,23:00,5/2/2014,23:50,FALSE,"'The status is not quo.' 45 minutes of watching and singing along to “Dr. Horrible’s Sing-A-Long Blog.' Costumes welcome!  Speakers include:Shannon Marshall, Maggie Maiville, Caitlynn Poirier","Algonquin D",PUBLIC
"BoF: RHPS",5/3/2014,0:00,5/3/2014,0:50,FALSE,"You've watched the movie and done the dance. Now... discuss!   Speakers include:","Board of Regents",PUBLIC
"Midnight Monster Movies with "Dr. Bob Presents..."",5/3/2014,0:00,5/3/2014,1:50,FALSE,"Dr. Bob Tesla brings his show to PenguiCon! With the help of his lab assistants and his brother, Nikola, Dr. Bob brings you a fun, cheesy movie experience!  Speakers include:Robert Gilbert, Melanie Gilbert, Christopher Shea Massie, Christina Alia Massie, Paul Gilliland","Portage Auditorium",PUBLIC
"Independent Film Block",5/3/2014,9:00,5/3/2014,13:50,FALSE,"A collection of Michigan-Made Movies. Shorts and Features to include: 'Handlebar' a crime drama by Michael McCallum (Feature); 'Captive of a Death Mask' a slasher flick by Slash Proof Productions (Feature); 'Footprints' an apocalyptic short film by Slash Proof Productions (Short); 'Detroit Ghost Busters' a fan-film by Kimberly Howard (short); 'Crosscurrent' a DieselPunk film by Bad Catholic Films (short); 'Moving Mountains' a WWII drama by Michigami Films (short); 'Amish Vengence' a movie trailer parody by Bad Catholic Films. And maybe more!  Speakers include:","Portage Auditorium",PUBLIC
"Filmmaker's Forum",5/3/2014,10:00,5/3/2014,10:50,FALSE,"Open forum for Q&A about filmmaking. Learn how to get started in filmmaking.  Speakers include:Keith Martens, James Fernandez","Hamlin",PUBLIC
"Mystery Spatula Theatre 11",5/3/2014,14:00,5/3/2014,15:50,FALSE,"Mystery Spatula Theater 11, or MST11 for short, is our own fan version of the popular television show Mystery Science Theater 3000. Although more fromage than homage, the MST11 crew still have fun doing what the 'big boys' do.  Speakers include:Matthew Duhan","Portage Auditorium",PUBLIC
"Silent Era Movies",5/3/2014,16:00,5/3/2014,17:50,FALSE,"The science fiction and horror form of movie goes all the way back to the initial days of cinema. Many people know about the big names like Nosferatu and Metropolis, but there are many more movies of significant interest and profound cultural importance to the geek community. This session will explore the common and easily (re)discovered movies from the silent era. Some excerpts (or a whole movie or two) will be shown.   Speakers include:","Portage Auditorium",PUBLIC
"Film Roast",5/3/2014,18:00,5/3/2014,19:50,FALSE,"Go to the movies with Dawn and Greg as they add their own special brand of color commentary (a la MST3K ) to make a bad movie into a good laugh.   

WARNING: May (OK, WILL) include severe laughter, adult language and off-color jokes.  Not appropriate for young children or those who are easily offended,  Ask your doctor if your heart is healthy enough for sex-  if it's not, it probably won't get you through one of our shows, either.  Speakers include:Greg Williams, Dawn Kuczwara","Portage Auditorium",PUBLIC
"The Smithee Awards",5/3/2014,20:00,5/4/2014,0:50,FALSE,"In short, the Smithee Awards are like the Anti-people's Choice Awards. In long, they are an awards ceremony where 95 clips compete against each other (19 classic B-Movie categories, 5 clips per category) for the dubious honor of being the worst of the lot. Stupid Looking Monsters? Worst Science? Bad Acting? We have it all! And the best part is that you get to decide who goes home with 'honors' and who is left in the dust.  Speakers include:Jeannette Quirk, Matthew Quirk, Kevin Hogan, Amy Conlon","Portage Auditorium",PUBLIC
"Plan 9 From Outer Space",5/4/2014,1:00,5/4/2014,2:50,FALSE,"'Plan 9 From Outer Space' After multiple attempts by the government to cover up alien sightings, the aliens decide execute plan 9 - resurrecting dead people as zombies - in an effort to push the government into acknowledging their existence.  Speakers include:","Portage Auditorium",PUBLIC
"The Brain That Wouldn't Die",5/4/2014,8:00,5/4/2014,9:50,FALSE,"'The Brain That Wouldn't Die' Dr. Bill Cortner’s beautiful fiancee, Jan, is decapitated in a car accident. Bill cannot let her go, revives her head and keeps it in his laboratory while looking for a body that could serve as a host. Jan, however, has other plans!  Speakers include:","Portage Auditorium",PUBLIC
"Lost Gems in Media",5/4/2014,9:00,5/4/2014,9:50,FALSE,"Ever have someone tell you about a favorite TV series or book that you've never heard of, then you check it out and wonder why everyone *hasn't* heard of it?  Come share your favorite book/movie/TV show that you feel got less press than it deserved.    Speakers include:Derek Newland","Algonquin D",PUBLIC
"Whedonites Unite! Trivia",5/4/2014,10:00,5/4/2014,10:50,FALSE,"Brush up on your Whedonverse knowledge and join us for a rousing game of trivia based on the creations of the one and only! Buffy to Firefly, Dr. Horrible to Cabin in the Woods, Avengers to Agents of S.H.I.E.L.D. Fabulous prizes await you!  Speakers include:Jennifer Beitzel","Algonquin D",PUBLIC
"Script Writing for Movies",5/4/2014,10:00,5/4/2014,10:50,FALSE,"Aching to write a script for that great movie idea that's been bouncing around in your head? Come get some tips and tricks for how to get started on writing a script.  Speakers include:Keith Martens, James Fernandez","Charlevoix C",PUBLIC
