Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/2/2014,16:00,5/4/2014,16:00,48 hours,"",Mayhem,"Chaos Machine","",'The Chaos machine returns to shape your wildest engineering imagination into a functioning beacon of collective brilliance. Find some old friends or new acquaintances to help build the machine from the ground up! Find it in the lobby!',TRUE,PUBLIC,none
5/2/2014,16:00,5/4/2014,16:00,48 hours,"",Mayhem,"Con Scouts","",'The Nearly Useless Entertainment Team is proud to once again present the Con Scouts.  We will be roaming the halls and room bringing you free entertainment of varying kinds.  If you choose to participate- there might be something you can get from the Scouts.  Ask the Con Scouts about our Badge Program- and try to collect them all!',TRUE,PUBLIC,none
5/2/2014,16:00,5/4/2014,16:00,48 hours,"",Mayhem,"Hot Wheels Auto Show","",'Check out this special Detroit auto show... of hot wheels! Join in at the race track- where you can win a 'Pinks' Ribbon... while they last. On the second floor- near the top of the stairs. ',TRUE,PUBLIC,none
5/2/2014,16:00,5/4/2014,16:00,48 hours,"",Mayhem,"Penguicon Time Line ","",'Find the time line to join in the fun! Use the stickers to mark the year you first came to Penguicon (if you remember) and learn other interesting facts from the convention's history!',TRUE,PUBLIC,none
5/2/2014,16:00,5/4/2014,16:00,48 hours,"",Mayhem,"Ribbon Fairy","",'If you find the Ribbon Fairy- you can trade her a ribbon for a ribbon!',TRUE,PUBLIC,none
5/2/2014,16:00,5/4/2014,16:00,48 hours,"",Mayhem,"Scavenger Hunts","",'Check out the fliers around the hotel for various scavenger hunts! Can you find them all?',TRUE,PUBLIC,none
5/2/2014,16:00,5/4/2014,16:00,48 hours,"",Mayhem,"W.O.W. Live Action Game","",'If you're feeling withdrawal from online gaming this weekend- come join this year's live action World of Warcraft-themed game. Perfect for fans of scavenger hunts or random quests. Keep your eyes open for the gold '!' to start your quest!',TRUE,PUBLIC,none
5/2/2014,16:00,5/4/2014,16:00,48 hours,"",Mayhem,"Wreck This Journal","",''Wreck this journal' by Keri Smith is a social experiment where you destroy a page as interestingly as possible.  It will be floating around the convention. Let's see how much of the journal we can get done as a group! If you find it- do a page or two- then hand it off to someone else. Please return the journal to Operations at the end of con so we can post pictures for everyone to see. Thanks to Keri Smith for donating the book!',TRUE,PUBLIC,none
5/2/2014,16:00,5/4/2014,16:00,48 hours,"",Mayhem,"Zombie Tag!","",'Tag- you're it.  Enjoy eating braaaaaains!  Look out for zombified con-goers trying to “bite” you (with a ribbon- not teeth). ',TRUE,PUBLIC,none
5/2/2014,17:00,5/2/2014,17:50,50 minutes,"Algonquin A",Life,"You Can Juggle!","Jody Raiford",'Juggling class for those who think they can't juggle. You totally can- and we'll show you how. We will have juggling balls on-hand.',FALSE,PUBLIC,none
5/3/2014,14:00,5/3/2014,15:50,1 hour and 50 minutes,"Algonquin A",Action Adventure,"Western Martial Arts Weaponry Demonstration","Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman",'Come see demonstrations in the use of swords- spears- shields- and other western martial arts weapons!',FALSE,PUBLIC,none
5/3/2014,16:00,5/3/2014,16:50,50 minutes,"Algonquin A",Action Adventure,"Board-Breaking Class","Sal Sanfratello",'A fundamental feat of confidence and will- board breaking is one of the first- most dramatic tests of Eastern martial arts.  Join Aegis as we teach you what it takes for you to break a board or two. Take your broken board home with you as proof or your new prowess!',FALSE,PUBLIC,none
5/3/2014,17:00,5/3/2014,17:50,50 minutes,"Algonquin A",Action Adventure,"Western Spear Techniques Workshop","Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman",'Learn to use a spear! This active workshop focuses on techniques of spear drawn from western historical sources. Come dressed and ready to move. There are a limited number of available spaces for this workshop- so please sign up at Ops!',FALSE,PUBLIC,none
5/3/2014,18:00,5/3/2014,18:50,50 minutes,"Algonquin A",Action Adventure,"Throwing and Catching Practice Swords","Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Douglas Tobin, Heather Gutterman",'Learn to throw and catch swords! There will be a short lesson followed by fun and awesome practice. In consideration of safety- we will be using training weapons. There are a limited number of available spaces for this workshop- so please sign up at Ops!',FALSE,PUBLIC,none
5/3/2014,19:00,5/3/2014,19:50,50 minutes,"Algonquin A",Action Adventure,"Sneak Like Ninja, Move With Grace","Sal Sanfratello",'A class on balance- grounding- and silent walking.',FALSE,PUBLIC,none
