, 30050

Mary Lynne Gibbs, 50
 Jim Leach, 50
2 Mello, 250
Adam Nuwer, 170
Alex Drummer, 260
Alex Page, 50
Alexa Albright-Kelley, 50
Alexander Kostrzewa, 270
Amanda Long-Adams, 150
Amanda Robinson, 150
Amara Brighe, 50
Amara Sugalski, 150
Amy Castner, 150
Amy Conlon, 240
Amy Joynt, 50
Andrew Kelley, 170
Angie Rush, 450
Annikki Raiford, 110
Anthony Cholag, 100
Anthony Distel, 100
April Nance, 150
Bill Kolasa, 0
Bill Korsak, 160
Bill Putt, 100
BluRaven C. Houvener, 100
Boaconstructor, 50
Bob Trembley, 590
Brit Burke, 350
Britain Woodman, 0
Bro-Bot, 50
Bruce Webber, 50
CJ Tremlett, 100
Caitlynn Poirier, 410
Cameron Taylor, 110
Carol Thomas, 50
Catherine Shaffer, 160
Cathy Raymond, 160
Chad Crabtree, 100
Charles Davey, 50
Chloe Zrnich, 0
Chris Krieger, 50
Chris Nehren, 170
Chris Roland, 100
Christina Alia Massie, 110
Christine Bender, 150
Christopher Shea Massie, 110
Clay Dowling, 50
Cory Doctorow, 300
Craig Hibbard, 50
Craig Maloney, 160
Cylithria Dubois, 200
Cyndee Richardson, 50
Dana Chase, 50
Dana McNabb, 100
David Carter, 0
Dawn Kuczwara, 160
DeWain Molter, 50
Dean Stahl, 120
Deirdre McDaniel, 150
Derek Newland, 100
Devo Spice, 50
Diana Cramer, 160
Dixon's Violin, 50
Douglas Scholl, 470
Douglas Tobin, 620
Ed Mason, 600
Ed Platt, 250
Emily Gonyer, 50
Eric Merrill, 50
Eric S. Raymond, 320
Erika Carlson, 400
Ernie Cline, 450
Ethan Dicks, 50
Eva Galperin, 450
Ferrett Steinmetz, 460
Frank Dolinar, 110
Fred Lthrop, 340
Gabrielle Gamache-Nettles, 50
Gini Judd, 100
Greg Allard, 110
Greg Williams, 160
Heather Aman, 150
Heather Gutterman, 820
Holly Richardson, 50
Hope Dundas, 50
Jacob Stevens Corvidae, 150
Jake Newman, 340
