Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Throwing Spears",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Learn to throw spears! Spears are among the oldest weapons, and throwing spears has been used in many contexts through history into the modern day. Join us for instruction on technique and practice! Presented by Polaris Fellowship of Weapon Study, a western martial arts school local to Farmington Hills, MI. Spots are limited - please sign up at Ops!  Speakers include:Doug Scholl, Doug Tobin, Taylor Watkins, Michael Spagnuolo","Algonquin A",PUBLIC
"Historical Shields",4/26/2015,12:00,4/26/2015,12:50,FALSE,"Learn to defend against swords and other weapons using a shield! Shields were used extremely commonly throughout history. They differed in manner of construction and materials, which affected the way they were used. In this active and hands on workshop you will handle several types of shields to provide a basis for understanding the considerations behind the techniques. Presented by Polaris Fellowship of Weapon Study, a western martial arts school local to Farmington Hills, MI. Spots are limited - please sign up at Ops!  Speakers include:Doug Scholl, Doug Tobin, Michael Spagnuolo, Matthew William, Jeanine Ecker","Algonquin A",PUBLIC
"Gender Inclusion in Physical Activities",4/26/2015,13:00,4/26/2015,13:50,FALSE,"Gender segregation is often presented as necessary to support and promote female athletes. 'Separate but equal' is inherently unequal and harms the segregated by undermining their inclusion. Like all forms of segregation, gender segregation reinforces harmful stereotypes, problematic binaries, and discrimination. This panel by two female martial-arts instructors and athletes will address how physical activities can be approached to positively support the inclusion of all genders.  Speakers include:Heather Fish, Marie Staver","Charlevoix A",PUBLIC
"SCA Fencing Demo",4/26/2015,14:00,4/26/2015,15:50,FALSE,"Come learn about fencing done through the Society for Creative Anachronism (SCA)! The SCA is a practical historical group that strives to learn about and recreate the arts and sciences of pre-17th century life. Learn how to fence with one sword, two swords, bucklers, cloaks, and more!  Speakers include:Kell Carnahan","Algonquin A",PUBLIC
"Combat Mindset",4/24/2015,17:00,4/24/2015,18:50,FALSE,"Ever wonder what goes through the mind of a person when they're in a fight? What do they think about, and what are they doing when the fight starts? How does one prepare for a fight, any sort of fight? What does the phrase 'stay in the fight' mean? Come learn from a martial artist and veteran of Afghanistan and Iraq all about what goes on inside the brains and minds of people who find themselves in some sort of combat.  Speakers include:Kent Newland","Algonquin A",PUBLIC
"Fighting and Rhythm",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Learn how rhythm applies to fights and fighting, and how you can use or break that rhythm to throw your own brand of dirty tricks into the mix. Will cover hand, stick, knife, and sword.  Speakers include:Kent Newland","Algonquin A",PUBLIC
"Archery in Hollywood",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Robin Hood vs. Katniss Everdeen. Let's take a look at Hollywood's greatest archers and see what they got right and what they got wrong. Learn about what goes on behind the scenes in some of these famous films.  Speakers include:Devon Boling","Portage Auditorium",PUBLIC
"Action Photography",4/24/2015,22:00,4/24/2015,22:50,FALSE,"Dancers suspended mid-air, splashes of water frozen like glass, bullets exploding an apple? Maybe not the last one, but come see what it takes for a photographer to capture those surreal moments.  Speakers include:Devon Boling","Algonquin A",PUBLIC
"Advancements in 3D Printed Firearm Technology",4/24/2015,22:00,4/24/2015,22:50,FALSE,"The last year has seen significant advancements in the capabilities of 3D printed firearms. Continual development of older designs has led to printed firearms with round counts over 1000 with no signs of failure. New actions have been developed which exploit the strengths of 3D printed material. And for the first time, functional 3D printed magazines have been demonstrated. Come get up to speed on the current state of 3D printed firearms, get some hands-on time with some of the latest iterations, and participate in a discussion on the interplay between technology and basic human rights.  Speakers include:ZhuangZi","Algonquin D",PUBLIC
"Close Quarters Combat Martial Arts Demo & Seminar",4/25/2015,8:00,4/25/2015,9:50,FALSE,"Come watch a live martial arts demonstration, then learn the science and geometry of CQC Self-Defense system in a hands on seminar. CQC’s roots come from South east Asian arts such as Kali and Silat combined with Chinese styles such as Wing Chun and Bagua. Learn to defend yourself against punches, kicks, and tackles by applying simple principles of leverage, balance and angling. Spots are limited - please sign up at Ops!  Speakers include:Taqqee Khabir, Ken LaFleur","Algonquin A",PUBLIC
"So You Want to Run a Race",4/25/2015,9:00,4/25/2015,9:50,FALSE,"From Color Races to Zombie Runs to Warrior Dashes, there seem to be races for all different interests. But what if you haven't even done a 5k before? Heck, what if you haven't even run around the block lately? Learn the basics of what is needed to prepare for your first race, from race selection to training and nutrition to the dos and don'ts of race day. Geared towards beginners.  Speakers include:Lana Krolikowski","Charlevoix C",PUBLIC
"Archery Lessons!",4/25/2015,9:00,4/25/2015,12:50,FALSE,"Want to live out the experience of your favorite archers? Join us for a one-hour session where you will receive professional instruction from a level 3 certified JOAD (Junior Olympic Archery Development) coach at a nearby archery range. All ages welcome. USA Archery membership required. Applications will be available before the event for all who sign up. A range fee is required and equipment rentals are available. Spots are limited - please sign up at Ops!  Speakers include:Devon Boling","Lobby [Near Elevators]",PUBLIC
"Geeks with Guns Virtual Range",4/25/2015,10:00,4/25/2015,11:50,FALSE,"Handgun shooting without the noise and recoil! Our virtual range features pistols with the same weight, feel and trigger action of a Glock 17/20, including weighted magazines for 'reloading' exercises, but the only things flying downrange are photons! Professional range instructors can help newbies or experienced shooters alike learn the basics of handgunning in a completely safe environment. Whether you're just learning the basics of shooting, want to maintain your training, or just have some 'shooting gallery' style fun, make the GwG Virtual Range a must-go part of your Penguicon experience.  Speakers include:Stu Chisholm, Rob Reed","Algonquin A",PUBLIC
"Western Martial Arts Demonstration",4/25/2015,12:00,4/25/2015,13:50,FALSE,"Enjoy demonstrations of swords, shields, spears, daggers, and other western martial arts weapons! Polaris Fellowship of Weapon Study teaches self defense using techniques drawn from European and other historical and modern sources. Come join us, ask questions about our techniques, training, sources, and have fun watching!  Speakers include:Doug Scholl, Doug Tobin, Taylor Watkins, Michael Spagnuolo, Matthew William, Jeanine Ecker","Algonquin A",PUBLIC
"Teaching Martial Arts to Vulnerable Populations",4/25/2015,12:00,4/25/2015,12:50,FALSE,"In the US, those most at risk of violence are also those least likely to learn self defense: survivors of trauma and abuse, disabled persons, and those with medical problems that impair sensing, learning, communication, and/or movement. This session instructs teachers of martial arts and self defense on strategies and techniques for effectively working with individuals in these vulnerable populations. Included are approaches to maintaining motivation, adapting techniques and teaching methods for physical differences, dealing with psychological trauma, patterns of victimhood, and more.  Speakers include:Heather Fish, Susan Sons","Nicolet",PUBLIC
"Adventure As A Way Of Life",4/25/2015,13:00,4/25/2015,13:50,FALSE,"Not everyone can get outside of their comfort zone as a matter of course. But that's where the most treasure is. Let's discuss the practicalities and challenges of not depending on a reassuring hobbit hole of stability; the necessary values and priorities; building resilience and flexibility toward change; and estimating risk and courage.  Speakers include:Matt Arnold, Heather Fish, Moshe Yudkowsky, Rathbone the Pirate","Charlevoix A",PUBLIC
"Freerunning/Parkour Academy",4/25/2015,15:00,4/25/2015,15:50,FALSE,"Ever wanted to learn parkour or freerunning? Join up with Phoenix Freerunning as we demonstrate and teach this unique discipline, from basic to advanced exercises. Parkour is a discipline using movement that developed from obstacle course training where runners aim to get from A to B in the most efficient way possible using only the human body and surrounding obstacles. It's a great way to stay active without the boring routine of a work-out!  Speakers include:Eric Zimmerman, Jacob Winslow, Jesse Harrison","Algonquin A",PUBLIC
