Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"20 Years of Pokemon!",4/30/2016,21:00,4/30/2016,21:50,FALSE,"This year marks 20 years of Pokemon! In this panel, we will discuss a brief history of Pokemon, our memories with Pokemon, and its impact on the world. Come join the discussion how Pokemon is the very best, like no franchise ever was!  Speakers include:Christina June","Nicolet",PUBLIC
"Artificial Intelligence in Anime",4/30/2016,18:00,4/30/2016,18:50,FALSE,"Come talk about different way Artificial Intelligence has been presented in Anime over the years. This discussion will include classics all the way through modern day. We'll take a look at how AI presented in Anime has changed over the years as well as some ways it has stayed the same. We'll touch on the good, the bad, and the ugly.  Audience participation is strongly encouraged!  Speakers include:Cassy Sinke, Joshua 'Ren' Marshall","Montcalm",PUBLIC
"Best Fighting Scenes in Anime",4/30/2016,15:00,4/30/2016,16:50,FALSE,"Come enjoy a review of some of the most epic fighting scenes in Anime. We'll include sword fighting, gun fighting, and even an over the top food fighting scene! Audience participation will be encouraged and if you're lucky you may win a prize.  Speakers include:Cassy Sinke","Nicolet",PUBLIC
"BoF: Favorite/Dropped Anime",5/1/2016,13:00,5/1/2016,13:50,FALSE,"Bring your MAL (My Anime List) and discuss with fellow fans what anime is your favorite and why, and which ones you just couldn't keep watching and why. A friendly discussion for all anime geeks to mingle, discuss, and walk away with some new anime to watch!  Speakers include:","EMC I",PUBLIC
"BoF: Manga 2 Anime",4/29/2016,19:00,4/29/2016,19:50,FALSE,"Come talk about some of the best and worst Manga to Anime adaptations.  Which were done well? Which were just torture to watch?  Which were never finished? Why did some turn out amazing and some just flopped? Come discuss this and more with fellow Anime fans!  Speakers include:","EMC II",PUBLIC
"Comic vs. Manga",5/1/2016,12:00,5/1/2016,12:50,FALSE,"This panel highlights the differences and similarities between Comics and Anime, including everything from the influences of each to crossovers and general themes. Audience participation is encouraged!  Speakers include:BluRaven C. Houvener, Cassy Sinke","Hamlin",PUBLIC
"Influence of Anime in Media",5/1/2016,14:00,5/1/2016,14:50,FALSE,"Fans of anime and manga know it's influenced our lives, but what about the other kinds of media we consume? Television, music, and games draw more and more inspiration from anime every day, and not always in obvious ways.  Speakers include:Christina June, Galen Nelson","EMC II",PUBLIC
"My Little Pony: Friendship Is Magic",4/29/2016,20:00,4/29/2016,20:50,FALSE,"Friendship is magic, so come talk with other fans about the MLP show and fandom!  Speakers include:Christina June","EMC V",PUBLIC
"The Different Philosophies of Anime",4/30/2016,19:00,4/30/2016,20:50,FALSE,"In this panel we'll have an open discussion with lots of audience participation concerning the different philosophical and ethical questions Anime can bring to light.  This will include discussions about Death Note, FMA (Full Metal Alchemist), GITS (Ghost in the Shell), and more. Bring an open mind and your thinking caps.  Speakers include:Cassy Sinke, BluRaven C. Houvener, Richard Herrell","Charlevoix B",PUBLIC
"The Heroines of Anime ",4/30/2016,12:00,4/30/2016,12:50,FALSE,"Join our panelists for a discussion of their favorite anime heroines, from Riza to Major Motoko.  Speakers include:Maria Dugan, Cassy Sinke","Nicolet",PUBLIC
"The Works of Miyazaki",4/30/2016,14:00,4/30/2016,14:50,FALSE,"Whether you're already a fan or new to the works of Japanese animation legend Hayao Miyazaki, this discussion, with examples of his work, will have something for you.  Speakers include:Maria Dugan, Cassy Sinke, Sal Palland","Nicolet",PUBLIC
