"How To Throw A Party",5/2/2014,16:00,5/2/2014,16:50,FALSE,"The panelists have thrown many great parties over the years - join them for conversations on how to be a good host, creating atmosphere, and maintaining energy. Bring your own best tips and great party stories.  Speakers include:Sal Sanfratello","Baldwin Board Room",PUBLIC
"Life Hacks: Communication",5/2/2014,17:00,5/2/2014,17:50,FALSE,"Flame wars got you down? This panel will cover hacks for improving interpersonal communication.  Topics include: active listening, nonviolent communication, conflict resolution, consensus decision-making, validation, and common pitfalls and fallacies.  Speakers include:Ed Platt","Baldwin Board Room",PUBLIC
"Writing for the Web ",5/2/2014,18:00,5/2/2014,18:50,FALSE,"Explore the pros and cons of writing for examiner.com and Yahoo’s associated content.  The discussion will compare writing content for the web versus print magazines.  Other topics to be covered include how to build your writing portfolio and setting deadlines for yourself.  Speakers include:Tracy Herrell, Rob Reed","Baldwin Board Room",PUBLIC
"Plotters vs Pantsers – Finding the Storytelling That Works For You",5/2/2014,19:00,5/2/2014,19:50,FALSE,"Some writers are plotters, and can’t proceed until they know how everything ends.  Some writers are pantsers, and they surprise themselves as they go.  How can you figure out which one you are, and how can you harness the strengths of each approach while avoiding the weaknesses?   Speakers include:Ferrett Steinmetz, Michael Cieslak, Jim Leach","Baldwin Board Room",PUBLIC
"BoF: Arduino",5/2/2014,21:00,5/2/2014,21:50,FALSE,"Arduino is the original open hardware controller. Come discuss how you can use it and share your enthusiasm  Speakers include:","Baldwin Board Room",PUBLIC
"Parasitic Paranormals: Getting Rid of Them",5/2/2014,22:00,5/2/2014,22:50,FALSE,"How to remove unwanted things/beings from life, home and being. Discussion of different practices, spells, and ingredients that help to remove annoyances. After ghost hunting and magically cleansing many homes, I have found different things that work to remove attachments and parasitic paranormals.  Speakers include:Shetan Noir","Baldwin Board Room",PUBLIC
"Filmmaker's Forum",5/3/2014,10:00,5/3/2014,10:50,FALSE,"Open forum for Q&A about filmmaking. Learn how to get started in filmmaking.  Speakers include:Keith Martens, James Fernandez","Baldwin Board Room",PUBLIC
"Digging Up The Same Old Ground",5/3/2014,11:00,5/3/2014,11:50,FALSE,"Are there any new stories left, or is everything just a retread of an old idea?  What is a retread, and what is a legitimately new angle?  Speakers include:Sean M. Davis, Ferrett Steinmetz, NIcole Castle","Baldwin Board Room",PUBLIC
"Fun with High-Voltage Toys",5/3/2014,12:00,5/3/2014,12:50,FALSE,"Learn how arcane objects like dekatrons, vacuum tubes, and nixies can make fun toys!  Speakers include:Keith Moore","Baldwin Board Room",PUBLIC
"Reviewing for the Masses",5/3/2014,15:00,5/3/2014,15:50,FALSE,"Dedicated reviewing websites, personal blogs, Amazon, Goodreads... there are endless places online to get recommendations on what to read and what to watch - where is best, for what?  The panelists will discuss the ins and outs of reviewing material on-line.  Speakers include:Janea Schimmel","Baldwin Board Room",PUBLIC
"What About The Happily Ever After?",5/3/2014,16:00,5/3/2014,16:50,FALSE,"There was an insane Internet reaction to the Red Wedding from those who were watching Game of Thrones but hadn’t read it (to the reader's delight).  Is this indicative of an expectation among television and movie audiences that established characters survive?  Has Hollywood created the expectation of a happy ending, even in the harshest of fictional environments?  Is it more acceptable to kill off a character in print?  How do these expectations differ amongst genre fiction?  Speakers include: Jim Leach, Ferrett Steinmetz","Baldwin Board Room",PUBLIC
"Line?  What Line?  Taboos and Speculative Fiction",5/3/2014,17:00,5/3/2014,17:50,FALSE,"Incest, rape, children as warriors, the wholesale slaughter of children... there are many distasteful acts which are performed in speculative fiction.  Is there anything which is still off limits, or can anything be used as a plot device so long as it is germane to the story?  Speakers include:Ken MacGreggor, Sean M. Davis, Ferrett Steinmetz, Nicole Castle","Baldwin Board Room",PUBLIC
"Of Gods, Heroes and Their Foes...",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Did you think 'Thor: The Dark World' was awful?  What would you like to see happen in 'X-Men: Days of Future Past'?  What would you have done differently regarding 'Captain America: Winter Solider'?  If these are questions you think about, then please join us for a rousing discussion of the movies and comics alike!   Interested in learning more about Marvel (and yes, DC) comics?  That's why we're here!  Note: there will be free comics and goodies giveaways!         Speakers include:Lucy Kitchen, Professor X   ","Baldwin Board Room",PUBLIC
"The Importance of Editing and Non-Writing For Would-Be Writers",5/3/2014,19:00,5/3/2014,19:50,FALSE,"Editing is an important part of creating a book, even if it isn't as sexy as, you know, actually writing.  We'll be discussing editing, query letters, and all of the business crap that comes along with doing this for a living.  Speakers include:
Mary Lynne Gibbs, Michael Cieslak","Baldwin Board Room",PUBLIC
"Open Readings",5/3/2014,20:00,5/3/2014,20:50,FALSE,"Join us and read from your book or a favorite book!  Please sign up at Ops.  Speakers include:","Baldwin Board Room",PUBLIC
"BoF: Gamers Looking for Campaigns",5/3/2014,21:00,5/3/2014,21:50,FALSE,"Meet fellow gamers and find new adventures.   Speakers include:","Baldwin Board Room",PUBLIC
"Live: Sunday Morning Linux Review",5/4/2014,9:00,5/4/2014,10:50,FALSE,"Tony, Mat, and Mary record an episode of their popular Linux podcast, the Sunday Morning Linux Review  Speakers include:Mat Enders, Mary Tomich, Tony Bemus","Baldwin Board Room",PUBLIC
"Tarot Q & A",5/4/2014,12:00,5/4/2014,12:50,FALSE,"Learn the not-quite-as-mysterious history of tarot and the basic concepts behind the cards and readings. Bring any questions you might have about tarot!  Speakers include:CJ Tremlett, Alex Page","Baldwin Board Room",PUBLIC
"Pen and Paper Game Design",5/4/2014,13:00,5/4/2014,13:50,FALSE,"Meet local designer Kevin Siembieda and tap his mind for ways to design your own games.  Speakers include:Kevin Siembieda","Baldwin Board Room",PUBLIC
"You Monster! A Special Effects Makeup Demonstration",5/4/2014,14:00,5/4/2014,14:50,FALSE,"Learn how to transform yourself and others into a hideous creatures that will impress your friends and terrify your enemies.  Speakers include:Kat McConnell","Baldwin Board Room",PUBLIC
"BoF: Recent Free Scifi Movies ",5/4/2014,15:00,5/4/2014,15:50,FALSE,"Movie making has become cheaper and easier. There are a number of fairly good quality amateur free movies/videos out there.  Which ones have you seen?  What did you like?  Speakers include:","Baldwin Board Room",PUBLIC
