"Story Creation on the Fly --- An Audience Participation Experiment in Story Telling",5/2/2014,19:00,5/2/2014,19:50,FALSE,"Please join us to create a scifi story! We will start with a few words, sentences or short description, then move around the room. Each person will have a chance to add a bit more to the story. Anyone can choose to skip a turn.  Add a character, kill one off.  Create a new world or new love.  Anything is possible. Non-creative and shy people will be encouraged to participate in a supportive environment.  Speakers include:Gib Nichols","Board of Trustees",PUBLIC
"BoF: Foodie Meetup",5/2/2014,20:00,5/2/2014,20:50,FALSE,"Meet your fellow foodies of fandom!  Speakers include:","Board of Trustees",PUBLIC
"Retro Gaming: Come Play!",5/3/2014,10:00,5/3/2014,15:50,FALSE,"Relive your youth as you play away the hours on a collection of retro gaming systems, including Atari 2600, NES, SNES and many others.   Speakers include:Angie Rush, Brit Burke","Board of Trustees",PUBLIC
"BoF: Story Creation on the Fly --- An Audience Participation Experiment in Story Telling",5/3/2014,17:00,5/3/2014,17:50,FALSE,"Please join us to create a scifi story during this birds of a feather event. We will start with a few words, sentences or short description, then move around the room. Each person will have a chance to add a bit more to the story. Anyone can choose to skip a turn.  Add a character, kill one off.  Create a new world or new love.  Anything is possible. Non-creative and shy people will be encouraged to participate in a supportive environment.  Speakers include:","Board of Trustees",PUBLIC
"Elementary, Dear Watson ",5/3/2014,18:00,5/3/2014,19:50,FALSE,"There has been a murder!  Who did it?  Use your Sherlockian wits and deductive reasoning to solve a murder mystery in a social hors d'oeuvres laden Tea and scones environment.  Dressing up is encouraged.  Find this killer before he kills YOU!  Speakers include:Selina Firecat","Board of Trustees",PUBLIC
"Live Body Paint",5/3/2014,21:00,5/3/2014,23:50,FALSE,"Watch the magic happen as we transform our beautiful model into a work of art! Have you ever thought of becoming a body painter? Have you ever wanted to transform another person into something from your imagination, making them your own creation? Have you ever wanted to become the art yourself? Come and see what it is all about. We will be painting a full-body Doctor Who inspired piece. Stop by throughout the evening and watch the paint come to life. Feel free to take pictures and ask questions of the artists and model.  Speakers include:Jeannie Arquette","Board of Trustees",PUBLIC
"BoF: Homesteading for Begininers",5/4/2014,9:00,5/4/2014,9:50,FALSE,"Come together and share your resources, tips, and skills on living the self-sustaining lifestyle.   Speakers include:","Board of Trustees",PUBLIC
"Basic Silicone Molding and Resin Casting Techniques",5/4/2014,10:00,5/4/2014,11:50,FALSE,"Learn how to make a simple silicone block mold and then cast your very own small sculpture (dragon, cat, or penguin) to take with you! Silicone types and resin types will be discussed as well as troubleshooting.  Speakers include:Melissa Ebbe","Board of Trustees",PUBLIC
" BoF: Why Didn't You Present at Penguicon?",5/4/2014,12:00,5/4/2014,12:50,FALSE,"So, you were interested in talking about something at Penguicon, but decided it was too much work.  Why did you feel that way?  Would it have helped if someone gave you some support?  Would a group project have been of interest?  If you are presenting, what helped you decide to make the presentation?  Let's discuss what we can do to encourage each other to contribute to Penguicon.  We will ask attendees to brainstorm ideas that will encourage more participation. Any thoughts you can bring in will be helpful! The Head of Programming will join in the discussion.   Speakers include:","Board of Trustees",PUBLIC
"Polyphasic Sleep Meetup",5/4/2014,13:00,5/4/2014,13:50,FALSE,"Have you ever tried, or wanted to try, polyphasic (nap-based) sleeping?  Come to this open discussion and talk to other people -- including some long-term polyphasers and the author of the book _Ubersleep_ -- about your experiences, your curiosity, or your doubts.    Speakers include:Marie Staver, Neil Funk","Board of Trustees",PUBLIC
"Diversity in Tech",5/4/2014,14:00,5/4/2014,14:50,FALSE,"Why are tech positions mostly filled by men? What can we do to change this? Join our GoH, Erika Carlson, for this important discussion.   Speakers include:Erika Carlson","Board of Trustees",PUBLIC
"Penguicon Party Planning for Detcon1",5/4/2014,15:00,5/4/2014,15:50,FALSE,"Penguicon will be throwing a two-night room party at Detcon1. Come help with the plans for this most epic of parties!  Speakers include:Janet Gocay, Nuri Gocay, Scott Kennedy, Steve Gutterman","Board of Trustees",PUBLIC
