Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Beginning Cosplay",4/24/2015,16:00,4/24/2015,16:50,FALSE,"These days you can't turn around at a con without seeing someone in costume and they look to be having so much fun! This panel is a primer to help you to join this awesome community. It will help you avoid some common missteps in creation as well as comfort, movement and confidence.  Speakers include:Wendy Carson, John Belden","Board of Governors",PUBLIC
"Junk Pile Wars",4/24/2015,17:00,4/24/2015,19:50,FALSE,"Dig through the pile of random costume bits and strike gold! Participants will have two hours to construct a costume using the supplies provided. Make a thing, win a prize!  Speakers include:Wendy Carson, John Belden","Board of Trustees",PUBLIC
"Sewing 101",4/24/2015,20:00,4/24/2015,21:50,FALSE,"This is a basic fashion sewing to help with the construction of costumes. We will go over various stitching and construction techniques. Stitches will include but are not limited to french, ease, top, open welt, and flat felled. We will go over various zipper installs,a variety of pocket styles, and pleats and tucks. This class will be mostly demo, but if you have a machine of your own feel free to bring it and sew your very own samples - muslin will be provided, but bring your own thread. Spots are limited - please sign up at Ops!  Speakers include:Jeannie Arquette","Board of Trustees",PUBLIC
"Proper Fit of a Corset",4/24/2015,20:00,4/24/2015,20:50,FALSE,"We'll cover a basic history of the corset along with common fitting questions. There will be a variety of different corsets, of different qualities and discuss how they effect fit, and what to look for in purchasing or making a corset.  Speakers include:Jessica Haering-Crutchfield ","Charlevoix C",PUBLIC
"How to Lay a Crepe Wool Facial Hair",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Learn basic hair laying techniques used in special effects and costuming to create the look of inexpensive, realistic facial hair. Techniques will be demonstrated on a volunteer, and supplies will be discussed.  Speakers include:Melissa Ebbe","Board of Regents",PUBLIC
"Taking Flight: Making Moving Bat Wings",4/25/2015,10:00,4/25/2015,11:50,FALSE,"With some pvc pipe, a heat gun, and fabric, flight is possible. At least, the appearance of flight! Come and learn how to make moving wings for any of your cosplay needs or if you're just feeling batty.  Speakers include:Kayla Ray","Nicolet",PUBLIC
"Special Effects Makup: Jello Edition",4/25/2015,11:00,4/25/2015,11:50,FALSE,"Come find out about the cool effects you can pull off using unflavored gelatin as a base.  Speakers include:Kat McConnell, Jeannie Arquette","Board of Regents",PUBLIC
"Penguicon Robot Build",4/25/2015,12:00,4/25/2015,16:50,FALSE,"Come help design and build a robot during the convention. Donations may be accepted depending on the robot design. No skill necessary to help but prior experience would be useful. Useful skills include familiarity with microcontrollers, structural design, costume design, programming, graphic design, and logic!  Speakers include:James Hice, John D. Bell","Maker Space [Board of Directors]",PUBLIC
"Attention to Detail: Taking Your Costume From Good to Great",4/25/2015,13:00,4/25/2015,13:50,FALSE,"The difference between a good costume and a great costume is in the details! That might mean the right foundation garments, or weathering and distressing so that your battle-worn character doesn't look fresh off the armor manufacturer's showfloor. It could be choosing the right materials and the right accessories. Don't forget to perfect your character's look for the best photos, because you're going to want to show this off!  Speakers include:Ruth Suehle","Nicolet",PUBLIC
"BoF: Cosplay Model Figure Illustration",4/25/2015,15:00,4/25/2015,16:50,FALSE,"You spent all night/month/year working on your in-depth cosplay of your absolute favorite character. You get to walk around in it, have some pictures taken, and then set it aside until your next Con...or maybe never again. That's just not good enough! Come and model it for some hopeful artists! Cosplayers and artists of all skill-levels, please join us!  Speakers include:","Algonquin C",PUBLIC
"BoF: Closet Cosplay",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Let's talk about how you can build a costume from what you happen to have on hand. Come share stories about the costumes you didn't know you already had tucked away in the midst of your day to day clothes, or costumes you pulled together in 30 minutes after a run to the hardware store.  Speakers include:","Board of Trustees",PUBLIC
