Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Paint and Take",4/29/2016,16:00,4/29/2016,21:50,FALSE,"We will bring ready-to-paint metal and plastic miniatures, at the cost of $6 per figure. This includes paint, help, and figure.  Some free figures may be had till gone-- 1 per day per person.  Speakers include:Linda Martelle, Dean Martelle","Game Table H, Game Table I",DEFAULT
"Basic Skills for Working with Electronics",4/29/2016,17:00,4/29/2016,17:50,FALSE,"This presentation will cover the very very basics of DC circuit theory and the skills needed to cut and prep wire and then solder it together or to a component.  Speakers include:Christopher Bright","EMC I",PUBLIC
"Sewing: Make a pillow",4/29/2016,18:00,4/29/2016,18:50,FALSE,"Whether you have never even seen a needle and thread, or have been sewing since you were three, come join me as I teach the basics. In this hands-on activity we will create and embellish a pillow. I will teach how to attach buttons, appliquAs, ribbon and decorative trim. I will also teach how to do a basic hand stitch as well as a decorative blanket stitch.  The end result will be a decorative pillow for you to take home.  No experience necessary.  This is a limited attendance event.  Please sign up at Ops.  Speakers include:RainbowRavenX","EMC V",PUBLIC
"Microprocessor Magic",4/29/2016,19:00,4/29/2016,19:50,FALSE,"Add movement, color, sound, and interactivity with a tiny computer system designed for artists and designers. Christopher Bright shows us how to use the Arduino microcontroller to take in information and then express it through lights, sounds, or motion. The potential here is limitless. Arduinos have been used to build opensource EEG machines, heart rate monitors, robotic motion controllers. In this workshop you will create a heart-rate sensor that in turn flashes an LED on time. Easy, and very fun. I will have plenty of micro boards on hand for folks to play with and a selection of kits for sale at dramatically reduced prices compared to retail.  Speakers include:Christopher Bright","Baldwin",PUBLIC
"Open Demos by BeagleBone, Dangerous Things and All Hands Active",4/29/2016,19:00,4/29/2016,22:50,FALSE,"Live demos and highlights for of this weekend's events as the Penguicon Hackerspace spins up for the weekend!  Speakers include:","HackerSpace (317)",PUBLIC
"Dangeous Things",4/29/2016,19:00,5/1/2016,15:00,TRUE,"Featured Guests Dangerous Things will be set up in our Hacker Space throughout the weekend offering RFID implantation services. Please stop by and talk to them for more information and for costs.  Speakers include:Amal Graafstra, Anita Fowler","HackerSpace (317)",PUBLIC
"So Fresh, (Not) So Clean; Getting Dirty Making Soap.",4/29/2016,20:00,4/29/2016,20:50,FALSE,"Reroot, a local producer of all natural hand made soaps and oils, will demonstrate one of the processes they use to make soap. We will touch on how to formulate a soap with the properties you desire and the chemical reactions that turn oils into soap. Come join us in getting dirty to make others clean.  Speakers include:Jonathan Ivar Weyhrauch, Mikhail Shikhmanov","1017",PUBLIC
"Anatomy of a Sewing Machine",4/29/2016,21:00,4/29/2016,21:50,FALSE,"Have a sewing machine, but have no idea how to activate the magic that powers it? Don't have a sewing machine, but are thinking about getting one? This panel will be an absolute from-the-ground-up explanation of how to use, set up, and care for a sewing machine. Bring your own if you'd like, for a more personalized explanation. If time allows, you can do a test-sew on one of my machines, or I'll help you with your own.  Speakers include:Bagel Garrison","EMC V",PUBLIC
"Hands on Soldering and Embedded Programming with All Hands Active",4/30/2016,9:00,4/30/2016,9:50,FALSE,"Get Hands-on with a Penguicon Tradition. All Hands Active members will have kits for sale to solder and program the latest iteration of their Penguicon upgraded badges.   Speakers include:All Hands Active","HackerSpace (317)",PUBLIC
"Build Your Own Satellite!",4/30/2016,10:00,4/30/2016,10:50,FALSE,"The i3Detroit Makerspace has started the design process to build what is likely the first Makerspace-based CubeSat-sized satellite. We will discuss its development so far, design considerations and steps going forward.  Speakers include:Scott Scheraga, Paul Frick","EMC IV",PUBLIC
"Backyard Brains Demo #1",4/30/2016,10:00,4/30/2016,10:50,FALSE,"Neuroscientist and engineer Greg Gage will demonstrate the SpikerBox -- a small rig that helps kids understand the electrical impulses that control the nervous system. He's passionate about helping everyone understand (viscerally) how our brains and our neurons work.  Speakers include:Greg Gage","HackerSpace (317)",PUBLIC
"Dangerous Things RFID Implanations",4/30/2016,10:00,4/30/2016,22:50,FALSE,"Yes, we are turning people into cyborgs. Expect a demonstration of really awesome technology that can help you unlock your doors, phone, make electronic payments, contain your medical information, and all kinds of other fun stuff.  Join Dangerous Things as they implants RFIDs into anyone who wants them in a safe and sterile manner! Please stop by the HackerSpace to ask about costs!  Speakers include:Amal Graafstra, Anita Fowler","HackerSpace (317)",PUBLIC
"Intro to Needle Felting",4/30/2016,10:00,4/30/2016,10:50,FALSE,"Needle Felting! You get to stab things! In this panel, we'll needle-felt a simple flat penguin, suitable for making into pendant/pin/whatever. Materials will be provided. This is a limited attendance event.  Please sign up at Ops.  Speakers include:Bagel Garrison","Hamlin",PUBLIC
"LSDj n' U! A How-To Track and Perform Live with Chiptunes!",4/30/2016,10:00,4/30/2016,10:50,FALSE,"Have you ever been curious to know how chip artists compose music on a classic Nintendo Gameboy? Or even been more curious on how they tweak their tunes during a live performance? Snesei, Dollfin, and McGRANAMAN will not only show you the basics of LSDj and various tips and tricks of the program, but they'll also give insights on how to manipulate the pre-tracked song for live performances. At the end, audience members are invited to try LSDj's LIVE mode to create their own, unique Gameboy tune.  Speakers include:Jacob Dean McGranaghan, Corey Chappell, Garrett Boone","Portage",PUBLIC
"Knitting 101",4/30/2016,11:00,4/30/2016,11:50,FALSE,"Learn how to use two sticks and a piece of string to make works of art!  A pair of needles and yarn will be provided or you can bring your own so you can learn to make things like dishcloths and scarves. This is a limited attendance event.  Please sign up at Ops.  Speakers include:Kelly Vanderwell","EMC V",PUBLIC
"Hands on Soldering and Embedded Programming with All Hands Active",4/30/2016,11:00,4/30/2016,11:50,FALSE,"Get Hands-on with a Penguicon Tradition. All Hands Active members will have kits for sale to solder and program the latest iteration of their Penguicon upgraded badges.   Speakers include:All Hands Active","HackerSpace (317)",PUBLIC
"Beginning Your Home Music Studio",4/30/2016,11:00,4/30/2016,11:50,FALSE,"Filker Tom Smith talks about how to start your own home music studio.  Speakers include:Tom Smith","Nicolet",PUBLIC
"DIY Electric Car Edition",4/30/2016,11:00,4/30/2016,12:50,FALSE,"Come learn about the The Avenger GT-EV an Electric Vehicle build by our featured guest Chad Sinke from SCRATCH.  He'll talk about why he did it, how he did it, and how you can build your own car too!  If you're interested in Electric Vehicles, Engineering, or just awesome DIY projects this is a panel you won't want to miss!  Speakers include:Chad Sinke","Portage",PUBLIC
"i3 Vinyl Tshirts",4/30/2016,12:00,4/30/2016,13:50,FALSE,"i3's Vinyl cutter and Heat Press (shirt press & Mug Press) is coming to Penguicon's Hackerspace!Transfer from a image to sticker, from a sticker to a awesome decoration in your shirt or mug! i3 will also demonstrate the basic functions in our new software aEURoeSure Cuts A LotaEUR?. ItaEUR(TM)s straightforward and interesting!   Speakers include:Yajie Wang","HackerSpace (317)",PUBLIC
"Frankenstuffies",4/30/2016,12:00,4/30/2016,12:50,FALSE,"Come join me in playing 'mad scientist' as we deconstruct stuffed animals, and reconstruct them into new and glorious creations!  Everyone is welcome, though I do ask that parents/guardians stay with children. Basic sewing skills are a plus.  This is a limited attendance event.  Please sign up at Ops.  Speakers include:RainbowRavenX","EMC V",PUBLIC
"Crocheting 101",4/30/2016,13:00,4/30/2016,13:50,FALSE,"Come learn how to crochet!  Bring your yarn and hooks (or some of your stash to help start out new people!). Everyone is welcome to discuss different techniques and stitches. Come learn some new skills or help to teach others new skills.  Speakers include:Shetan Noir","EMC I",PUBLIC
