Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Conflict in the Garden",4/24/2015,17:00,4/24/2015,17:50,FALSE,"Gardens project a peaceful image, but having one can lead to a struggle against nature, pests, family members and even yourself. We'll talk about methods of cultivating peace in gardening, including Integrative Pest Management, low maintenance gardening, choosing beneficial and native plants, easy vegetable plants, and self-motivation.  Speakers include:Janice Leach","Hamlin",PUBLIC
"Homesteading for the Beginner ",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Interested in learning how to live a more self-sustaining life?  Come and see how you can get started on the homesteading path from two experienced homesteaders.  Learn how they got started and what they have found to work.   Speakers include:Dan Eakin, Matthew Grieshop","Board of Governors",PUBLIC
"Farm Detroit: The Michigan Urban Farming Initiative",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Join us for an overview of the story behind the Michigan Urban Farming Initiative, an in-depth explanation of each of its 15 different projects, and overall site development plan. Themes include: Detroit, blue & green infrastructure, social innovation, and social entrepreneurship.  Speakers include:Tyson Gersh","Montcalm",PUBLIC
"DIY Non-Profit: How to Structure a Non-Profit Using Open Source Technology",4/25/2015,11:00,4/25/2015,11:50,FALSE,"In an increasingly competitive market, the non-profit sector is undergoing a paradigm shift. Traditional charity models (i.e. foundation funding, annual giving, estate planning, million dollar grants, bake sales, etc.) are quickly becoming irrelevant, but with increasing access to open-source technology, so too is the barrier to entry for running a successful non-profit. This presentation will focus on outlining best-practices for using free technology to build a sustainable organization from the ground up. Case studies will include the Michigan Urban Farming Initiative and will cover social media, crowd-funding, task-management software, web development, geomapping, 3D & graphic design, and industry secrets.  Speakers include:Tyson Gersh","Charlevoix C",PUBLIC
"Small and Mid-Scale Chicken Production",4/25/2015,12:00,4/25/2015,12:50,FALSE,"Overview of Three Brother's Farm and orchard egg laying and meat bird operations. Topics will include: brooding chicks, styles of outdoor housing, chicken processing and marketing and ideas on how to integrate chickens into plant agricultural systems.  Speakers include:Matthew Grieshop","Montcalm",PUBLIC
"Beekeeping for Sustainable Farming and Homesteading",4/25/2015,13:00,4/25/2015,13:50,FALSE,"An introduction to beekeeping for homesteading.  Learn the tools of the trade, best practices, and harvesting techniques.    Speakers include:Dan Eakin","Board of Governors",PUBLIC
"Vermicomposting",4/25/2015,14:00,4/25/2015,14:50,FALSE,"Worms are our friends, especially when they help us get rid of the mountians of compostable trash in our lives.  Learn how to keep your worms happy and your compost pile healthy.   Speakers include:Dan Eakin","Board of Governors",PUBLIC
"Free Geek in the Motor City or How to Recycle for Fun and Profit",4/25/2015,14:00,4/25/2015,14:50,FALSE,"Come learn the story of Motor City Free Geek, a volunteer driven organization dedicated to the repair and distribution of computers, responsible recycling of electronic waste, and teaching of free and open source software. Meet some great people and discover how you too can take part in this effort to work for a sustainable future.   Speakers include:Ken Grundberg","Charlevoix C",PUBLIC
"Rethinking Urban Spaces",4/25/2015,15:00,4/25/2015,17:50,FALSE,"We'll talk about the types of lands used (single vacant parcel, blighted multifamily flat, commercial space) and what is legal. We'll use three examples: An Urban Farm, A Shipping Container homestead retrofitted on a preexisting blighted bungalow, and a Retention pond created from the basement of a blighted home. Participants will break into groups to come up with novel ideas for repurposing urban infrastructure together. Maybe we can come up with some truly innovative project ideas for real world use!  Speakers include:Tyson Gersh","Montcalm",PUBLIC
"12 Uses for a 5-Gallon Bucket in the Garden",4/25/2015,17:00,4/25/2015,17:50,FALSE,"Lots of fun surprises and ideas for making use of a 5 gallon bucket for a variety of tasks and purposes. 5 gallon buckets are readily available in stores or repurposed by gardeners of all skill levels to become everything from storage to planters.  Speakers include:Janice Leach","Charlevoix A",PUBLIC
"How to Get Kids to Fall in Love with Gardening",4/26/2015,14:00,4/26/2015,14:50,FALSE,"Gardening together is a great activity for adults and children in home or school garden settings. What factors lead to success? This presentation will focus on positive relationships with gardeners/adults, being encouraged in curiosity and growing confident in knowledge, and exploring through cooking and eating simple foods.  Speakers include:Janice Leach","Hamlin",PUBLIC
"BoF: Homesteading",4/26/2015,15:00,4/26/2015,15:50,FALSE,"Come and share your homesteading experiences!  Speakers include:","Board of Regents",PUBLIC
