Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Game Bangers, the D&D Parody Webseries Episodes 1-3",4/24/2015,16:00,4/24/2015,17:50,FALSE,"Did you enjoy 'The Guild'? Did you love 'Gamers'? Then you'll definitely love this webseries! In the not-so-distant future, D&D-Style Gaming has been made illegal. Come check out this Michigan-Made show that's full of gamer humor, medieval combat and cop-show parody, but also has a compelling story-arc throughout the season. The writer/director will be on-hand, so be prepared to ask questions! For aspiring film-makers and fans alike.  Speakers include:Keith Martens","Portage Auditorium",PUBLIC
"How is Game of Thrones Breaking the Rules of Story Telling?",4/24/2015,18:00,4/24/2015,18:50,FALSE,"Main characters die, the popular characters never win, and our expectations are thwarted at every turn. How has it become so popular?   Speakers include:Jeannie Szarama
Ferrett Steinmetz","Hamilin",PUBLIC
"Archery in Hollywood",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Robin Hood vs. Katniss Everdeen. Let's take a look at Hollywood's greatest archers and see what they got right and what they got wrong. Learn about what goes on behind the scenes in some of these famous films.  Speakers include:Devon Boling","Portage Auditorium",PUBLIC
"Remembering Leonard Nimoy",4/24/2015,20:00,4/24/2015,20:50,FALSE,"As Mr. Spock on Star Trek, Leonard Nimoy created a character that is still influencing not only pop culture but scientific and space research. As a man, we have learned he is multi-talented and an ideal many of us hope our icons can live up to. Let us remember the man who was and was not Spock.  Speakers include:Jeannie Szarama, Mark Oshiro, Jen Talley","Nicolet",PUBLIC
"BroMances Through History",4/24/2015,20:00,4/24/2015,20:50,FALSE,"What is a 'bromance'? 'Guy Love'? Walk with us through cinema history as we highlight the evolution of the bromance. From Felix & Oscar, Wayne & Garth, through Harold & Kumar, we will highlight through film that it is ok to have a 'hetro-lifemate'.  Speakers include:Shannon Marshall, Maggie Maiville","Portage Auditorium",PUBLIC
"BoF: But is it Sci-Fi?",4/24/2015,21:00,4/24/2015,21:50,FALSE,"An open discussion about recent works which use Science Fiction tropes, but which are not generally considered to fall into the umbrella of the science fiction genre. What defines genre fiction, and why are some works considered too 'mainstream?' Why did so many sci-fi fans dislike The Time Traveller's Wife?  Speakers include:","Board of Regents",PUBLIC
"More Than Human Vid Show",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Come watch an awesome selection of fanvids (music videos created by fans) in some of your favorite fandoms (like Battlestar Galactica, Pacific Rim, Terminator: The Sarah Conner Chronicles, the Marvel Cinematic Universe, etc.) themed around the con's unofficial theme of human augmentation!  Speakers include:Julie Winningham","Portage Auditorium",PUBLIC
"Dawn and Greg's Film Roast",4/24/2015,22:00,4/24/2015,23:50,FALSE,"Go to the movies with Dawn and Greg as they add their own special brand of color commentary (a la MST3K) to make a bad movie into a good laugh.   
WARNING: May (OK, WILL) include severe laughter, adult language and off-color jokes.  Not appropriate for young children or those who are easily offended,  Ask your doctor if your heart is healthy enough for sex - if it's not, it probably won't get you through one of our shows, either.  Speakers include:Greg Williams, Dawn Kuczwara ","Portage Auditorium",PUBLIC
"BoF: But is it Horror?",4/24/2015,23:00,4/24/2015,23:50,FALSE,"An open discussion about recent works which use Horror tropes, but which are not generally considered to fall into the umbrella of the horror genre. What defines genre fiction, and why are some works considered too 'mainstream?' Does the presence of a supernatural being automatically qualify something as horror?  Speakers include:","Board of Regents",PUBLIC
"How to do Dystopia",4/25/2015,10:00,4/25/2015,10:50,FALSE,"The Hunger Games, Divergent, Mad Max -- dystopian settings are populating books shelves and movie theaters, especially when it comes to the Young Adult market. The panel will discuss the popularity of the dystopian future and what makes one believable.  Speakers include:Sarah Hans, Janea Schimmel, Sean M. Davis, Steven Saus","Hamilin",PUBLIC
"How To Be A Critic: Writing Reviews for Fun and Profit",4/25/2015,12:00,4/25/2015,12:50,FALSE,"Do you like to read, watch movies and television, play video games, and listen to music? Of course you do! Do you want to share your opinions about what you have read, watched, played, or listened to? Why not? Would you like to get paid, or at least be able to read/watch/play/listen to new material for free? The panelists will discuss the ins and outs of writing reviews, finding or building platforms for your reviews, and where to acquire material to review.  Speakers include:Michael Cieslak, Janea Schimmel, Charlie Jane Anders, Mark Oshiro","Charlevoix B",PUBLIC
"Midnight Monster Movies with Dr. Bob",4/25/2015,12:00,4/25/2015,15:50,FALSE,"Midnight Monster Movies with Dr. Bob is a free midnight movie experience at the Gateway Film Center in Columbus, OH. On the second Saturday of every month, Dr. Bob brings horror host hi-jinks, William Castle-style gimmicks and science experiments to the audience. At Penguicon, we will present Christopher R. Mihm's 'It Came From Another World!' This film is a loving send-up of the alien invasion films of the 1950s. If you are a fan of 'The Lost Skeleton of Cadavera,' you'll LOVE this one!  Speakers include:Dr. Bob Tesla, Nurse Feratu, Sirhc, Skully","Portage Auditorium",PUBLIC
"Game Bangers, the D&D Parody Webseries Episodes 4-6",4/25/2015,16:00,4/25/2015,17:50,FALSE,"Did you enjoy 'The Guild'? Did you love 'Gamers'? Then you'll definitely love this webseries! In the not-so-distant future, D&D-Style Gaming has been made illegal. Come check out this Michigan-Made show that's full of gamer humor, medieval combat and cop-show parody, but also has a compelling story-arc throughout the season. The writer/director will be on-hand, so be prepared to ask questions! For aspiring film-makers and fans alike.  Speakers include:Keith Martens","Portage Auditorium",PUBLIC
"Rejection: Dealing with the Dark Side of a Creative Life",4/25/2015,17:00,4/25/2015,17:50,FALSE,"For every book that is accepted, painting that is sold, or movie that is made, there are a slew which are not. The panel of artists from various disciplines will share their mechanisms for coping with rejection and relate what they do to keep pressing on.  Speakers include:Patty Templeton, Rachael Acks, Mary Lynne Gibbs, Sarah Hans, Ken MacGregor, Leslie Gulvas, Steven Saus, Jim Leach","Board of Governors",PUBLIC
"50 Years of Serling's 'Twilight Zone': Still As Relevant as Ever",4/25/2015,17:00,4/25/2015,17:50,FALSE,"More than five decades after its premiere, 'The Twilight Zone' is as relevant as ever. That staying power is almost as eerie as the show itself, considering the world has long since shifted past the Cold War. Yet, much of its commentary remains poignant. Taking down selfishness, narcissism, paranoia, standards of beauty, or whatever the weekly target may have been, Rod Serling and his writers would often refocus the lens on society itself, with the suggestion that we are the true monster.  Speakers include:Nicole Castle","Hamilin",PUBLIC
"Winter Is Coming",4/25/2015,17:00,4/25/2015,17:50,FALSE,"We'll take a look at the past seasons of Game of Thrones, the books, and the current season. Has the TV series lived up to the books? Will you continue watching the new season? What are you looking forward to seeing in future episodes?  Speakers include:Jeffrey Beeler","Windover",PUBLIC
"2014: The Year in Review for Comics and Movies",4/25/2015,20:00,4/25/2015,20:50,FALSE,"The early success of the Spider-Man movies and the X-Men movies in the early 2000s opened the flood gates for more superhero movies to make it to the big screen. Following the success of The Avengers, Iron Man, Thor, and the Guardians of the Galaxy, there are even more movies on the horizon. We will have an open forum discussion on the upcoming movies including Avengers 2, Thor 3, Captain America 3, Ant-Man, and the coming Justice League movie. We will also discuss the all-important, all-consuming importance of story development and the “bad guys”.  Speakers include:Professor X, Lady Ana","Charlevoix C",PUBLIC
"The Smithee Awards",4/25/2015,20:00,4/25/2015,23:50,FALSE,"The Smithee Awards watches Bad Movies all year long, then clips the best bad bits from the films and pits them together cage match style to go head to head (to head to head to head) with each other. 19 typical B-Cinema categories (Worst Science!, Stupidest Looking Monster!, Acting Appropriately Stupid! And many more!), 5 clips per category. Come for the whole show (Most Ludicrous Premise through Worst Picture) or come for a couple categories. Either way, if you even like bad films a little, we think you'll enjoy The Smithee Awards more. The Smithee Awards are not particularly child safe as some of the clips contain nudity, violence or strong language, often all in the same clip.  Speakers include:Jeannette Quirk, Matthew Quirk, Amy Conlon, Kevin Hogan ","Portage Auditorium",PUBLIC
"The Walking Dead: A User Friendly Guide to the Zombie Apocalypse",4/25/2015,21:00,4/25/2015,21:50,FALSE,"This panel session will be an open discussion forum on the success of the “Walking Dead” series and some of the flaws and mistakes in the series as well. We will go into classic questions of survival during the zombie apocalypse. Where do you go? Where do you get resources? When do you dispatch your neighbor Fred who may or may not be a zombie? We’ll answer all of these questions and more at the panel session!! Don’t miss it.  Speakers include:Professor X, Lady Ana","Charlevoix B",PUBLIC
"BoF: Sherlocked!",4/25/2015,22:00,4/25/2015,23:50,FALSE,"Modern Sherlock Holmes has addicted much of sf fandom and pro-dom. Join fellow fans for on open discussion of BBC's Sherlock 2010-2014. Includes s3 spoilers. We will ask up front if participants would prefer to avoid discussion of s4 spoilers.  Speakers include:","Board of Regents",PUBLIC
"Scriptwriting Tips",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Aching to write a script for that great movie idea that's been bouncing around in your head? Come get some tips and tricks for how to get started on writing a script.  Speakers include:James Fernandez, Rachael Acks, Mary Lynne Gibbs","Board of Governors",PUBLIC
"The Trials and Tribulations of the Artist's Lifestyle",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Join BluRaven C. Houvener (writer and illustrator of the Webcomic It's Just Another Day) and Gabrielle Nettles (Founder of Bad Catholic Films LLC) for another year of laugh out loud mayhem as they regale you with tales of success and failure that they've faced reaching towards fame and fortune. Comments and questions are encouraged!  Speakers include:Jennifer Hamilton, Gabrielle Nettles, BluRaven Houvener","Portage Auditorium",PUBLIC
