Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Flavored Popcorn!",4/24/2015,18:00,4/24/2015,20:50,FALSE,"Learn how to mix ingredients and seasonings to make various flavors of popcorn in this three-hour drop-in demo. Flavors can range from the usual- salt-and-butter and carmel corn - to the more adventurous- chili garlic and sea salt and vinegar!  Come learn some tips and tricks and enjoy some tasty popcorn!  Speakers include:Marcus Hauser","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"LN2 Fantasy and Science Fiction Ice Cream",4/24/2015,20:00,4/24/2015,21:50,FALSE,"Liquid nitrogen 'ice cream' featuring flavors found in your favorite Fantasy and Science Fiction Universes: Butterbeer, Pangalactic Gargleblaster, and Sonic Screwdriver. These flavors all include alcohol - 21+ only.  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landrau, Jen Hamilton","ConSuite",PUBLIC
"Penguicon Coffee Ritual",4/25/2015,9:00,4/25/2015,9:50,FALSE,"A solemn celebration of caffeination in our time-honored Penguicon tradition.  Speakers include:Matt Arnold","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"Deconstructing Banana Bread",4/25/2015,10:00,4/25/2015,10:50,FALSE,"A talk about how varying different ingredients changes different aspects of the final product, as demonstrated using Grandma's banana bread recipe as a baseline.  Speakers include:Leigh Mileur","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"Open Soda Demo",4/25/2015,11:00,4/25/2015,11:50,FALSE,"Watch as Bill and Anthony actually make a two-liter of soda during a live demonstration. They'll explain how to make it, why they use different processes, and take suggestions for flavors from the audience.  Speakers include:Bill Putt, Anthony Distel","ConSuite",PUBLIC
"PenguiPasta With Some Sauce Bosses",4/25/2015,11:00,4/25/2015,12:50,FALSE,"Fresh pasta, tomato and alfredo sauce, all made from scratch. Simple ingredients, easy to do, etc etc etc.  Speakers include:Andy Amsdill, Alyssa Trimmer, Matt Steiner, Kattni Rembor","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"LN2 Inclusive Ice Cream",4/25/2015,13:00,4/25/2015,13:50,FALSE,"Liquid nitrogen 'ice cream' made with dairy and/or sugar alternatives (soda slushies, soy milk, coconut milk, agave nectar, stevia). Alternative ingredients also available at other LN2 sessions, just ask!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landrau, Jen Hamilton","ConSuite",PUBLIC
"Intro to Homebrewing Beer",4/25/2015,13:00,4/25/2015,13:50,FALSE,"In this panel, we'll share various styles of homebrewed beer with the participants while briefly going over the science behind brewing. Participants will then learn of the various methods, ingredients and equipment they can use to brew their own beer, gearing up for May 3rd - National Homebrew Day! 21+ please  Speakers include:Joe Rapp","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"LN2 Improvisational Ice Cream",4/25/2015,14:00,4/25/2015,15:50,FALSE,"Liquid nitrogen 'ice cream' made with flavors we have on hand! Feeling creative? Speak up and we'll see what we can do!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landrau, Jen Hamilton","ConSuite",PUBLIC
"You'll Roux The Day!",4/25/2015,14:00,4/25/2015,14:50,FALSE,"Many dishes in traditional French cuisine start with a roux- learn how to build this base and see some of the fantastic directions it can go. Things like gumbo and French onion soup!  Speakers include:Alyssa Trimmer, Matt Steiner, Michael McAtee","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"Cooking With the Con Chair: Sushi!",4/25/2015,16:00,4/25/2015,16:50,FALSE,"Our illustrious Con Char and indefatigable Head of Programming take an hour out from their real passions (Con - duh!) to share one of their other passions - sushi!  Speakers include:Janet Gocay, Nuri Gocay","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"The Brown Liquors",4/25/2015,17:00,4/25/2015,17:50,FALSE,"What's the difference between Bourbon and Scotch? Is Tennessee whiskey any different from Irish? How? Why? Come hear how these different 'Brown Liquors' are made, and what makes them unique from one another. And while your at it, find out for yourself by sampling a little of each.Must be 21+ to participate. Spots are limited - please sign up at Ops!  Speakers include:Dawn Kuczwara, Greg Williams","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"Cheese, Glorious Cheese",4/25/2015,18:00,4/25/2015,18:50,FALSE,"Shannon and Maggie have based their entire relationship on cheese. Come sample their favorites and learn how to pair the stinkiest of Gorgonzolas to the sharpest of Cheddars.  Speakers include:Shannon Marshall, Maggie Maiville","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"Mixology",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Cocktails in bars can be overly sweet, insipid, and not very interesting. But a well-made classic cocktail is a revelation. Learn about craft cocktails, including how to mix your own drinks at home and how to order a drink you’ll really like in a bar. 21+ only  Speakers include:Tammy Coxen","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"Rethinking Your Food Plate",4/26/2015,8:00,4/26/2015,8:50,FALSE,"A meal doesn't have to have meat to be tasty. Learn how to reduce your carbon footprint, cook for your annoying vegetarian friend, season with more than just salt, and participate in meatless Mondays.  Speakers include:Maggie Maiville, Shannon Marshall","ConSuite",PUBLIC
"What the Heck is Switchel?",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Switchel is also called swizzle, ginger-water, and haymaker's punch, a ginger infused sweet and sour drink (think spiced lemonade). Since the 16th century, this drink has been used by farm hands and travelers to combat thirst. It is currently experiencing a renaissance at farmers markets as a nutrient dense alternative to sports drinks. At this class we will walk through making a batch of one recipe and several other regional variants will be available for sampling.  Speakers include:Hanna Christiansen","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"LN2 Sunday Brunch Ice Cream",4/26/2015,10:00,4/26/2015,11:50,FALSE,"Ice cream made with liquid nitrogen, for a Sunday brunch! Flavors will include egg custard, orange, coffee, and cheesecake with a variety of toppings. Alternative ingredients available; we can make some non-dairy or sugar-free!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landrau, Jen Hamilton","ConSuite",PUBLIC
"Homemade Herbal Butters, Oils, and Vinegars",4/26/2015,10:00,4/26/2015,10:50,FALSE,"One fast way to add big flavor to food is by using herb infused ingredients. Come learn a few simple techniques for making your own delicious concoctions; sample sweet, savory and spicy combinations while you are here; leave with ideas and several recipes to experiment with later.  Speakers include:Hanna Christiansen","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"DIY Infusions and Liqueurs",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Come see techniques for making homemade infusions and liqueurs! Techniques involving fruit, herbs and spices, alcohol bases, and sweeteners will be included. Must be 21+ to participate.  Speakers include:Heather Fish, Nuri Gocay","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
"Dark Chocolate Around The World",4/26/2015,12:00,4/26/2015,12:50,FALSE,"What makes one chocolate different from others? It's not just how much cocoa or sugar it contains or how it's processed. Different varieties of are grown in different parts of the world, and sometimes it's the type of beans make for different flavor qualities. Join Cathy and Eric Raymond for a tasting session designed to show you how to tell West African chocolate from Ecuadorian.  Speakers include:Cathy Raymond, Eric Raymond","Food  

THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE

 [Room 517]",PUBLIC
