Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Arkham Horror",4/30/2016,14:00,4/30/2016,14:50,FALSE,"A cooperative adventure game themed around H.P Lovecraft's Cthulhu Mythos. It's up to the Investigators to prevent one of the eight Ancient Ones from breaking into our world. During the course of the game, players will upgrade with skills, allies, items, weapons, and spells. It's up to the players to clean out the streets of Arkham by fighting many different types of monsters, but their main goal is to close portals to other dimensions that are opening up around town. With too many portals open the Ancient One awakens and the players only have one last chance to save the world. Defeat the Ancient One in combat!  Speakers include:Cory Tebo","Lobby",DEFAULT
"Authentic Pirate Games",4/30/2016,14:00,4/30/2016,14:50,FALSE,"Learn several card games and board games from the late 17th and early 18th centuries.  Speakers include:Rathbone the Pirate","Lobby",DEFAULT
"DemonLobster.com presents: 8 Player Super Smash Bros for the WiiU",5/1/2016,10:00,5/1/2016,12:50,FALSE,"Take a load off and smash it up with your fellow Penguinnites in a little 8-player Super Smash Bros! All items will be on and matches will be set to three minute timed battles.The rules are strictly for fun and all are welcome. Positive and friendly attitudes are highly encouraged!  Speakers include:Jonathon Hickey","Nicolet",DEFAULT
"G33K Atho10n 2.0",5/1/2016,14:00,5/1/2016,14:50,FALSE,"Come play an open source or retro game while performing an exercise! See if you can play a platform game with a game controller while squatting, or perform a 1 Arm Row with a band with 1 hand and play a retro shooter game that uses the directional buttons on a gamepad on the other hand. The player with the highest number of reps wins. An awesome way to experience somewhat obscure, yet awesome console and PC games, while burning off some con-calories at the same time.  Speakers include:William E. Bowen","Algonquin A",DEFAULT
"Hakosot",5/1/2016,14:00,5/1/2016,14:50,FALSE,"'SAVE, YOUR, DIXIE CUPS, 'CAUSE WE'RE GONNA PLAY HAKOSOT! SAVE, YOUR, DIXIE CUPS, 'CAUSE WE'RE GONNA PLAY HAKOSOT!' Grab all your friends, and play this game of singing while passing cups.  Speakers include:Mitchell Bowling","Lobby",DEFAULT
"Kalidasia Fleet Commander - The Siege of Cadre 4",5/1/2016,14:00,5/1/2016,14:50,FALSE,"The Surakari have invaded Cadre 4 and it is up to a small Heragul fleet to hold the aliens at bay.  Come defend Cadre 4(or destroy it!) in this two player asymmetrical game of planetary siege.  Speakers include:Jason Rutherford","Lobby",DEFAULT
"Learn To Play 7 Wonders",5/1/2016,14:00,5/1/2016,14:50,FALSE,"As a leader of one of the 7 great cities of the Ancient World, gather resources, develop commercial routes, affirm your military supremacy, build your city and erect an architectural wonder. This is a card-drafting game. Players receive seven cards from a particular deck, choose one of those cards, then pass the remainder to an adjacent player. Players reveal their cards simultaneously, paying resources if needed or collecting resources or interacting with their neighbors. Each player then chooses another card from the deck they were passed, and the process repeats until players have six cards in play. Who will collect the best combos?  Speakers include:","Lobby",DEFAULT
"Learn To Play Back To The Future",5/1/2016,14:00,5/1/2016,14:50,FALSE,"Jump into the action of the Back to the Future movies in this spinoff of Chrononauts, an ingenious time travel card game! Play as the descendants of Marty McFly, Biff Tannen, Doc Brown and others, as you travel back to the events depicted in the movies. Your mission is to make sure pivotal events are not changed by other time travelers before time travel itself gets un-invented. Using a unique, patented game mechanism for simulating time travel, Looney Labs now puts you in the driver’s seat of the famous DeLorean!  Speakers include:","Lobby",DEFAULT
"Learn To Play Dominion",5/1/2016,14:00,5/1/2016,14:50,FALSE,"The original game that created the deck-building genre. Players start with the same simple deck, and use their cards to buy cards into their collection from the middle of the table. They go through their deck repeatedly to use their new cards to buy even more lucrative cards. Each time you play, a different set of ten cards is available. Can you pick the best blend of cards?  Speakers include:Rick Houser","Lobby",DEFAULT
"Lords of Waterdeep",5/1/2016,14:00,5/1/2016,14:50,FALSE,"Lord's of Waterdeep board game with Skullport expansion.  2-6 player worker placement style game with a D&D theme.  Rules are quick to learn but still has depth.  Speakers include:Timothy Brown","Lobby",DEFAULT
"Mahjong game",5/1/2016,14:00,5/1/2016,14:50,FALSE,"Ever played mahjong on the computer and wondered how it'd differ in person? Come find out! Most like gin rummy, mahjong is played with tiles instead of cards. This will be the Chinese or British/Hong Kong version, as it is easier to learn.   Speakers include:Anne Zanoni","Lobby",DEFAULT
"Order of the Wand",5/1/2016,14:00,5/1/2016,14:50,FALSE,"Engage in wizarding combat with tiles and wands. Arrange tiles next to each other, so that when you lay your wand across them, it will touch their magical sigils to cast a spell on your opponent. An unpublished prototype by the designer of Tahiti and Nitro Dice.   Speakers include:David Whitcher","Lobby",DEFAULT
"Pack 'O Game",5/1/2016,14:00,5/1/2016,14:50,FALSE,"A series of easily portable card-based strategy micro card games in a gum-sized tuck box with a variety of mechanics, complexity and theme.  Speakers include:Bob Brodis","Lobby",DEFAULT
"Paint and Take",5/1/2016,14:00,5/1/2016,14:50,FALSE,"We will bring ready to paint metal, plastic figures . At the cost of $6.00 per figure.  This includes paint ,help , and figure.  Some free figures may be had till gone 1 per day per person.  Speakers include:Linda Martelle, Dean Martelle","Lobby",DEFAULT
"PowerPoint Improv",5/1/2016,13:00,5/1/2016,14:50,FALSE,"Volunteer presenters pick a slide deck they’ve never seen before from a list of titles on a variety of topics, and improv a comedic or serious presentation for up to 5 minutes. They don’t have to stick to the slides, as they’re just a prop! Audience members can improv, too, during each Q&A (e.g., ask questions related to this year’s Penguicon theme, artificial intelligence)! As improvisations accumulate, we can build off each others’ topics and Q&A sessions. Come play with us!  Speakers include:Sarah Elkins, Phil Salkie","Charlevoix C",DEFAULT
"Prototype Playtest: Quatern and Exquisite Corpse Machine 3",5/1/2016,13:00,5/1/2016,14:50,FALSE,"Enjoyable diversions or torture devices? You decide! Here’s your chance to playtest two prototype motorized wooden board games. In “Quatern” up to for players compete simultaneously to place a row of four consecutive beads on a constantly rotating board. “Exquisite Corpse Machine 3” is an open-ended game designed to facilitate collaborative art work (and encourage quick creative decisions.) The rules take a few seconds to learn and game play lasts about 5 minutes.   Speakers include:Andy Malone","Lobby",DEFAULT
"Q&A With Ann Lemay",4/30/2016,13:00,4/30/2016,13:50,FALSE,"Join Guest of Honor Ann Lemay for a Q&A on writing narratives for video games like Bioshock and Mass Effect.  Speakers include:Ann Lemay","Montcalm",DEFAULT
"Rathbone Vs Everybody",4/30/2016,13:00,4/30/2016,13:50,FALSE,"Avast! Rathbone the Pirate will simultaneously compete against all of you swabs, playing several different games from the age of piracy! (Attention: When a pirate cheats, it is only illegal if the pirate gets caught at it. This has been an advisory of the Caribbean Warning System.)  Speakers include:Rathbone the Pirate","Lobby",DEFAULT
"RPG: Roleplay Podcast Game",4/30/2016,13:00,4/30/2016,13:50,FALSE,"Some of the best improv I've ever been part of has been around a gaming table.  We're going to set up recording gear and then run a short gaming session.  The recording will be edited into a radio play that will be made available online right after the con. We'll be using a system that doesn't require any previous knowledge to play. All you need to bring is your willingness to get into character!  Speakers include:Jody Raiford","Podcast Suite",DEFAULT
"So You Want to Write Video Games?",4/29/2016,20:00,4/29/2016,20:50,FALSE,"Guest of Honor Ann Lemay and GOH Emeritus John Scalzi talk about what goes into writing the narrative stories for videogames.  Speakers include:Ann Lemay, John Scalzi","Charlevoix C",DEFAULT
"Star Trek Five-Year Mission With Mini Expansions",4/29/2016,20:00,4/29/2016,20:50,FALSE,"Dice. The Final Frontier. Voyage to explore strange new expansions-- to seek out new victory points and new challenges-- to meet the game's designer-- to boldly go where no players have gone before! A cooperative dice placement game. Take roles from original or Next Gen. Players try to cooperatively solve a series of alerts to score points, without failing five alerts, or the Enterprise being destroyed. Injuries lock dice out of play. Ship damage forces you to attempt harder alerts. Urgent events must be completed on a timer (the Prime Directive). Yellow & red alerts force additional alerts cards to come into play-- pushing you and your fellow crew-members closer to failing!  Speakers include:David Whitcher","Lobby",DEFAULT
"Star Trek Five-Year Mission With Mini Expansions",4/29/2016,20:00,4/29/2016,20:50,FALSE,"Dice. The Final Frontier. Voyage to explore strange new expansions-- to seek out new victory points and new challenges-- to meet the game's designer-- to boldly go where no players have gone before! A cooperative dice placement game. Take roles from original or Next Gen. Players try to cooperatively solve a series of alerts to score points, without failing five alerts, or the Enterprise being destroyed. Injuries lock dice out of play. Ship damage forces you to attempt harder alerts. Urgent events must be completed on a timer (the Prime Directive). Yellow & red alerts force additional alerts cards to come into play-- pushing you and your fellow crew-members closer to failing!  Speakers include:David Whitcher","Lobby",DEFAULT
"The Art of Retro Gamers",4/29/2016,18:00,4/29/2016,18:50,FALSE,"Journey to a panel in time discussing how fun it was to play games like Super Mario, Duck Hunt , Battle Toads and Dragon Warrior.  Speakers include:Ian Sterrett, Bob Waltenspiel, Jeremy Myers, Dave Phillips","Montcalm",DEFAULT
"The Family That Games Together",5/1/2016,12:00,5/1/2016,12:50,FALSE,"How does your family game?   Speakers include:Ann Lemay, Scott Kennedy","Algonquin B/C",DEFAULT
"Warlords of the 6 Kingdoms",5/1/2016,12:00,5/1/2016,12:50,FALSE,"There can only be one! Take the role of a raucous, power-hungry warlord who’s off to conquer the 6 kingdoms! Select one city at a time, and send a champion to win it using the savory influence of fear, bribes, or pure military strength. If multiple warlords have sent a champion, the one with the highest of the three influences will be victorious. But simply approaching a city won't cut it: hazards and defenses must be navigated, or your champion won't even get close!  Speakers include:Nikolas Smart","Lobby",DEFAULT
"Print and Play D&D 5th Ed.",5/1/2016,12:00,5/1/2016,12:50,FALSE,"Strange things are afoot in the Moonsea. The factions have called all those willing and able to investigate strange occurrences in the region surrounding Phlan. Dark whispers and unseen terrors lurk in the misty shadows between this world and some place much more sinister. Unveil the horrors before it is too late! Part one of Misty Fortunes and Absent Hearts. Come see a 3D printer demo featuring prints from the D&D Monster Manual, then stay to play through an Adventurers League 5E adventure. Characters will be provided.  This is a limited participation event.  Please sign up at Ops.  Speakers include:Branden Coates, Antoni Williams, Alan Patrick, Nichole Bulmer-Jones","Lobby",DEFAULT
