Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Sequels and Series in Genre Fiction",5/2/2014,16:00,5/2/2014,16:50,FALSE,"We all love that feeling we get when we can fully immerse ourselves in a fictional world.  Conversely, the return to the real world can be quite shocking.  Is this part of the reason for the prevalence of series work in genre fiction?  Is it something from the publishing side?  Is there a place for the stand alone work in SFF?  Speakers include:Mary Lynne Gibbs, Michael Cieslak","Montcalm",PUBLIC
"The Hidden Sub-Genres",5/2/2014,18:00,5/2/2014,18:50,FALSE,"The number of genres into which Speculative Fiction may be divided approaches infinity.  Most are familiar with Hard Sci-Fi, the Space Opera, and Urban Fantasy.  There are also lesser known sub-genres like Bizarro Fiction that fall in the SFF spectrum.  How would you define Bizarro Fiction?  What are the must reads in this field?  Speakers include:Jim Leach, Sean M. Davis","Board of Governors",PUBLIC
"Writing for the Web ",5/2/2014,18:00,5/2/2014,18:50,FALSE,"Explore the pros and cons of writing for examiner.com and Yahoo’s associated content.  The discussion will compare writing content for the web versus print magazines.  Other topics to be covered include how to build your writing portfolio and setting deadlines for yourself.  Speakers include:Tracy Herrell, Rob Reed","Hamlin",PUBLIC
"Story Creation on the Fly --- An Audience Participation Experiment in Story Telling",5/2/2014,19:00,5/2/2014,19:50,FALSE,"Please join us to create a scifi story! We will start with a few words, sentences or short description, then move around the room. Each person will have a chance to add a bit more to the story. Anyone can choose to skip a turn.  Add a character, kill one off.  Create a new world or new love.  Anything is possible. Non-creative and shy people will be encouraged to participate in a supportive environment.  Speakers include:Gib Nichols","Board of Trustees",PUBLIC
"Plotters vs Pantsers – Finding the Storytelling That Works For You",5/2/2014,19:00,5/2/2014,19:50,FALSE,"Some writers are plotters, and can’t proceed until they know how everything ends.  Some writers are pantsers, and they surprise themselves as they go.  How can you figure out which one you are, and how can you harness the strengths of each approach while avoiding the weaknesses?   Speakers include:Ferrett Steinmetz, Michael Cieslak, Jim Leach","Hamlin",PUBLIC
"Copyright vs Free Information",5/3/2014,13:00,5/3/2014,13:50,FALSE,"What happens when the concept of 'information can't be contained' clashes with content creators who want monetary recompense for their hard work?  Speakers include:Michael W. Lucas, Shetan Noir, Eva Galperin, Cory Doctorow","Windover",PUBLIC
"Digging Up The Same Old Ground",5/3/2014,11:00,5/3/2014,11:50,FALSE,"Are there any new stories left, or is everything just a retread of an old idea?  What is a retread, and what is a legitimately new angle?  Speakers include:Sean M. Davis, Ferrett Steinmetz, Nicole Castle","Hamlin",PUBLIC
"Script Writing for Movies",5/3/2014,14:00,5/3/2014,14:50,FALSE,"Aching to write a script for that great movie idea that's been bouncing around in your head? Come get some tips and tricks for how to get started on writing a script.  Speakers include:Keith Martens, James Fernandez","Charlevoix C",PUBLIC
"When Did We Get Cool? The SFF Explosion on Screen",5/3/2014,14:00,5/3/2014,14:50,FALSE,"In a world where some of the most watched shows deal with SFF themes or have been adapted from SFF material (Game of Thrones, The Walking Dead, The Lord of the Rings/The Hobbit, The Avengers et. al.) where does the “mainstream” line get drawn?  Why is it suddenly acceptable for the SFF genre to be viewed?  Has this translated over to the written word?  Side question: why has mystery always been more or less accepted but SFF is a more recent explosion?  Speakers include:Ernie Cline, Sean M. Davis, Michael Cieslak, Nicole Castle, Jim Leach, John Scalzi","Windover",PUBLIC
"Reviewing for the Masses",5/3/2014,15:00,5/3/2014,15:50,FALSE,"Dedicated reviewing websites, personal blogs, Amazon, Goodreads... there are endless places online to get recommendations on what to read and what to watch - where is best, for what?  The panelists will discuss the ins and outs of reviewing material on-line.  Speakers include:Janea Schimmel","Hamlin",PUBLIC
