Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Winter Is Coming",4/25/2015,17:00,4/25/2015,17:50,FALSE,"We'll take a look at the past seasons of Game of Thrones, the books, and the current season. Has the TV series lived up to the books? Will you continue watching the new season? What are you looking forward to seeing in future episodes?  Speakers include:Jeffrey Beeler","Windover",PUBLIC
"50 Years of Serling's 'Twilight Zone': Still As Relevant as Ever",4/25/2015,20:00,4/25/2015,20:50,FALSE,"More than five decades after its premiere, 'The Twilight Zone' is as relevant as ever. That staying power is almost as eerie as the show itself, considering the world has long since shifted past the Cold War. Yet, much of its commentary remains poignant. Taking down selfishness, narcissism, paranoia, standards of beauty, or whatever the weekly target may have been, Rod Serling and his writers would often refocus the lens on society itself, with the suggestion that we are the true monster.  Speakers include:Nicole Castle","Hamlin",PUBLIC
"A Beginners Guide to Self-Publishing",4/24/2015,20:00,4/24/2015,20:50,FALSE,"A discussion the ins and outs of how and where to publish your work. Topics will include formatting programs, editing, deciding who will carry your book, getting into bookstores, and advertising.  Speakers include:Patty Templeton, Michael Elliott, Shetan Noir","Board of Governors",PUBLIC
"Acts of Shameless Self-Promotion",4/25/2015,9:00,4/25/2015,9:50,FALSE,"Come discuss and learn different methods of self-promoting your own work and getting people to notice. From book promoting to belly dance shows, there are tactics that work for everyone.  Speakers include:Shetan Noir","Charlevoix A",PUBLIC
"Author Reading: Jen Haeger and Sarah Hans",4/26/2015,11:00,4/26/2015,11:50,FALSE,"


Join author and veterinarian Jen Haeger and author/editor Sarah Hans while they read and discuss their latest works.   Speakers include:Jen Haeger, Sarah Hans","Hamlin",PUBLIC
"Author Reading: Skeeter Enright and Karl Schroeder",4/24/2015,20:00,4/24/2015,20:50,FALSE,"
Come and listen to GoH Emeritus Karl Schroeder and literature panelist Skeeter Enright read from their latest works and discuss everything from science-fiction to non-fiction.   Speakers include:Skeeter Enright, Karl Schroeder","Hamlin",PUBLIC
"Author Reading: Matt Betts and Ferrett Steinmetz",4/26/2015,10:00,4/26/2015,10:50,FALSE,"
Join two of Penguicon's favorite authors as they take the stage to read and discuss their latest works.    Speakers include:Ferrett Steinmetz, Matt Betts","Hamlin",PUBLIC
"Author Reading: Nicole Castle and Ken MacGregor",4/26/2015,12:00,4/26/2015,12:50,FALSE,"Come and listen to two masters of the modern horror story read and discuss their latest works.  Speakers include:Nicole Castle, Ken MacGregor","Hamlin",PUBLIC
"Author Reading: Steven Saus and Sean M. Davis",4/26/2015,13:00,4/26/2015,13:50,FALSE," 

Come and listen to two authors voted most likely to become mad scientists read and discuss their latest works.  Speakers include:Steven Saus, Sean M. Davis","Hamlin",PUBLIC
"Beta Readers' Importance",4/24/2015,16:00,4/24/2015,16:50,FALSE,"It made perfect sense when you wrote it, and when you read it. But then someone else says 'Why didn't you look that up?' or 'That's not how that works!' to your chagrin. This is why authors need beta readers. To catch things you miss, to know things you don't -- to see that blind spot.   Speakers include:Anne Zanoni","Hamlin",PUBLIC
"BoF: But Is It Fantasy?",4/25/2015,9:00,4/25/2015,9:50,FALSE,"An open discussion about recent works which use Fantasy tropes, but which are not generally considered to fall into the umbrella of the fantasy genre. What defines genre fiction, and why are some works considered too 'mainstream?' Why is fantasy so popular among items aimed at the YA market?  Speakers include:","Board of Regents",PUBLIC
"BoF: But is it Horror?",4/24/2015,23:00,4/24/2015,23:50,FALSE,"An open discussion about recent works which use Horror tropes, but which are not generally considered to fall into the umbrella of the horror genre. What defines genre fiction, and why are some works considered too 'mainstream?' Does the presence of a supernatural being automatically qualify something as horror?  Speakers include:","Board of Regents",PUBLIC
"BoF: But is it Sci-Fi?",4/24/2015,21:00,4/24/2015,21:50,FALSE,"An open discussion about recent works which use Science Fiction tropes, but which are not generally considered to fall into the umbrella of the science fiction genre. What defines genre fiction, and why are some works considered too 'mainstream?' Why did so many sci-fi fans dislike The Time Traveler's Wife?  Speakers include:","Board of Regents",PUBLIC
"BoF: NaNoWriMo Meet-Up",4/25/2015,21:00,4/25/2015,21:50,FALSE,"NaNoWriMo, the National Novel Writing Month, is an exhilarating, frustrating, possibly insane idea -- write a 50,000 word novel in one month. One of the amazing aspects of NaNo, and one which sets it apart from the typical, solitary writer life, is the social aspect. Come meet other brave souls who have accepted the NaNo challenge.  Speakers include:","Board of Regents",PUBLIC
"BoF: Research vs. Faking It",4/24/2015,16:00,4/24/2015,16:50,FALSE,"You've read it. That book that used Hollywood physics. The story that isn't a spoof but should be. The setting's in your hometown but the author didn't even check Google. Which is worse, an author blowing off research or faking things? What if the faking is done so well you let it slide? What throws you out of the story quicker? What do you wish authors would actually research every time?  Speakers include:","Board of Trustees",PUBLIC
"BoF: Shadow Unit Round Table",4/24/2015,22:00,4/24/2015,22:50,FALSE,"Are you a fan of the Shadow Unit series by Will Shetterly, Emma Bull, Elizabeth Bear, Sarah Monette, and Kyle Cassidy? Want to discuss the story, geek out about your favorite characters, or dissect the writing techniques? Come help us pick apart and enthuse over this book series!  Speakers include:","Board of Regents",PUBLIC
"BoF: Steampunk",4/26/2015,14:00,4/26/2015,14:50,FALSE,"Steampunk is more than a literary and cinematic sub-genre of science fiction. It has become an aesthetic encompassing costuming, diet, and more. Put on your waistcoat and join a discussion of all things steampunk.  Speakers include:","Board of Regents",PUBLIC
"Crowdfunding Your Way to Success",4/26/2015,14:00,4/26/2015,15:50,FALSE,"Crowdfunding has taken the world by storm. Learn about the different types of crowdfunding and the ways they can help your project become a reality.  Speakers include:Maggie Maiville, Sarah Hans","Windover",PUBLIC
"E-Books: An Examination of the Current State of Digital Publishing",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Years ago there was a panel at Penguicon about the rise of the e-reader and what it meant for the world of publishing. It’s safe to say that digital reading is not going to be a passing fad, but it does not appear to be the death of paper publishing that it was once seen to be. The panel will examine how things have changed for authors, readers, and publishers and how things have stayed the same. While we may examine the Hatchette vs Amazon debate, it will be in terms of how it has affected things, not taking sides.  Speakers include:Mary Lynne Gibbs, Sean M. Davis","Algonquin C",PUBLIC
"Traditional Publishing vs. Self-Publishing",4/25/2015,16:00,4/25/2015,16:50,FALSE,"What are the pros and cons of each? We all know the success stories of the rare few, but what about the heartaches? Is the goal still to just get noticed by a traditional publisher or has self-publishing gained legitimacy? The panelists will also discuss small/specialty presses.  Speakers include:Patty Templeton, Mary Lynne Gibbs, Christian Klaver","Hamlin",PUBLIC
