Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Chaos Machine",4/24/2015,16:00,4/26/2015,16:00,TRUE,"The Chaos machine returns to shape your wildest engineering imagination into a functioning beacon of collective brilliance. Find some old friends or new acquaintances to help build the machine from the ground up!  Speakers include:","Lobby",PUBLIC
"Find Tux",4/24/2015,16:00,4/26/2015,16:00,TRUE,"Can you find Tux at Penguicon?  Look for the Penguin Plushie and you can keep it!  Speakers include:","Mystery Location",PUBLIC
"Find Waldo",4/24/2015,16:00,4/26/2015,16:00,TRUE,"Where's Waldo? He's somewhere amidst the rest of the hordes of awesome Penguicon attendees. Look for Waldo and his friend the Wizard anywhere in plain sight. If you find them, you will be rewarded!  Speakers include:","Mystery Location",PUBLIC
"Free Fates Fortune Telling Booth",4/24/2015,16:00,4/26/2015,16:00,TRUE,"Find a token, bring it to the booth in the lobby, and randomly generated predictions will be given to you! You may also write a short question and receive a Yes or No answer in return. Hours of operation posted at the booth.  Speakers include:","Lobby",PUBLIC
"Giant Jenga",4/24/2015,16:00,4/26/2015,16:00,TRUE,"Stop by and play some (enormous) Jenga with your friends, or meet new people. No writing dirty things on the blocks! You'll just have to use your imagination.  Speakers include:","Lobby",PUBLIC
"Google Ingress Dead Drop ",4/24/2015,16:00,4/26/2015,16:00,TRUE,"Something special will be hidden in the con area Friday evening. A picture and clue will be posted. If you find it, you can keep it!  Speakers include:","Mystery Location",PUBLIC
"NUET Scouts",4/24/2015,16:00,4/26/2015,16:00,TRUE,"The Scouts are at it again! The Nearly Useless Entertainment Team is back for another year at Penguicon, bringing you fun, mayhem, and shenanigans. Find us wandering the con to see what we have planned this year.  Speakers include:","Wandering",PUBLIC
"Pengicon Picture Bingo",4/24/2015,16:00,4/26/2015,16:00,TRUE,"Snap a picture of each clue and you will be rewarded! Go to Registration, Ops, or the Greeter table to get started!  Speakers include:","Lobby",PUBLIC
"Retro-style Video Games",4/24/2015,16:00,4/26/2015,16:00,TRUE,"Find David Gazdowicz's awesome games in the lobby... and play them!  Speakers include:","Lobby",PUBLIC
"Ribbon Fairy",4/24/2015,16:00,4/26/2015,16:00,TRUE,"Look out for the Ribbon Fairy! If you find her, you can trade her a ribbon for a ribbon!  Speakers include:","Mystery Location",PUBLIC
"Where in the World?",4/24/2015,16:00,4/26/2015,16:00,TRUE,"Wondering where people are coming from to go to Penguicon?  Stop by and tag the city you came from on the World, US or Michigan map!  Speakers include:","Lobby",PUBLIC
"Scavenger Hunt",4/25/2015,13:00,4/25/2015,18:00,FALSE,"Go on a fun hunt around the con! The first 25 people to complete the tasks will win a 3D printed object! Other prizes too! To begin, find Mat in the Maker Market between 1 and 6 pm on Saturday  Speakers include:Mat Roll","Lobby",PUBLIC
"The World Around You Is Not What It Seems…",4/25/2015,17:00,4/25/2015,18:50,FALSE,"A WAR is being fought right HERE right NOW. The fate of all humanity is in your hands. You look up from your phone: is that guy on the corner just walking his dog, or is he an Ingress Agent from the other side about to attack your neighborhood? Meet at Lawrence University courtyard to learn new skills and gain experience playing ingress for your faction.  If you want to carpool, meet at the fountain in the lobby at 4:45. If you drive over, meet at Ockham's Wedge sculpture in the enter of the quad area near the Taubman Student Services Center at 5:00.  Speakers include:Linda Besh","Lobby",PUBLIC
