Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Professional Wrestling 101",5/3/2019,16:00,5/3/2019,17:00,FALSE,"Have you ever wondered just what pro wrestling is?' Have you ever wondered what the heck is the appeal of grown men and women fake fighting in their underwear? Well, have I got a panel for you! Come learn the ins-and-outs of professional wrestling. Learn what wrestling is, how it works, what makes a match good or bad, and more! Also attend the sister-panel 'History of Pro Wrestling' to learn more!  Speakers include:Shane Soules","EMC III",PUBLIC
"The Weird World Of Night Vale Presents",5/3/2019,17:00,5/3/2019,18:00,FALSE,"Nightvale Presents produces some of the most innovative speculative fiction podcast content available. With shows like Welcome to Night Vale, Alice Isn't Dead, Adventures in New America, and Within The Wires, its stable of shows are delightful dark, weird, incredibly queer, and extremely diverse. We'll discuss some of our favorite shows from Night Vale Presents, explore what sets them apart from more traditional SFF media, and discuss how they could serve as a model for a more inclusive SFF world.  Speakers include:Mari Brighe, Charlotte Wolf","Portage Auditorium",PUBLIC
"Got Comic Movie Overload?",5/3/2019,17:00,5/3/2019,18:00,FALSE,"With comic book films seemingly coming out every month, how long will it take for the comic book film to go the way of the western? Join us in a fun conversation about comic book films, past, present, and future...especially future!  Speakers include:BluRaven C. Houvener","EMC I",PUBLIC
"Movie: Metropolis",5/3/2019,19:00,5/3/2019,21:00,FALSE,"  Speakers include:","Portage Auditorium",PUBLIC
"LIVE PODCAST: Getting Drunk with Shannon and Maggie",5/3/2019,20:00,5/3/2019,22:00,FALSE,"Join Shannon and Maggie for their 7th appearance at Penguicon as we podcast LIVE from the random location we will be assigned. Audience members will participate in the annual LIVE recording of Shannon & Maggie's mostly weekly podcast about life, food, and booze. Be prepared to participate and be called upon to be a 'special guest'.  Speakers include:Shannon Marshall, Maggie Maiville","Nicolet",PUBLIC
"Movie: Aquaman",5/3/2019,21:00,5/4/2019,00:00,FALSE,"  Speakers include:","Portage Auditorium",PUBLIC
"History of Pro Wrestling",5/4/2019,11:00,5/4/2019,12:00,FALSE,"Professional wrestling is one of the most storied art forms the world has ever known. Hey, wait! Come back! This panel is here to show you the history of pro wrestling. Dating from the early 1900s, all the way to present day, and all of the amazing history in-between. Pairs well with the sister-panel 'Professional Wrestling 101'  Speakers include:Shane Soules","EMC III",PUBLIC
"Podcasting 101: So You Wanna Start a Podcast",5/4/2019,12:00,5/4/2019,13:00,FALSE,"Join us for a new and updated Podcasting 101 panel to help people get started in the wild world of podcasting!  Speakers include:Dave Phillips","Computer Lab [Charlevoix C]",PUBLIC
"Self-publishing Comics and Books",5/4/2019,12:00,5/4/2019,13:00,FALSE,"This talk will help current and future writers learn how to self-publish and promote their work.  Speakers include:Stephanie Manard","EMC III",PUBLIC
"BoF: The Expanse is Saved",5/4/2019,12:00,5/4/2019,13:00,FALSE,"Birds of a Feather: The Expanse was on SyFy then cancelled. Soon it was picked up by Amazon Prime after a media promotion by fans. Will we be able to expand SciFi using the media promotion of other great shows? What have we learned about getting funding and attention for our favorites? Can we do more?  Speakers include:Gibson Nichols","Baldwin",PUBLIC
"Movie: Ghost in the Shell (1996)",5/4/2019,13:00,5/4/2019,15:00,FALSE,"  Speakers include:","Portage Auditorium",PUBLIC
"Star Wars: So Now What?",5/4/2019,13:00,5/4/2019,14:00,FALSE,"What can the fandom do to support the Star Wars saga in this new era of social media? Will the series ever be the same? Is it possible to move on to new material and still retain the magic of the original trilogy? Come join us to discuss the future Star Wars and what you would like to see, and not see, on the silver screen.  Speakers include:LadyAna, Professor X","Algonquin B",PUBLIC
"Wireless Audio in the Concert World",5/4/2019,14:00,5/4/2019,15:00,FALSE,"Come learn about wireless microphones and related tech in the professional concert world, from some quick basics to coordinating frequencies over a multiple venue festival.  Speakers include:Scott Helmke","EMC II",PUBLIC
