Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"So This is Your First Penguicon?",4/24/2015,17:00,4/24/2015,17:50,FALSE,"Our chair, Nuri, will talk about how he first joined Penguicon, and give you a tour of what's awesome (everything!) here. If you're new to Penguicon and you want to get to know the event, this is the panel for you!  Speakers include:Nuri Gocay","Board of Governors",PUBLIC
"Opening Ceremonies",4/24/2015,18:00,4/24/2015,18:50,FALSE,"Join our con chair, Nuri Gocay, the Con Committee, and our Guests of Honor as we open this bad boy up for the weekend. You never know what surprises might be in store!  Speakers include:Janet Gocay, Scott Kennedy, Lucy Kennedy, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Christine Bender, Aral Balkan, Annalee Newitz, Albert Manero, ,Charlie Jane Anders, Ivan Owen, Aaron Brown","Algonquin B/C",PUBLIC
"Guest of Honor Social Hour",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Get to know our Guests of Honor as we all get together for some cocktails. Meet us in the bar!  Speakers include:Aral Balkan, Annalee Newitz, Albert Manero, ,Charlie Jane Anders, Ivan Owen, Aaron Brown","Restaurant",PUBLIC
"Creating Safe Spaces",4/25/2015,11:00,4/25/2015,11:50,FALSE,"How can we create safe spaces for people of all varieties at the convention, and in our lives outside of fandom? Join a discussion with our staff (including the con chair) and those who have ideas on how we can do better on inclusivity and promoting consent.  Speakers include:Nuri Gocay, April Nance, Scott Kennedy, Mark Oshiro, Mari Brighe","Windover",PUBLIC
"Penguicon Board Meeting ",4/25/2015,16:00,4/25/2015,16:50,FALSE,"You've done the convention, you've met the staff, and you've even socialized with the ConCom. But what about those *other* Penguicon people? Those shadowy figures that create the multi-year rules, have their fingers on the money, and cause a ConChair to mysteriously appear every year in a puff of penguin-scented smoke? Ever wonder what the Penguicon Board of Directors does in their secret sanctum, and where they are taking Penguicon? Come to the Board of Directors meeting and see!  Speakers include:Steve Gutterman, Randy Bradakis, Matt Arnold, Jer Lance, Gini Judd, Amanda Long-Adams, James Hice","Board of Regents",PUBLIC
"2014's Con Chair Roast",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Our fearless leader has finally found something to fear - a roasting by his friends and underlings! It's probably all in good fun, but don't expect everyone to be sober.  Speakers include:Nuri Gocay, Greg Williams, James Gamble, Britain Woodman, Rathbone the Pirate","Algonquin D",PUBLIC
"Geek Prom",4/25/2015,21:00,4/25/2015,22:50,FALSE,"It's a Timey Wimey prom! Come dressed in your finest formalwear (we've heard bow ties are cool!) or choose a costume from anywhere in space and time and join the Costume Contest! Join us for music, dancing, and fun at Penguicon's Geek Prom! Special performance by DJ Stu!  Speakers include:","Charlevoix A",PUBLIC
"Costume Contest",4/25/2015,22:00,4/25/2015,22:50,FALSE,"This year we are making the costume contest a little more informal. This means no Muster, Paperwork, or Registration. You simply show up at the Geek Prom at the right time (9:45!) and say you want to enter. From there it is in the hands of our MC and N.U.E.T.! Come down for some fun and awesome costumes, and maybe enter for a chance to win some cool prizes. Best of Show will receive a free badge to Penguicon 2016!  Speakers include:Alex Drummer, Justin Coluzzi, Kevin McLeod, Albert Manero, Ruth Suehle, Alex Page","Charlevoix A",PUBLIC
"Penguicon 2016 Planning Meeting",4/26/2015,13:00,4/26/2015,13:50,FALSE,"Making a successful Penguicon requires at least a year of organizing, planning, and partying. Do not skip the partying! Join us for the first planning meeting with the 2016 ConChair, Scott Kennedy, and his selected Con Committee. If you you want to contribute to Penguicon next year, or you just want to see how we make it happen, join us!  Speakers include:Janet Gocay, Scott Kennedy, Lucy Kennedy, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Christine Bender","Board of Regents",PUBLIC
"Closing Ceremonies",4/26/2015,16:00,4/26/2015,16:50,FALSE,"As we officially shut down another amazing, exciting year for Penguicon, come hear about how it went, and what we've got our eye on for next year.  Speakers include:Janet Gocay, Scott Kennedy, Lucy Kennedy, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Christine Bender, Aral Balkan, Annalee Newitz, Albert Manero, Charlie Jane Anders, Ivan Owen, Aaron Brown","Algonquin B/C",PUBLIC
