Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"The Dawn Mission at Dwarf Planet Ceres",4/24/2015,19:00,4/24/2015,19:50,FALSE,"The Dawn spacecraft will approach the Dwarf Planet Ceres in February of 2015, and go into orbit of Ceres in the Spring of 2015. In this lecture, Bob discusses the Dawn spacecraft and its ion propulsion system, its 2011 visit to the asteroid Vesta, and new photos and scientific findings about Ceres. It, and several other 'planets' got demoted to asteroid status in the 1850's. Ceres' status was updated to 'Dwarf Planet' in 2006, along with Pluto.  Speakers include:Bob Trembley","Algonquin D",PUBLIC
"Everything You Thought You Knew About Genetics is A Lie",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Most of what you learned in your basic biology classes about genetics isn't actually true. From independent assortment to acquired trait inheritance to the Central Dogma itself, advances in technology and new discoveries have turned the traditional basic teachings of genetics on their head. We'll explore many of these oversimplifications and you'll get a chance to ask if things you thought were real are just convenient science fibs!  Speakers include:Mari Brighe","Montcalm",PUBLIC
"The Future of Bionics",4/24/2015,20:00,4/24/2015,20:50,FALSE,"In the beginning, bionics were expensive things sold by large companies. Now, we're 3D printing them for less than a fancy dinner, and soon, we're going to be controlling them with our minds! What will the future hold for people who use these devices to make their lives richer? Will we be bionic people? Will we be better...stronger...faster?  Speakers include:Cynthia Chestek, Albert Manero, Ivan Owen, Aaron Brown","Algonquin D",PUBLIC
"Telescope Observing: The Moon",4/24/2015,22:00,4/24/2015,23:50,FALSE,"Join us outside to observe the moon at first quarter. Observe via telescopes and other instruments made available to view the moon and Jupiter.  Speakers include:Bob Trembley","Outside",PUBLIC
"The Ethics of AI",4/25/2015,9:00,4/25/2015,9:50,FALSE,"If we develop an artificial intelligence that talks like a human, thinks like a human, and acts like a human, it will be fair to expect it to abide by the same social contract as a human. The problem is that if Artificial Intelligence comes to pass it is very unlikely that it will be anything like a human. This brings us to the very hazy area of the ethics surrounding AI. What rules do we have a right to enforce on a living entity that is nothing like us? How dangerous is it to develop something that we will not be able to fully understand and will be able to think a lot faster than us? What if AI is actually kind of dumb?  Speakers include:Samuel Hansen, Jennifer Marsman, Karl Schroeder","Windover",PUBLIC
"The CSI Phenomenon",4/25/2015,10:00,4/25/2015,10:50,FALSE,"A critical look at the hit show through the eyes of a fan with a masters in forensic science. We'll analyze specific clips to see what the show does right and what it does wrong, and talk about some interesting aspects of forensic science.  Speakers include:Jen Haeger","Portage Auditorium",PUBLIC
"Help Cure Cancer with Citizen Science",4/25/2015,11:00,4/25/2015,11:50,FALSE,"From SETI@home to flying video game space ships, everyone can contribute to scientific research. The internet makes it easy for you at home to help cure cancer, participate in protein folding research and classify distance galaxies.   Speakers include:Marie-Therese Enga","Algonquin D",PUBLIC
"Neuroscience of Dream Engineering",4/25/2015,11:00,4/25/2015,11:50,FALSE,"Morpheus, the Greek God of the dream world, was said to sneak into men's dreams at night to deliver messages from the Gods. Modern neuroscience has tackled ancient myth, and external manipulation of the sleeping mind is now a reality. Come learn about the latest in dream engineering, memory consolidation, lucid dreaming, and even dream recording.  Speakers include:Heather Aman","Charlevoix B",PUBLIC
"Surveillance Can Be Fun: The Future of Civil Liberties in Tech",4/25/2015,12:00,4/25/2015,12:50,FALSE,"Come hear the Editor-in-Chief of Gizmodo talk about cloud surveillance, smart cities, biological data, and the bizarre world of tomorrow where privacy is temporary and your DNA is public access.  Speakers include:Annalee Newitz","Algonquin C",PUBLIC
"Telescope Observing: The Sun",4/25/2015,12:00,4/25/2015,13:50,FALSE,"Join us outside to check out the sun in all its glory! Observe via telescopes and other instruments made available to view the sun.  Speakers include:Bob Trembley","Outside",PUBLIC
