Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"BoF: Why Johnny Can't Code",5/2/2014,16:00,5/2/2014,16:50,FALSE,"You know there are smart people out there who could learn to code (write software, program computers).  But they don't.  Why not?  What can we do to expand the coding craft?  Do schools need to teach the principles that make good coders?  Can we start a little coding instruction event?   Speakers include:","Board of Regents",PUBLIC
"BSD Operating Systems: A Tour",5/2/2014,17:00,5/2/2014,17:50,FALSE,"While Linux gets a lot of press time these days, it's not the oldest open-source Unix-like operating system. The Berkeley Software Distribution (BSD) has been around since the late 1970s. We'll cover the two most popular BSD variants, FreeBSD and OpenBSD, and what makes these operating systems special. If you use the Internet, you use BSD. Come see what you rely on. By the author of 'Absolute FreeBSD' and 'Absolute OpenBSD.'  Speakers include:Michael W. Lucas","Charlevoix B",PUBLIC
"Conquering HTML5 Apps: Session 1",5/2/2014,18:00,5/2/2014,18:50,FALSE,"Javascript got you down? Do you see fancy single page applications and wonder how in the world that thing works? Do you make this stuff every day and just want to make more or see someone else's approach? This intermediate level panel is for you! This is the first of two sessions -- please come to both! In this session, we will focus on tooling, structure, mock data sets, and build process. Follow along with the presenter, and walk away with a working single page app. Stan represents Bitovi. To get the best head start, clone https://github.com/shcarrico/skel-html5 and follow the readme for install directions.   Speakers include:Stan Carrico","Montcalm",PUBLIC
"Developing Software for Penguicon",5/2/2014,19:00,5/2/2014,19:50,FALSE,"Penguicon has begun to host hackathons year-round to develop software to help organize this convention: tuxtrax.org. Please join us at the whiteboard! Developers and interested stake holders will meet to discuss the project's purpose, stack, and next steps. Look at the user stories in the readme and the flowchart image in the wiki: https://github.com/MattArnold/penguicontrax  Speakers include:Matt Arnold, Bruce Webber, John D. Bell, Janet Gocay, Chad Crabtree, Jeff Quesnelle, Stan Carrico","Board of Regents",PUBLIC
"BoF: Raspberry Pi",5/2/2014,20:00,5/2/2014,20:50,FALSE,"Be honest... if you had the Raspberry Pi a few years ago, you would have thought it was a dream machine. Now it has many practical and fun uses. What would you do with one?    Speakers include:","Board of Regents",PUBLIC
"Eric S. Raymond: Ask Me Anything",5/2/2014,20:00,5/2/2014,20:50,FALSE,"Ask ESR Anything.  What's he been working on? What's he shooting? What's he thinking about? What's he building in there?  Speakers include:Eric S. Raymond","Charlevoix B",PUBLIC
"Conquering HTML5 Apps: Session 2",5/2/2014,20:00,5/2/2014,20:50,FALSE,"Javascript got you down? Do you see fancy single page applications and wonder how in the world that thing works? Do you make this stuff every day and just want to make more or see someone else's approach? This intermediate level panel is for you! This is the second of two sessions -- please come to both! In this session, we will focus on tooling, structure, mock data sets, and build process. Follow along with the presenter, and walk away with a working single page app. Stan represents Bitovi. To get the best head start, clone https://github.com/shcarrico/skel-html5 and follow the readme for install directions.   Speakers include:Stan Carrico","Nicolet",PUBLIC
"BoF: Arduino",5/2/2014,21:00,5/2/2014,21:50,FALSE,"Arduino is the original open hardware controller. Come discuss how you can use it and share your enthusiasm  Speakers include:","Hamlin",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/2/2014,21:00,5/2/2014,21:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"Introduction to OpenBSD",5/2/2014,21:00,5/2/2014,21:50,FALSE,"OpenBSD is an open source operating system that emphases security and reliability. Come take a tour!  Speakers include:Steve Andre, Marcus Watts","Montcalm",PUBLIC
