Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Comic and Graphic Novel Writing",4/24/2015,16:00,4/24/2015,16:50,FALSE,"Writing for comics, graphic novels, and other sequential art forms is different from short story writing. Come learn the tricks of the trade.  Speakers include:BluRaven Houvener, Trico Lutkins, Jon David","Montcalm",PUBLIC
"Getting Started with the Michigan Comics Collective",4/24/2015,17:00,4/24/2015,17:50,FALSE,"Looking to get your feet wet in the world of comics but aren't quite sure how? Come join the Michigan Comics Collective, a home-grown Michigan-based group of independent comic book writers, publishers, and artists for a fun and informational panel!  Speakers include:Travis McIntire, Devin Foether, Stephen Sharar","Charlevoix C",PUBLIC
"BoF: Homestuck ",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Love homestuck? Hate Homestuck?  No matter how you may feel about it, there is no greater success story in the webcomic world than Homestuck.   Speakers include:","Board of Regents",PUBLIC
"The Rise of the Michigan Comics Collective",4/24/2015,20:00,4/24/2015,20:50,FALSE,"The Michigan Comics Collective is here to tell you more tricks of the trade, from the rise of the MCC to how it has assembled and helped some of the greatest Michigan based writers, publishers, and artists.  Speakers include:Travis McIntire, Devin Foether, Stephen Sharar","Montcalm",PUBLIC
"How to Start Up....and Keep Your Webcomic Going!",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Do you like Webcomics? Do you read webcomics? Have you ever wanted to start one of your own? Join Laura Cascos and her partners from the 7+ year running webcomic Sidekick Girl and BluRaven C. Houvener, writer and illustrator of the 3+ year running webcomic It's Just Another Day as they take you through tales of how they started up, got out there, and kept it going....and more importantly, how you can too!  Speakers include:BluRaven Houvener, Laura Cascos, Erika Wagner","Charlevoix B",PUBLIC
"You...You Don't Like My Webcomic?",4/25/2015,18:00,4/25/2015,18:50,FALSE,"Sadly it happens to us all at one time or another...and people aren't always so kind about it! Join Laura Cascos and Erika Wagner (the team behind the amazing Webcomic Sidekick Girl), BluRaven C. Houvener (writer and illustrator of It's Just another day), and Jon David (creative force behind the novel series Morgalla) as they walk you through the ins and outs of how to cope with criticism and survive to create another day!    Speakers include:BluRaven Houvener, Laura Cascos, Erika Wagner","Nicolet",PUBLIC
"Webcomic Underdogs Meet and Greet",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Webcomic Underdogs is an online organization with the mission of bringing together underground webcomic artists, writers, and publishers. Join us for a fun, exciting, and informational meet and greet that hopes to bring together many webcomic lovers and makers, and educate those that are interested in webcomics but have never quite known where to start.  Speakers include:BluRaven Houvener","Charlevoix C",PUBLIC
"Learn to Draw a Dragon",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Join Terry Pavlet as he teaches you how to draw a dragon!  Speakers include:Terry Pavlet","Board of Trustees",PUBLIC
"The Trials and Tribulations of the Artist's Lifestyle",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Join BluRaven C. Houvener (writer and illustrator of the Webcomic It's Just Another Day) and Gabrielle Nettles (Founder of Bad Catholic Films LLC) for another year of laugh out loud mayhem as they regale you with tales of success and failure that they've faced reaching towards fame and fortune. Comments and questions are encouraged!  Speakers include:Jennifer Hamilton, Gabrielle Nettles, BluRaven Houvener","Portage Auditorium",PUBLIC
"Comics vs. Manga? Is There Really a Difference?",4/26/2015,10:00,4/26/2015,10:50,FALSE,"An in depth discussion of these two visual mediums. Is an ocean the only thing that separates them, or is it so much more?  Speakers include:Cassy Sinke, BluRaven Houvener","Charlevoix B",PUBLIC
"Webcomic Reading",4/26/2015,12:00,4/26/2015,12:50,FALSE,"Got a webcomic you love with all your heart that you'd just love to see read aloud by random people most likely snickering and giving funky voices to your beloved characters? Then come on in!  Speakers include:BluRaven Houvener","Nicolet",PUBLIC
"LIVE PODCAST: Snake Oil Comics",4/26/2015,14:00,4/26/2015,15:50,FALSE,"Snake Oil Comics is a comics and nerd lifestyle podcast recorded live from Coy's Comics in Saginaw, MI. Hosts Travis McIntire, Devin Foether, and Jason Lloyd strive to support the industry they love by interviewing independent comic creators, talking about significant comic story lines or characters, and getting a comic shop owner's perspective on what's hot and what's not.   Speakers include:Travis McIntire, Devin Foether, Stephen Sharar","Baldwin Board Room",PUBLIC
"Crowdfunding Your Way to Success",4/26/2015,14:00,4/26/2015,15:50,FALSE,"Crowdfunding has taken the world by storm. Learn about the different types of crowdfunding and the ways they can help your project become a reality.  Speakers include:Maggie Maiville, Sarah Hans","Windover",PUBLIC
