allday,TRUE
event_type,Mayhem
All Day Event,TRUE
event_end,16:00
endday,4/28/13
private,PUBLIC
endtimeampm,4 PM
Location,Concourse
duration,48 hours
description,"You're it! Be on the lookout for a ribbon that says ""I'm a walker."" Once you've been infected, seek out your zombie brethren and infect others! Those presenting you with a zombie tag ribbon will give you further instructions.. for eating braaaaaiiins!"
index,9
speakers,Tim Slovik
Track,Mayhem
startday,4/26/13
Title,Zombie Tag
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,16:00
tracknosp,Mayhem
input,"['4/26/13', '16:00', '4/28/13', '16:00', 'Concourse', 'Mayhem', 'Zombie Tag', 'Tim Slovik', 'You\'re it! Be on the lookout for a ribbon that says ""I\'m a walker."" Once you\'ve been infected, seek out your zombie brethren and infect others! Those presenting you with a zombie tag ribbon will give you further instructions.. for eating braaaaaiiins!', 'TRUE', 'PUBLIC']"
End Date,4/28/13
calspeakers,Tim Slovik
speakerlist,['Tim Slovik']
hours,48
totalminutes,2880
caldescrip,"You're it! Be on the lookout for a ribbon that says 'I'm a walker.' Once you've been infected, seek out your zombie brethren and infect others! Those presenting you with a zombie tag ribbon will give you further instructions.. for eating braaaaaiiins!"
endtime,16:00
name,Zombie Tag
Private,PUBLIC
venue,Concourse
Book Description,"You're it! Be on the lookout for a ribbon that says ""I'm a walker."" Once you've been infected, seek out your zombie brethren and infect others! Those presenting you with a zombie tag ribbon will give you further instructions.. for eating braaaaaiiins!"
Presenters,Tim Slovik
starttime,16:00
Start Date,4/26/13
minutes,00
allday,TRUE
event_type,General Events
All Day Event,TRUE
event_end,14:00
endday,4/28/13
private,PUBLIC
endtimeampm,2 PM
Location,Concourse
duration,45 hours
description,The Chaos machine returns to shape your wildest engineering imagination into a functioning beacon of collective brilliance. Find some old friends or new acquaintances to help build the machine from the ground up!!
index,11
speakers,Open
Track,General Events
startday,4/26/13
Title,Chaos Machine
Start Time,17:00
event_start,17:00
starttimeampm,5 PM
End Time,14:00
tracknosp,GeneralEvents
input,"['4/26/13', '17:00', '4/28/13', '14:00', 'Concourse', 'General Events', 'Chaos Machine', 'Open', 'The Chaos machine returns to shape your wildest engineering imagination into a functioning beacon of collective brilliance. Find some old friends or new acquaintances to help build the machine from the ground up!!', 'TRUE', 'PUBLIC']"
End Date,4/28/13
calspeakers,Open
speakerlist,['Open']
hours,45
totalminutes,2700
caldescrip,The Chaos machine returns to shape your wildest engineering imagination into a functioning beacon of collective brilliance. Find some old friends or new acquaintances to help build the machine from the ground up!!
endtime,14:00
name,Chaos Machine
Private,PUBLIC
venue,Concourse
Book Description,The Chaos machine returns to shape your wildest engineering imagination into a functioning beacon of collective brilliance. Find some old friends or new acquaintances to help build the machine from the ground up!!
Presenters,Open
starttime,17:00
Start Date,4/26/13
minutes,00
allday,TRUE
event_type,Mayhem
All Day Event,TRUE
event_end,14:00
endday,4/28/13
private,PUBLIC
endtimeampm,2 PM
Location,Concourse
duration,45 hours
description,"Have you seen a lovely winged fairy distributing ribbons? She only has one rule, ""Give a ribbon, get a ribbon."" Look for her about the convention spreading ribbon fairy dust all over the place."
index,19
speakers,Ribbon Fairy
Track,Mayhem
startday,4/26/13
Title,Ribbon Fairy
Start Time,17:00
event_start,17:00
starttimeampm,5 PM
End Time,14:00
tracknosp,Mayhem
input,"['4/26/13', '17:00', '4/28/13', '14:00', 'Concourse', 'Mayhem', 'Ribbon Fairy', 'Ribbon Fairy', 'Have you seen a lovely winged fairy distributing ribbons? She only has one rule, ""Give a ribbon, get a ribbon."" Look for her about the convention spreading ribbon fairy dust all over the place.', 'TRUE', 'PUBLIC']"
End Date,4/28/13
calspeakers,Ribbon Fairy
speakerlist,['Ribbon Fairy']
hours,45
totalminutes,2700
