Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/30/2016,16:00,4/30/2016,17:50,1 hour and 50 minutes,"Algonquin A","After Dark","Body Painting","Jeannie Arquette","Come watch a live demonstration of body painting!  Jeannie Arquette and her team from Artifice FX will create a character design just from body paint on a model while you watch! This panel is for ages 18+ only. Minors are not allowed (with or without a parent).",FALSE,PUBLIC,"none"
5/1/2016,10:00,5/1/2016,11:50,1 hour and 50 minutes,"Algonquin A","Life, Action Adventure","Engineer's Guide to Self Defense","Derek Newland","Open to everyone!  Come learn or contribute easy ways to add to your self defense skills using simple principles of leverage and movement!  There will be waivers that need to be signed to participate- and everyone is welcome to do so - Minors need parental accompaniment in order to do so.",FALSE,PUBLIC,"none"
5/1/2016,15:00,5/1/2016,15:50,50 minutes,"Algonquin A","Action Adventure","Eryndor Dagorhir","Adrienne Johnson (Kalika)","Dagorhir combines fast-paced full-contact combat simulation with elements of live action role-playing. Get a summary of the rules and pick your weapon!  Several people from the local realm of Eryndor will be on hand to spar and answer questions.",FALSE,PUBLIC,"none"
5/1/2016,14:00,5/1/2016,14:50,50 minutes,"Algonquin A","Gaming","G33K Atho10n 2.0","William E. Bowen","Come play an open source or retro game while performing an exercise! See if you can play a platform game with a game controller while squatting- or perform a 1 Arm Row with a band with 1 hand and play a retro shooter game that uses the directional buttons on a gamepad on the other hand. The player with the highest number of reps wins. An awesome way to experience somewhat obscure- yet awesome console and PC games- while burning off some con-calories at the same time.",FALSE,PUBLIC,"none"
4/30/2016,10:00,4/30/2016,11:50,1 hour and 50 minutes,"Algonquin A","Action Adventure","Geeks with Guns Virtual Range","Stuart Chisholm, Rob Reed","Love to shoot handguns but can't make it to our live fire event before the con?  Or want to learn how to shoot but without the noise- recoil and potential danger?  OR just want to have a great time?  Then the Virtual Range is a must visit!  The only things flying downrange are photons.  Our Laser pistols have the look and feel of a real Glock 17- but emit only light.  Newbies will get actual instruction from certified professionals free of charge!  This time out- we have added more reactive targets to the mix -- things that jump- fall or light up - for even more fun!  Get your 'Geek Militia' ribbon ONLY at the GwG Virtual Range!",FALSE,PUBLIC,"none"
4/29/2016,16:00,4/29/2016,17:50,1 hour and 50 minutes,"Algonquin A","Action Adventure","I know Kung Fu","Mike SanDiego","' I know Kung Fu.' Sound familiar? Thanks to movies like the Matrix and Kung Fu Panda- this ancient martial art is fairly well known in the west. But do you actually know what it really is? If you want to find out- come and learn some basics of this ancient art form that is thousands of years old- and get a taste of what real Kung fu is like!  This workshop will be active- so dress comfortably! Workout pants and sneakers would be ideal- dress clothes- costumes- or restrictive clothing should be avoided. For safety reasons- this is not a workshop generally recommended for children or those with medical and or physical conditions that would make high mobility a health risk.",FALSE,PUBLIC,"none"
4/29/2016,22:00,4/29/2016,22:50,50 minutes,"Algonquin A","After Dark","Impact Play for Beginners","(Rabbit) Michael McPeek","Want to learn about impact play? Then come in and play!  This interactive class- geared toward beginners- will show you how to get started doing impact play with floggers and riding crops. You'll learn where and where not to hit- how to practice- and different types of impact toys - some found even right in your kitchen! This panel is for ages 18+ only. Minors are not allowed (with or without a parent). This panel is for ages 18+ only. Minors are not allowed (with or without a parent).",FALSE,PUBLIC,"none"
4/30/2016,19:00,4/30/2016,20:50,1 hour and 50 minutes,"Algonquin A","Action Adventure","Introduction to Blues Dancing","Janea Schimmel, Kent Kovac, Maggie Robinson, Ryan Carter","Have you always wanted to do partner dancing- but find keeping yourself within a set pattern constraining? Blues dance is an American idiom of partner dance that is freeform with limitless possibilities for creativity- including throwing out the partner bit and going solo. While blues dance gave rise to hip hop dancing- it also survives in modern culture as the awkward high school slow dance. Except real blues dance has more- well- pizzazz and a lot less awkwardness. No need for special shoes or a partner- comes as you are and well help you learn to groove.",FALSE,PUBLIC,"none"
4/30/2016,14:00,4/30/2016,14:50,50 minutes,"Algonquin A","Action Adventure","Introduction to Parkour Featuring Phoenix Freerunning Academy","Jesse Harrison, Anthony Rembisz, Raymond Guzzo","Parkour is a physical movement discipline that focuses on getting from point A to point B in the most efficient way possible- navigating obstacles along the way- most often in urban environments. Phoenix Freerunning Academy is a parkour and freerunning gym in Livonia that teaches the discipline of parkour and the instructors from this gym will be returning to Penguicon to host another Introduction to Parkour workshop in which we will both demonstrate some of our abilities as well as teach you how to jump- how to roll- how to balance and we will go over some of the basic vaults- including safety- speed and kong! ",FALSE,PUBLIC,"none"
4/30/2016,8:00,4/30/2016,8:50,50 minutes,"Algonquin A","Life, Action Adventure","JAC3D G33K Fitness Bootcamp","William E. Bowen","A heart pumping- high adrenaline full body training experience designed to trim and sculpt you for the hot months a head.  Includes strength training using various options including body weight- resistance bands to the keep the body guessing along with cardio intervals to maximize calories burned.  This training session will also be accompanied by some of the greatest video game and nerd core music.",FALSE,PUBLIC,"none"
