Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/26/2015,1:00,4/26/2015,1:50,50 minutes,"Algonquin B",Music,"Chip Music Open Mic","",'Do you fancy yourself a chip artist? Come throw down a few tracks and prove it!',FALSE,PUBLIC,Sound System
4/26/2015,0:00,4/26/2015,0:50,50 minutes,"Algonquin B",Music,"Chip Rave w/ #teamswoop","Barbeque, Snesei, Monotony, Walk in Circles, DJ Seanni B, ",'Join #teamswoop for some chiptunes awesomeness!',FALSE,PUBLIC,Projector
4/25/2015,20:00,4/25/2015,20:50,50 minutes,"Algonquin B",Music,"Performance: Derwood Bowen + 2d6","Derwood Bowen, 2d6",'An up-and-comer from Westerville- OH- Derwood Bowen has been recording comedy songs- including parody songs- for 10 years- and has been a frequent contributor to the Sideshow at thefump.com. 2d6's rhymes are about the geekiest of geek topics: DIY conventions- Boba Fett- Amedeo Avogadro- daikaiju- geek girls- and the like.  ',FALSE,PUBLIC,Sound System
4/25/2015,23:00,4/25/2015,23:50,50 minutes,"Algonquin B",Music,"Performance: Mikey Mason","Mikey Mason",'Mikey (She Don’t Like Firefly- Best Game Ever) is a full­-time standup comedian whose work has been featured on Sirius/XM Satellite Radio- DrDemento.com- Nerdist.com- MTV Geek News- SyFy's Blastr.com- Time Magazine's Techland- and on theFuMP.com. He has made multiple appearances both on NBC and at the legendary House Of Blues- headlined on all four coasts and performed at the Atlantis Resort in the Bahamas- Geek Media Expo- Browncoat Ball- and RPG conventions across the US.',FALSE,PUBLIC,Sound System
4/25/2015,21:00,4/25/2015,21:50,50 minutes,"Algonquin B",Music,"Performance: My Parents Favorite Music","MPFM",'Steffeny 'Steffo' Messinger refers to her pseudonym/moniker 'My Parents Favorite Music' for the video game and pop culture influenced music she writes- produces- and records independently. Releasing albums as pieces of the map to a mysterious island- she tours the country bringing clever wordplay and a colorful presence to her musical adventure- and every listener is welcome to be a part of the MPFM story. ♫ ♪',FALSE,PUBLIC,Sound System
4/25/2015,22:00,4/25/2015,22:50,50 minutes,"Algonquin B",Music,"Performance: StarF","StarF",'StarF is a hip hop artist from Minnesota who primarily functions within the nerdcore community. He occasionally yells at a microphone and calls the results music. Once in awhile he likes to go out in public and shout at groups of people much to their confusion- calling it a performance of this aforementioned music. If you've ever wanted to experience the excitement of some guy who likes to LARP as a rockstar yelling words at you in rapid succession over wonderfully bass-laden instrumentals it would be in your best interest to see StarF perform.',FALSE,PUBLIC,Sound System
4/26/2015,12:00,4/26/2015,12:50,50 minutes,"Algonquin B",Science,"Aerospace Engineering for Beginners","Albert Manero",'The Bureau of transportation estimates that one out of every three american adults has flown in an airplane in the last year.  Think about what a miracle that is. As Neal Stephenson so eloquently put it- all those people- “strapped into bad chairs- stuffed into an aluminum tube aslosh with jet fuel-” hurtling through the atmosphere at up to 85% of the speed of sound.  What goes into that modern day miracle?  What kind of things do you learn as an Aerospace Engineering Doctorate Candidate?  Come listen to Albert Manero- who just happens to be one!',FALSE,PUBLIC,none
4/25/2015,14:00,4/25/2015,14:50,50 minutes,"Algonquin B",Tech,"Cloud + Open Source + Microsoft = Azure","Jennifer Marsman",'Microsoft does open source?  Yes!  Microsoft Azure is a cloud computing platform with support for Linux virtual machines- node.js- PHP- Python- Android- iOS- Hadoop- Chef- Puppet- and more.  In this session- we will demonstrate some of Azure's power- including its machine learning capabilities.  You will walk away with the resources to get started in the cloud.',FALSE,PUBLIC,Projector
4/25/2015,10:00,4/25/2015,10:50,50 minutes,"Algonquin B",Tech,"Droid tk","Clif Flynt",'Need a working demo but don't have a full development system? Your 'droid tablet or phone becomes a complete development environment when you install a simple text editor and the Tcl/Tk interpreter.  Tcl/Tk supports graphics- sockets- interaction with sensors and more. Clif will introduce Tcl/Tk's Droid features and show how to write an application for the 'droid.',FALSE,PUBLIC,Projector
4/26/2015,14:00,4/26/2015,14:50,50 minutes,"Algonquin B",Tech, Life,"How to Get (and Keep) a Tech Job","Mark Haynes, Douglas Johnson",' To get a professional job- you must be adept at phone and Skype screening interviews. Once you get a job- you might be expected to program for 3 browsers plus Android and IOS devices- flawlessly. Or as a tester- you'll want to know mobile testing tools plus the Agile environment. We'll talk about all this- and more!',FALSE,PUBLIC,Projector
