Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/29/2016,18:00,4/29/2016,18:50,50 minutes,"Algonquin B/C","Penguicon","Opening Ceremonies","Scott Kennedy, Daniel Dugan, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Miranda Webster, Jessica Roland, Julie, Winningham, Ann Lemay, Ann Leckie, Cathrynne Valente, Deb Nicholson, Jason Mars, Lingjia Tang","Join our con chair- Scott Kennedy- the Con Committee- and our Guests of Honor as we open this bad boy up for the weekend.  You never know what surprises might be in store!",FALSE,PUBLIC,"none"
4/29/2016,19:00,4/29/2016,19:50,50 minutes,"Algonquin B/C","Penguicon","All Hands Active Keynote","Greg Gage","Have you ever been curious about how your five senses really sense? How can you remember what your grandmother looks like? The secret lies in your body’s hidden electrical network that lives just below our skin and skulls: our nervous system! This talk will be hands-on demonstration of the basic principles of neuroscience and will explore the fascinating field of “electrophysiology”. Using our 'DIY' neuroscience tools- we will begin to see and hear what the brain actually looks like! We will continue to go deeper… exploring neurophysiology- functional electrical stimulation- micro-stimulation’s effect on animal behavior- neuropharmacology- even neuroprosthesis and human-to-human interfaces! (Don’t worry… all these will be explained in easy-to-follow experiments).",FALSE,PUBLIC,"none"
4/29/2016,21:00,4/29/2016,21:50,50 minutes,"Algonquin B/C","Media","Wesley and the Crushers","","Wesley and the Crushers is a modern- one-of-a-kind musical exploration that is both 'geeky' and passionate -- passionate in their admiration and love for all things 'geeky' -- and completely geeked-out in their approach to their number-one passion- which is music.",FALSE,PUBLIC,"none"
4/30/2016,10:00,4/30/2016,10:50,50 minutes,"Algonquin B/C","Tech","TopicHero  for Topic Heroes","Dr. Justin Coven","TopicHero (http://TopicHero.com) allows users to create and share multiple Topics across different devices and browsers. Topic elements include Search Engines- RSS Feeds- and Links- in addition to typical web page elements. This is a different way of slicing web information- where the focus is on Topics as opposed to a focus on a Search Engine- device- browser- or RSS Feed. TopicHero arises from a philosophy that it is the topic that is critical and that users need effective tools to bring as many resources to bare on specific topics as possible. This is particularly true in business where many users are dedicated to working on specific topics for long periods of time. ",FALSE,PUBLIC,"none"
4/30/2016,11:00,4/30/2016,11:50,50 minutes,"Algonquin B/C","Tech","The Future of Biohacking","Amal Graafstra, Anita Fowler, Greg Gage","Three of our Featured Guests look into the future to discuss how we could incorporate new technology into our bodies- and what the benefits can be for us as individuals and as communities.",FALSE,PUBLIC,"none"
5/1/2016,11:00,5/1/2016,11:50,50 minutes,"Algonquin B/C","Literature","What Have You Read?","Jim Leach, Andrea Johnson, Stewart Sternberg, Nicole Castle","What's something amazing that you read recently that you want to tell the world about?",FALSE,PUBLIC,"none"
4/30/2016,12:00,4/30/2016,12:50,50 minutes,"Algonquin B/C","Tech","Build Your Own Router","Steven Ostrowski, Tom Lawrence, Britain Woodman","Yes- you could just go to the store and buy a router- but where is the coolness in that? Making your own out of a spare computer or an inexpensive Raspberry Pi gives you major geek cred points. In today's world- with the FCC asking manufacturers to limit access to router firmware- knowing how to make your own is more important than ever. Our panel will share tips and tricks to help you conquer this and get your merit badge!",FALSE,PUBLIC,"none"
4/30/2016,13:00,4/30/2016,13:50,50 minutes,"Algonquin B/C","Tech, Life","Bringing Sci-Fi into the Everyday: Augmented reality in a Children's Hospital","Christina York","Featured Guest Christina York tells us about one company's mission to put augmented reality (AR) technology to good use- highlighting some inspirational sci-fi moments and then describe how they are taking AR out of the movies and creating moments of wonder and joy for kids in hospital. ",FALSE,PUBLIC,"none"
4/30/2016,14:00,4/30/2016,14:50,50 minutes,"Algonquin B/C","Tech","Business Class Networking on a Home Budget","Tom Lawrence","This presentation on networking on a home budget will cover DDWRT- pFsense and UniFi wireless routers",FALSE,PUBLIC,"none"
4/30/2016,15:00,4/30/2016,15:50,50 minutes,"Algonquin B/C","Literature","Writing the Alien","Tobias Buckell, Ferrett Steinmetz, Ramses Alcaide","The challenge of writing an intelligence unlike our own lies at the heart of much of our best science fiction. How does an author tackle this difficult task?",FALSE,PUBLIC,"none"
