Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/25/2015,9:00,4/25/2015,9:50,50 minutes,"Algonquin C",Tech,"Getting Involved in the Open Source Community","Kevin O'Brien, Tom Callaway, Ruth Suehle, Emily Gonyer, 
William A. Rowe Jr.",'Whether you are into circuitry- soda- 3d printing- DIY furniture- or software- there is an open source community for you. This panel answers questions like 'How do I find them? What can I do to introduce myself? How can I help?'',FALSE,PUBLIC,none
4/25/2015,10:00,4/25/2015,10:50,50 minutes,"Algonquin C",Life,"From Mono to Poly and Poly/Mono","Catrice Thornton, Isaac Thornton ",'Exploring polyamory can be a challenge for those new to it. Opening up a monogamous relationship is full of its own set of unique challenges. Discussions on opening up- training wheels for newbies- avoiding pitfalls- as well as dealing with those not avoided. Will also touch on what happens when one partner doesn't want to date others as their partner moves into poly.',FALSE,PUBLIC,none
4/25/2015,12:00,4/25/2015,12:50,50 minutes,"Algonquin C",Tech, Life,"How to Get (and Keep) a Tech Job","Donald Mark Haynes, Douglas Johnson",' To get a professional job- you must be adept at phone and Skype screening interviews. Once you get a job- you might be expected to program for 3 browsers plus Android and IOS devices- flawlessly. Or as a tester- you'll want to know mobile testing tools plus the Agile environment. We'll talk about all this- and more!',FALSE,PUBLIC,Projector
4/25/2015,13:00,4/25/2015,13:50,50 minutes,"Algonquin C",Life,"LGBT Alphabet Soup","Mari Brighe, Cassy Sinke, April Nance, Mark Oshiro",'The words we use to describe ourselves are an important part of our identiy. This panel will examine the many different terms used within the LGBT Community and what they mean. ',FALSE,PUBLIC,none
4/25/2015,14:00,4/25/2015,14:50,50 minutes,"Algonquin C",Life,"LGBT in Fandom","Mari Brighe, Cassy Sinke, April Nance, Mark Oshiro",'Join us for a group discussion on LGBT/Queer Culture within fandom. With a moderator guiding the discussion- we will share and discuss our experiences of being gender and/or sexual minorities within various fandoms. Let us talk about the challenges we have faced- the successes we have seen- and the opportunities there are for improving inclusivity and diversity within fandom. Those who attended the panel last year will want to join us again! As with any place at Penguicon- bigotry and harassment will not be tolerated.',FALSE,PUBLIC,none
4/25/2015,15:00,4/25/2015,16:50,1 hour and 50 minutes,"Algonquin C",Costuming,"BoF: Cosplay Model Figure Illustration","",'You spent all night/month/year working on your in-depth cosplay of your absolute favorite character. You get to walk around in it- have some pictures taken- and then set it aside until your next Con...or maybe never again. That's just not good enough! Come and model it for some hopeful artists! Cosplayers and artists of all skill-levels- please join us!',FALSE,PUBLIC,none
4/25/2015,17:00,4/25/2015,17:50,50 minutes,"Algonquin C",Life,"Rathbone's Pirate Magic Show","Misha Tuesday",'Rathbone the Pirate performs an interactive show of magic- illusion- and mind reading.',FALSE,PUBLIC,none
4/25/2015,18:00,4/25/2015,18:50,50 minutes,"Algonquin C",Life, Film, Literature,"Winter Is Coming","Jeffrey Beeler",'We'll take a look at the past seasons of Game of Thrones- the books- and the current season. Has the TV series lived up to the books? Will you continue watching the new season? What are you looking forward to seeing in future episodes?',FALSE,PUBLIC,none
4/25/2015,19:00,4/25/2015,19:50,50 minutes,"Algonquin C",Action Adventure,"Adventure As A Way Of Life","Matt Arnold, Heather Fish, Moshe Yudkowsky",'Not everyone can get outside of their comfort zone as a matter of course. But that's where the most treasure is. Let's discuss the practicalities and challenges of not depending on a reassuring hobbit hole of stability; the necessary values and priorities; building resilience and flexibility toward change; and estimating risk and courage.',FALSE,PUBLIC,none
4/26/2015,10:00,4/26/2015,10:50,50 minutes,"Algonquin C",Life,"How to Survive in the Corporate World When You’re Different","Marie Staver",'In many office environments- no one seems to notice your beliefs- gender preferences- hobbies or even gender- as long as you fit in with expectations. We’ll talk about how you can work in a Wonderbread office when you’re more of a spicy Rye.',FALSE,PUBLIC,none
4/26/2015,11:00,4/26/2015,11:50,50 minutes,"Algonquin C",Action Adventure,"Gender Inclusion in Physical Activities","Heather Fish, Marie Staver",'Gender segregation is often presented as necessary to support and promote female athletes. 'Separate but equal' is inherently unequal and harms the segregated by undermining their inclusion. Like all forms of segregation- gender segregation reinforces harmful stereotypes- problematic binaries- and discrimination. This panel by two female martial-arts instructors and athletes will address how physical activities can be approached to positively support the inclusion of all genders.',FALSE,PUBLIC,none
4/26/2015,12:00,4/26/2015,12:50,50 minutes,"Algonquin C",Life,"Polyphasic Sleep How-To","Marie Staver",'Many people have now heard of polyphasic sleep -- an alternative method of scheduling sleep that reduces overall sleep-need by replacing single daily blocks of sleep with more frequent short naps -- and its many benefits (and challenges!). Come talk to the current longest-running polyphasic sleeper and author of the topic's most comprehensive book for the gritty details on how to decide if it's for you- develop a schedule- prepare for the change- and get through the tricky adjustment period. Bonus discussions may include 'napping in stores without getting caught'- 'how surprisingly difficult it is to fill several extra hours per day'- and 'drool: social tips & tricks'.',FALSE,PUBLIC,none
4/25/2015,11:00,4/25/2015,11:50,50 minutes,"Algonquin C",Eco,"12 Uses for a 5-Gallon Bucket in the Garden","Janice Leach ",'Lots of fun surprises and ideas for making use of a 5 gallon bucket for a variety of tasks and purposes. 5 gallon buckets are readily available in stores or repurposed by gardeners of all skill levels to become everything from storage to planters.',FALSE,DEFAULT,none
