Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/25/2015,19:00,4/25/2015,19:50,50 minutes,"Algonquin D",Penguicon Events,"2014's Con Chair Roast","Nuri Gocay, Misha Tuesday, Dawn Kuczwara, James Gamble, Britain Woodman",'Our fearless leader has finally found something to fear - a roasting by his friends and underlings! It's probably all in good fun- but don't expect everyone to be sober.',FALSE,PUBLIC,none
4/24/2015,22:00,4/24/2015,22:50,50 minutes,"Algonquin D",Tech, Action Adventure,"Advancements in 3D Printed Firearm Technology","ZhuangZi",'The last year has seen significant advancements in the capabilities of 3D printed firearms.  Continual development of older designs has led to printed firearms with round counts over 1000 with no signs of failure.  New actions have been developed which exploit the strengths of 3D printed material.  And for the first time- functional 3D printed magazines have been demonstrated.  Come get up to speed on the current state of 3D printed firearms- get some hands-on time with some of the latest iterations- and participate in a discussion on the interplay between technology and basic human rights.',FALSE,PUBLIC,Projector
4/24/2015,17:00,4/24/2015,17:50,50 minutes,"Algonquin D",Tech,"An Introduction to Docker: What are Linux Containers?","Nathan LeClaire",'Heard about Docker and curious to know more? In this talk Nathan LeClaire- an engineer at Docker Inc.- will go over some of the 'what'- 'why'- and 'how' of Linux containers. Docker has emerged as an exciting new way for developers to build- ship- and run applications and eliminate the pain of moving them from computer to computer. We will be going over the fundamentals- as well as the direction the technology will be heading in the future.',FALSE,PUBLIC,Projector
4/25/2015,20:00,4/25/2015,20:50,50 minutes,"Algonquin D",Science,"Asteroids, Near-Earth Objects, and Meteorites","Bob Trembley",'The discovery rate of asteroids and near-earth object has exploded in the last decade due to advances in imaging technologies. Bob discusses Solar System formation - where asteroids- comets- and meteorites came from- and their history. Also discussed are the Chelyabinsk- Tunguska- and K-T impact events. Bob will bring pieces of his meteorite collection for audience members to see and handle!',FALSE,PUBLIC,Projector
4/25/2015,13:00,4/25/2015,13:50,50 minutes,"Algonquin D",Science,"Better Living Through Neuroprosthetics","Cynthia Chestek",' Cynthia Chestek- Assistant Professor of Biomedical Engineering for the University of Michigan- will talk about the wide range and scope of neural prostheses already on the market- and where we are today relative to where science fiction had imagined we might be.',FALSE,PUBLIC,Projector
4/25/2015,17:00,4/25/2015,17:50,50 minutes,"Algonquin D",Tech, DIY,"Building the "Great Beast of Malvern"","Eric Raymond, Wendell Wilson, John D. Bell",'One of us needed a new computer. One of us kicked off the campaign to fund it. One of us assembled the massive system. One of us installed the software. We were never all in the same place at the same time. All of us blogged about it- and had a great time with the whole folderol. Come hear how Eric 'esr' Raymond got his monster machine- with 'a little help from his friends' scattered all over the Internet.',FALSE,PUBLIC,Projector
4/24/2015,21:00,4/24/2015,21:50,50 minutes,"Algonquin D",Tech,"Continuous Delivery: Make Software Config and Deployment Quick and Painless","Mark Henke",'We are going to explore continuous delivery as a solution to the arduous problems of configuration and deployment management. Begone long hours of painful- error-prone releases! This method should make config and deployment- painless- easy and quick. This is an intermediate level topic for those familiar with software development.',FALSE,PUBLIC,Projector
4/25/2015,10:00,4/25/2015,10:50,50 minutes,"Algonquin D",Tech,"Designing Industrial Control Systems to Resist Cyberattack","Phil Salkie",'Industrial Control Systems are late arrivals to the 'Internet Age-' and many of the connectivity options which are available for Programmable Logic Controllers (PLCs) were not designed with network security in mind.  Vendors can take years to fix known vulnerabilities- or in some cases just seem to ignore them outright.  The internet has brought once remote- disconnected devices within reach of 'bad actors' everywhere - network-based attacks on controls systems are on the increase. Fortunately- spending time in the design phase can overcome a majority of these problems at minimal expense- protecting your system through its architecture.  This class will discuss the design of PLC systems and the network communications options which are available today- and how to select components to minimize external attack surface.',FALSE,PUBLIC,Projector
4/26/2015,15:00,4/26/2015,15:50,50 minutes,"Algonquin D",Tech,"Eric S. Raymond: Ask Me Anything","Eric Raymond",'Ask ESR Anything. What's he been working on? What's he shooting? What's he thinking about? What's he building in there?',FALSE,PUBLIC,none
4/26/2015,13:00,4/26/2015,13:50,50 minutes,"Algonquin D",Tech,"Getting Apps Working on Wine","Jeff Hanson",'Discussion of technical problems with application installation and operation on Wine in a Linux environment. Dependencies- tools- DRM/copy-protection- support resources- and AppDB test submissions will be covered.',FALSE,PUBLIC,Projector
