Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/24/2015,23:00,4/24/2015,23:50,50 minutes,"Board of Governors","After Dark","Open Kink","Mitchell Peters, Jennifer Reisbig, Katherine Hatfield-Nix","An guided discussion for those who enjoy talking about all things kinky. What is kink- what you enjoy about it- and everything else. Just bring your kinky ideas- and an openness to talk... or just to listen!",FALSE,PUBLIC,"none"
4/24/2015,22:00,4/24/2015,22:50,50 minutes,"Board of Governors","After Dark","Rope Basics: Bedroom & Beyond","Kernelbrandon, Rabbitdancer","Bring your rope and comfortable clothes to learn the basics of tying up someone (consensually- of course!) in the bedroom! A partner is not strictly necessary (all of the ties in the class can be tied solo)- but is helpful and fun. You'll learn single & double column ties- bed post tie offs (which are also helpful camping)- and- if time allows- a simple body harness. Also- a limited amount of rope will be on hand for those who'd like to participate but don't have any.",FALSE,PUBLIC,"none"
4/25/2015,22:00,4/25/2015,22:50,50 minutes,"Board of Governors","After Dark","Sex Toys with S&M","Maggie Maiville, Shannon Marshall","Ever wonder what a 'silver bullet' is? Why was 'the rabbit intervention' such a popular episode on Sex & the City? If I don't use it- will I lose it? Shannon & Maggie (S&M) have been educating and empowering South East Michigan since 2007. Walk with them through the basics of introducing 'buzzing buddies' into the bedroom. (18+ please)",FALSE,PUBLIC,"none"
4/24/2015,16:00,4/24/2015,16:50,50 minutes,"Board of Governors","Costuming","Beginning Cosplay","Wendy Carson, John Belden","These days you can't turn around at a con without seeing someone in costume and they look to be having so much fun! This panel is a primer to help you to join this awesome community. It will help you avoid some common missteps in creation as well as comfort- movement and confidence.",FALSE,PUBLIC,"none"
4/26/2015,10:00,4/26/2015,10:50,50 minutes,"Board of Governors","Costuming","Pattern Alterations for All Body Types","Wendy Carson, John Belden, Jeannie Arquette","Since everyone comes in different shapes and sizes- it can be difficult to find a pattern or costume to match your cosplay idea. We will cover alteration techniques- and various other conversion or reimagining ideas in order to help you create the costume you really want.",FALSE,PUBLIC,"none"
4/25/2015,11:00,4/25/2015,11:50,50 minutes,"Board of Governors","DIY","Beginner's Guide to Metalworking","Kent Newland, Derek Newland","Learn metalworking- welding theory and safety presented by two knowledgeable individuals whose combined experience totals 10+ years. Also- learn about why welding and blacksmithing is a useful tool to learn- and what you can do with different metals.",FALSE,PUBLIC,"none"
4/25/2015,13:00,4/25/2015,13:50,50 minutes,"Board of Governors","Eco","Beekeeping for Sustainable Farming and Homesteading","Dan Eakin","An introduction to beekeeping for homesteading.  Learn the tools of the trade- best practices- and harvesting techniques.  ",FALSE,PUBLIC,"none"
4/24/2015,19:00,4/24/2015,19:50,50 minutes,"Board of Governors","Eco","Homesteading for the Beginner ","Dan Eakin, Matthew Grieshop","Interested in learning how to live a more self-sustaining life?  Come and see how you can get started on the homesteading path from two experienced homesteaders.  Learn how they got started and what they have found to work. ",FALSE,PUBLIC,"none"
4/25/2015,14:00,4/25/2015,14:50,50 minutes,"Board of Governors","Eco","Vermicomposting","Dan Eakin","Worms are our friends- especially when they help us get rid of the mountians of compostable trash in our lives.  Learn how to keep your worms happy and your compost pile healthy. ",FALSE,PUBLIC,"none"
4/26/2015,11:00,4/26/2015,11:50,50 minutes,"Board of Governors","Film","Scriptwriting Tips","James Fernandez, Rachael Acks, Mary Lynne Gibbs","Aching to write a script for that great movie idea that's been bouncing around in your head? Come get some tips and tricks for how to get started on writing a script.",FALSE,PUBLIC,"none"
4/24/2015,18:00,4/24/2015,18:50,50 minutes,"Board of Governors","Life","Communication for Geeks","Ed Platt","Flame wars got you down? Come learn about techniques for better communication and conflict resolution. In its third year- this panel will cover the usual: active listening- nonviolent communication- facilitation- and conflict resolution. We'll also discuss examples and opinions from current events in geekdom.",FALSE,PUBLIC,"none"
4/24/2015,21:00,4/24/2015,21:50,50 minutes,"Board of Governors","Life","Friendship at the Speed of Sound","Jessica Roland, Carol Thomas, Paul Kemner","Meeting people can be difficult and sometimes impossible to do as an adult. This is especially true if you find social settings overwhelming. Come to this panel to meet other attendees in a informal setting. Find people with similar interests to hang with while you are at the con. Conversation starters will be provided.",FALSE,PUBLIC,"none"
