Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/25/2015,17:00,4/25/2015,20:50,3 hours and 50 minutes,"Board of Regents",After Dark,"Live Body Paint","Sarah Metzler, Jeannie Arquette",'Watch the magic happen as we transform our beautiful model into a work of art! Stop by throughout the evening and watch the paint come to life. Feel free to take pictures and ask questions of the artists and model.',FALSE,PUBLIC,none
4/26/2015,10:00,4/26/2015,10:50,50 minutes,"Board of Regents",Anime,"BoF: Why Are There So Few Adult American Animated TV Series?","",'Let's talk about why most U.S. animated series are created for children when there is such a large market for adult animation abroad.',FALSE,PUBLIC,none
4/25/2015,10:00,4/25/2015,10:50,50 minutes,"Board of Regents",Costuming,"How to Lay a Crepe Wool Facial Hair","Melissa Ebbe",'Learn basic hair laying techniques used in special effects and costuming to create the look of inexpensive- realistic facial hair. Techniques will be demonstrated on a volunteer- and supplies will be discussed.',FALSE,PUBLIC,none
4/26/2015,11:00,4/26/2015,11:50,50 minutes,"Board of Regents",Costuming,"How to Use Make-up Contouring to Change Face Shape","Melissa Ebbe",'Learn to use basic contouring techniques to create a masculine face shape and a feminine face shape using only inexpensive make-up. Both techniques will be demonstrated on a volunteer!',FALSE,PUBLIC,none
4/25/2015,11:00,4/25/2015,11:50,50 minutes,"Board of Regents",Costuming,"Special Effects Makup: Jello edition","Kat McConnell, Jeannie Arquette",'Come find out about the cool effects you can pull off using unflavored gelatin as a base.',FALSE,PUBLIC,none
4/26/2015,12:00,4/26/2015,12:50,50 minutes,"Board of Regents",DIY,"Balloon Workshop","Tim Thurmond",'Tim shows you how to make balloon creations in this hands-on workshop!',FALSE,PUBLIC,none
4/25/2015,12:00,4/25/2015,13:50,1 hour and 50 minutes,"Board of Regents",DIY,"Geeks with Needles: Embroidery 101","Janet Gocay, Leigh Mileur",'Come learn the basics of hand embroidery! Join us to learn some stitches and techniques that you'll have plenty of time to practice. Materials will be provided- but spots are limited - please sign up at Ops!',FALSE,PUBLIC,none
4/26/2015,15:00,4/26/2015,15:50,50 minutes,"Board of Regents",Eco,"BoF: Homesteading","",'Come and share your homesteading experiences!',FALSE,PUBLIC,none
4/25/2015,22:00,4/25/2015,23:50,1 hour and 50 minutes,"Board of Regents",Film,"BoF: Sherlocked!","",'Modern Sherlock Holmes has addicted much of sf fandom and pro-dom. Join fellow fans for on open discussion of BBC's Sherlock 2010-2014. Includes s3 spoilers. We will ask up front if participants would prefer to avoid discussion of s4 spoilers.',FALSE,PUBLIC,none
4/26/2015,9:00,4/26/2015,9:50,50 minutes,"Board of Regents",Life,"BoF: Compliments Confidence ","",'Ever had a compliment make your day? Ever wish you'd handled giving -- or getting -- a compliment more gracefully? Let's talk a little about how to compliment someone thoughtfully- and options for responding. Then- we can practice giving and receiving compliments with each other.',FALSE,PUBLIC,none
