Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/2/2014,19:00,5/2/2014,19:50,50 minutes,"Board of Trustees",Lit,"Story Creation on the Fly --- An Audience Participation Experiment in Story Telling","Gib Nichols",'Please join us to create a scifi story! We will start with a few words- sentences or short description- then move around the room. Each person will have a chance to add a bit more to the story. Anyone can choose to skip a turn.  Add a character- kill one off.  Create a new world or new love.  Anything is possible. Non-creative and shy people will be encouraged to participate in a supportive environment.',FALSE,PUBLIC,none
5/2/2014,20:00,5/2/2014,20:50,50 minutes,"Board of Trustees",Food,"BoF: Foodie Meetup","",'Meet your fellow foodies of fandom!',FALSE,PUBLIC,none
5/3/2014,10:00,5/3/2014,15:50,5 hours and 50 minutes,"Board of Trustees",Videogaming,"Retro Gaming: Come Play!","Angie Rush, Brit Burke",'Relive your youth as you play away the hours on a collection of retro gaming systems- including Atari 2600- NES- SNES and many others. ',FALSE,PUBLIC,none
5/3/2014,17:00,5/3/2014,17:50,50 minutes,"Board of Trustees",Lit,"BoF: Story Creation on the Fly --- An Audience Participation Experiment in Story Telling","",'Please join us to create a scifi story during this birds of a feather event. We will start with a few words- sentences or short description- then move around the room. Each person will have a chance to add a bit more to the story. Anyone can choose to skip a turn.  Add a character- kill one off.  Create a new world or new love.  Anything is possible. Non-creative and shy people will be encouraged to participate in a supportive environment.',FALSE,PUBLIC,none
5/3/2014,18:00,5/3/2014,19:50,1 hour and 50 minutes,"Board of Trustees",Gaming,"Elementary, Dear Watson ","Selina Firecat",'There has been a murder!  Who did it?  Use your Sherlockian wits and deductive reasoning to solve a murder mystery in a social hors d'oeuvres laden Tea and scones environment.  Dressing up is encouraged.  Find this killer before he kills YOU!',FALSE,PUBLIC,none
5/3/2014,21:00,5/3/2014,23:50,2 hours and 50 minutes,"Board of Trustees",After Dark,"Live Body Paint","Jeannie Arquette",'Watch the magic happen as we transform our beautiful model into a work of art! Have you ever thought of becoming a body painter? Have you ever wanted to transform another person into something from your imagination- making them your own creation? Have you ever wanted to become the art yourself? Come and see what it is all about. We will be painting a full-body Doctor Who inspired piece. Stop by throughout the evening and watch the paint come to life. Feel free to take pictures and ask questions of the artists and model.',FALSE,PUBLIC,none
5/4/2014,10:00,5/4/2014,11:50,1 hour and 50 minutes,"Board of Trustees",DIY,"Basic Silicone Molding and Resin Casting Techniques","Melissa Ebbe",'Learn how to make a simple silicone block mold and then cast your very own small sculpture (dragon- cat- or penguin) to take with you! Silicone types and resin types will be discussed as well as troubleshooting.',FALSE,PUBLIC,none
5/4/2014,12:00,5/4/2014,12:50,50 minutes,"Board of Trustees",Penguicon Events," BoF: Why Didn't You Present at Penguicon?","",'So- you were interested in talking about something at Penguicon- but decided it was too much work.  Why did you feel that way?  Would it have helped if someone gave you some support?  Would a group project have been of interest?  If you are presenting- what helped you decide to make the presentation?  Let's discuss what we can do to encourage each other to contribute to Penguicon.  We will ask attendees to brainstorm ideas that will encourage more participation. Any thoughts you can bring in will be helpful! The Head of Programming will join in the discussion. ',FALSE,PUBLIC,none
5/4/2014,13:00,5/4/2014,13:50,50 minutes,"Board of Trustees",Life,"Polyphasic Sleep Meetup","Marie Staver, Neil Funk",'Have you ever tried- or wanted to try- polyphasic (nap-based) sleeping?  Come to this open discussion and talk to other people -- including some long-term polyphasers and the author of the book _Ubersleep_ -- about your experiences- your curiosity- or your doubts.  ',FALSE,PUBLIC,none
5/4/2014,14:00,5/4/2014,14:50,50 minutes,"Board of Trustees",Tech,"Diversity in Tech","Erika Carlson",'Why are tech positions mostly filled by men? What can we do to change this? Join our GoH- Erika Carlson- for this important discussion. ',FALSE,PUBLIC,none
5/4/2014,15:00,5/4/2014,15:50,50 minutes,"Board of Trustees",Penguicon Events,"Penguicon Party Planning for Detcon1","Janet Gocay, Nuri Gocay, Scott Kennedy, Steve Gutterman",'Penguicon will be throwing a two-night room party at Detcon1. Come help with the plans for this most epic of parties!',FALSE,PUBLIC,none
5/4/2014,9:00,5/4/2014,9:50,50 minutes,"Board of Trustees",Eco,"BoF: Homesteading for Begininers","",'Come together and share your resources- tips- and skills on living the self-sustaining lifestyle. ',FALSE,PUBLIC,none
