Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/24/2015,18:00,4/24/2015,18:50,50 minutes,"Charlevoix A",Music,"Pirate Rock by Rathbone and the Blades of Fortune","Misha Tuesday",'The Pirate industry has a lot of employment turnover- due to battle deaths- being eaten by sharks- capture and execution- and death [other]. The last survivors of Stone Crazy Pirates have recruited some new mates to sing and play rockin' sea shanties for you- and you can sing along if you like. Costumes encouraged! Boisterousness encouraged! Courage encouraged!',FALSE,PUBLIC,none
4/24/2015,19:00,4/24/2015,19:50,50 minutes,"Charlevoix A",Music,"Hand Drumming for Beginners","Dan Eakin, Roni Neal ",'Hand drumming for beginners focusing on Middle Eastern and drumming for dancers. Bring a drum. Extra drums may be available.',FALSE,PUBLIC,none
4/24/2015,20:00,4/24/2015,20:50,50 minutes,"Charlevoix A",Music,"Vinyl Mixing 101","DJ Seanni B, Walk In Circles",'Drop in with the #teamswoop crew and get a rundown on basic vinyl mixing. Get a feel for concepts like beatmatching and counting phrases- and hey they might even give you your very own DJ name!',FALSE,PUBLIC,none
4/24/2015,21:00,4/24/2015,21:50,50 minutes,"Charlevoix A",Music,"DJ Set: Justin Alex ","Justin Alex",'Come kick off our Friday night DJ sets wit Justin Alex as he spins his nerd themed mixed genre set of electro- house- dub- trap- jungle- happy hardcore- and trance!',FALSE,PUBLIC,none
4/24/2015,22:00,4/24/2015,23:50,1 hour and 50 minutes,"Charlevoix A",Music,"DJ Set: DJ Seanni B ","DJ Seanni B",'Kick it in the dance party zone while DJ Seanni B throws down some ghettotek and juke tracks. Booty shaking is NOT optional.',FALSE,PUBLIC,Sound System
4/25/2015,0:00,4/25/2015,1:50,1 hour and 50 minutes,"Charlevoix A",Music,"DJ Set: Walk In Circles ","Walk in Circles",'Armed with a crate full of records- Walk In Circles is gonna make it sound like a 2000s UK rave up in this joint.',FALSE,PUBLIC,Sound System
4/25/2015,9:00,4/25/2015,9:50,50 minutes,"Charlevoix A",Science,"Neuroscience of Dream Engineering","Heather Aman",'Morpheus- the Greek God of the dream world- was said to sneak into men's dreams at night to deliver messages from the Gods. Modern neuroscience has tackled ancient myth- and external manipulation of the sleeping mind is now a reality.  Come learn about the latest in dream engineering- memory consolidation- lucid dreaming- and even dream recording.',FALSE,PUBLIC,Projector
4/25/2015,10:00,4/25/2015,10:50,50 minutes,"Charlevoix A",Tech, Eco,"DIY Non-Profit: How to Structure a Non-Profit Using Open Source Technology","Tyson Gersh",'In an increasingly competitive market- the non-profit sector is undergoing a paradigm shift. Traditional charity models (i.e. foundation funding- annual giving- estate planning- million dollar grants- bake sales- etc.) are quickly becoming irrelevant- but with increasing access to open-source technology- so too is the barrier to entry for running a successful non-profit. This presentation will focus on outlining best-practices for using free technology to build a sustainable organization from the ground up. Case studies will include the Michigan Urban Farming Initiative and will cover social media- crowd-funding- task-management software- web development- geomapping- 3D & graphic design- and industry secrets.',FALSE,PUBLIC,Projector
4/25/2015,11:00,4/25/2015,11:50,50 minutes,"Charlevoix A",Tech,"Contributing to OSS - Navigating Community","William A. Rowe Jr., Emily Gonyer",'Hacking Open Source Software is the entire point of its existence.  Change what you don't like- fix what doesn't work for you- and enjoy.  But what about getting your patches accepted by the project? wrowe@apache.org and other participants invite you to this discussion on navigating communities- finding acceptance for your contributions- and becoming part of the bigger communities of Open Source Projects.',FALSE,PUBLIC,none
4/25/2015,12:00,4/25/2015,12:50,50 minutes,"Charlevoix A",Life,"The 10 Commandments of Networking","Dave Phillips, Bob Waltenspiel",'Networking is a powerful tool to meet new people- find better careers- sales leads- or even convince folks to hawk your needs to have 3D printers brought to your event on their wildly famous podcast.  *wink* What are the basics to networking?  What mistakes could lead to people actively networking away from you?  Commandment #11?  THOU SHALT COME TO THIS PANEL!',FALSE,PUBLIC,none
4/25/2015,13:00,4/25/2015,13:50,50 minutes,"Charlevoix A",Music,"Performance: Tom Smith","Tom Smith",'There's every other singer out there... and then there's Tom Smith. Tom is NOT your ordinary comedy musician. With the lyrical complexity  of Ashman and Sondheim- the vocal fireworks of Meat Loaf- the comedic  timing of Robin Williams- and the dynamic physique of the Skipper from  Gilligan's Island- the only thing he won't do is be boring. ',FALSE,PUBLIC,none
4/25/2015,14:00,4/25/2015,14:50,50 minutes,"Charlevoix A",Tech,"What Do Your Users Really Think?","Lana Krolikowski, Aral Balkan, Dawn Kuczwara",'User testing is becoming easier and easier to do for prototypes- ideas- software and websites- and can help you make a better product. Learn about some of the easy ways to get real user opinions to help make your designs more usable and useful. We will explore both free and pay sites- as well as offline techniques.',FALSE,PUBLIC,Projector
4/25/2015,15:00,4/25/2015,17:50,2 hours and 50 minutes,"Charlevoix A",Tech,"Key Signing Party","Rick Houser",'In this hands-on event- participants will learn how the web of trust model works and perform identify verification with fellow attendees.  We will do so in a manner compatible with CAcert.org- so you can use the resulting identify assurance to issue your own free SSL certificates- code signatures- etc.  With a little additional work- you can also become an assurer of your own right at Penguicon.  We will also exchange OpenPGP keys if you have them- so bring your key fingerprints with you! Participants need to bring at least two forms of ID -- at least one of which must be a government issued ID showing birthdate. Having your own notebook computer able to output PDFs files greatly simplifies things- too. New users are expected to show up at the start- but returning participants from Penguicon Keysigning events and any CAcert.org assurers may show up one hour in.',FALSE,PUBLIC,none
4/25/2015,18:00,4/25/2015,19:50,1 hour and 50 minutes,"Charlevoix A",Tech,"Social Engineering for Fun and Profit","Nick Farr, Jeff Goeke-Smith",'Oh no! Tragedy!  You get a phone call from your IT person in on a Monday morning saying that the rotator splint in your corporate Active Directory environment has crashed and that they need your password and VPN token numbers to restore your account immediately!  You want to help him out- right?  Wait- there's something fishy about this guy on the phone!  You probably wouldn't fall for this social engineering attack- right?  Come learn some of the best tricks of the trade of social engineering for fun and profit ^H^H^H^H^H to be sure you don't fall victim to these wily schemes!',FALSE,PUBLIC,none
4/25/2015,21:00,4/25/2015,22:50,1 hour and 50 minutes,"Charlevoix A",Penguicon Events,"Geek Prom","",'It's a Timey Wimey prom! Come dressed in your finest formalwear (we've heard bow ties are cool!) or choose a costume from anywhere in space and time and join the Costume Contest! Join us for music- dancing- and fun at Penguicon's Geek Prom!',FALSE,PUBLIC,Microphone, sound system
4/25/2015,22:00,4/25/2015,22:50,50 minutes,"Charlevoix A",Penguicon Events,"Costume Contest","Alex Drummer, Justin Coluzzi, Kevin McLeod, Albert Manero, Ruth Suehle, Alex Page",'This year we are making the costume contest a little more informal.  This means no Muster- Paperwork- or Registration.  You simply show up at the Geek Prom at the right time (9:45!) and say you want to enter.  From there it is in the hands of our MC and N.U.E.T.!  Come down for some fun and awesome costumes- and maybe enter for a chance to win some cool prizes.  Best of Show will receive a free badge to Penguicon 2016! ',FALSE,PUBLIC,Microphone, sound system
4/26/2015,8:00,4/26/2015,8:50,50 minutes,"Charlevoix A",Tech,"LIVE PODCAST: Sunday Morning Linux Review","Tony Bemus,
Mary Tomich,
Mat Enders",'Tony- Mat- and Mary record an episode of their popular Linux podcast- the Sunday Morning Linux Review',FALSE,PUBLIC,none
4/26/2015,10:00,4/26/2015,10:50,50 minutes,"Charlevoix A",Tech, Literature,"Hacking Your Writing and Editing Toolbox","Scott Favre",'Ever feel like parts of the editing process is a lot of repetitive- boring- tedious work? The sort of thing that a computer really should be able to do for you? Learn how to write MS Word add-ins to make your life easier! We'll use freely available tools to create an add-in that helps you track down problem words in your manuscript. Some computer programming experience is suggested. The finished project will be made available open source via GitHub.',FALSE,PUBLIC,Projector
4/26/2015,11:00,4/26/2015,11:50,50 minutes,"Charlevoix A",Life,"Cross Sections of Community: Better Living through Networking","Roni Neal, Daniel Eakin, Hanna Christiansen-Houser, Phil Chase, Jerry Ginzel",'Realizing we have the solution at hand can alter the course of a day or change our current existence. All around us communities are emerging: centered on sustainability- recreational interests- or philosophical commonalities - people are choosing to work cooperatively. Limited knowledge of the people with whom we interact leaves us missing out on mutually beneficial opportunities. We all have those “it’s a small world” moments- now let’s capitalize on them.',FALSE,PUBLIC,none
4/26/2015,12:00,4/26/2015,12:50,50 minutes,"Charlevoix A",Tech,"Advanced Python","Mike Bernson",'Following an Intro to Python- we'll go though a few programs showing examples of a number of python features. Here is your chance to see some python code in action. We will walk though using a simple python program to for a text based program. Then we'll take a look at extending that program to use graphics. Last we'll take a look at ORM for handling database processing.',FALSE,PUBLIC,Projector
4/26/2015,13:00,4/26/2015,13:50,50 minutes,"Charlevoix A",Literature,"E-Books: An Examination of the Current State of Digital Publishing","Mary Lynne Gibbs, Sean M Davis ",'Years ago there was a panel at Penguicon about the rise of the e-reader and what it meant for the world of publishing. It’s safe to say that digital reading is not going to be a passing fad- but it does not appear to be the death of paper publishing that it was once seen to be. The panel will examine how things have changed for authors- readers- and publishers and how things have stayed the same. While we may examine the Hatchette vs Amazon debate- it will be in terms of how it has affected things- not taking sides.',FALSE,PUBLIC,none
4/26/2015,14:00,4/26/2015,14:50,50 minutes,"Charlevoix A",Tech, Videogaming,"Our Adventures into Indie Games, or, "Mistakes Were Made"","Melanie Castle, Chris Castle",'Mahjong House was the first commercial video game from DisjointedImages. Come listen to how we developed the game- how it was a success (and failure)- and get some tips on venturing into the world of indie game development yourself.',FALSE,PUBLIC,Projector
4/26/2015,15:00,4/26/2015,15:50,50 minutes,"Charlevoix A",Webcomics,"You...You Don't Like My Webcomic?","BluRaven C. Houvener, Laura Cascos, Erika Wagner ",'Sadly it happens to us all at one time or another...and people aren't always so kind about it! Join Laura Cascos and Erika Wagner (the team behind the amazing Webcomic Sidekick Girl)- BluRaven C. Houvener (writer and illustrator of It's Just another day)- and Jon David (creative force behind the novel series Morgalla) as they walk you through the ins and outs of how to cope with criticism and survive to create another day!  ',FALSE,PUBLIC,Projector 
