Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/29/2016,18:00,4/29/2016,19:50,1 hour and 50 minutes,"Computer Lab (EMC III)","Tech","Getting Hands on With Linux","Tom Lawrence","Who put the penguin in Penguicon? You did! Come get hands on with Linux with one of our favorite presenters. Tom Lawrence will guide attendees through the ins and outs of Linux for home and office use. Noteworthy addendum! There will be 20 laptops available in the lab. First come- first served.",FALSE,PUBLIC,"none"
4/29/2016,20:00,4/29/2016,21:50,1 hour and 50 minutes,"Computer Lab (EMC III)","Tech","Open Linux Computer Lab (Unconference)","No Presenter","Open Computer lab utilizing the Unconference philopsophy of Open Space Technology. Bring your projects to discuss. Bring your discussions to projects. Attendees may also puruse social media- tweet to #Penguicon- browse the whole internet and get a feel for Linux using one of our 20 laptops.",FALSE,PUBLIC,"none"
4/30/2016,9:00,4/30/2016,9:50,50 minutes,"Computer Lab (EMC III)","Tech","Open Linux Computer Lab (Unconference)","No Presenter","Open Computer lab utilizing the Unconference philopsophy of Open Space Technology. Bring your projects to discuss. Bring your discussions to projects. Attendees may also puruse social media- tweet to #Penguicon- browse the whole internet and get a feel for Linux using one of our 20 laptops.",FALSE,PUBLIC,"none"
4/30/2016,10:00,4/30/2016,11:50,1 hour and 50 minutes,"Computer Lab (EMC III)","Tech","Hands on Python for Everything and Everybody","Gibson Nichols, Daniel Dugan","Join MDLUG and friends to walk through an introductory course on building small useful scripts in Python. Get your hands dirty in the fertile soil that is sprouting some of the most interesting developments in machine learning- server scripting and automation! Noteworthy addendum! There will be 20 laptops available in the lab. First come- first served.",FALSE,PUBLIC,"none"
4/30/2016,12:00,4/30/2016,13:50,1 hour and 50 minutes,"Computer Lab (EMC III)","Tech","Open Linux Computer Lab (Unconference)","No Presenter","Open Computer lab utilizing the Unconference philopsophy of Open Space Technology. Bring your projects to discuss. Bring your discussions to projects. Attendees may also puruse social media- tweet to #Penguicon- browse the whole internet and get a feel for Linux using one of our 20 laptops.",FALSE,PUBLIC,"none"
4/30/2016,14:00,4/30/2016,15:50,1 hour and 50 minutes,"Computer Lab (EMC III)","Tech","All Hands Active Embedded Software","Nick Ristow, Nathan Yost","Our 2016 Charity- All Hands Active- will talk about the development of the Penguicon Uber Badge. They will demonstrate PCB Board Development with open source tools and demonstrate arduino programming from the ground up. Noteworthy addendum! There will be 20 laptops available in the lab. First come- first served.",FALSE,PUBLIC,"none"
4/30/2016,14:00,4/30/2016,15:50,1 hour and 50 minutes,"Computer Lab (EMC III)","Tech","The Traveling Circus: Intro to Coding Workshop","Chioke Mose-Telesford, Aaron Wolff, Aisha Blake","We recognize coding can be a bit intimidating. You might have dabbled on the web with some free coding programs- but run into a road-block without the support of an instructor. That's where our Intro to Coding Workshop- lovingly called  “The Traveling Circus-” comes in. This is designed for folks who are curious about coding- but who have little to no experience. You'll walk away with some programming foundations to start learning on your own!",FALSE,PUBLIC,"none"
4/30/2016,16:00,4/30/2016,16:50,50 minutes,"Computer Lab (EMC III)","Tech","Open Computer Lab (Unconference)","No Presenter","Open Computer lab utilizing the Unconference philopsophy of Open Space Technology. Bring your projects to discuss. Bring your discussions to projects. Attendees may also puruse social media- tweet to #Penguicon- browse the whole internet and get a feel for Linux using one of our 20 laptops.",FALSE,PUBLIC,"none"
4/30/2016,17:00,4/30/2016,18:50,1 hour and 50 minutes,"Computer Lab (EMC III)","Tech","Grand Circus' Hands on Javascript ","Chioke Mose-Telesford, Kim Driscoll","We recognize coding can be a bit intimidating. You might have dabbled on the web with some free coding programs- but ran into a road-block without the support of an instructor. That's where our Intro to Coding Workshop- lovingly called “The Traveling Circus-” comes in. This is designed for folks who are curious about coding- but who have little to no experience. You'll walk away with some programming foundations to start learning on your own!",FALSE,PUBLIC,"none"
4/30/2016,19:00,4/30/2016,21:50,2 hours and 50 minutes,"Computer Lab (EMC III)","Tech","Red Hat Ethical Hacking Competition","Tom Callahan","Red Hat has brought great content to Penguicon once again!  Ethical hacking is testing the IT resources for a good cause and for the betterment of technology. This event will provide an opportunity for both novices and experts to brush up on their skills and compete for prizes. Noteworthy Addendum! There will be 20 laptops available in the lab. First come- first served.",FALSE,PUBLIC,"none"
5/1/2016,10:00,5/1/2016,10:50,50 minutes,"Computer Lab (EMC III)","Tech","Open Linux Computer Lab (Unconference)","No Presenter","Open Computer lab utilizing the Unconference philopsophy of Open Space Technology. Bring your projects to discuss. Bring your discussions to projects. Attendees may also puruse social media- tweet to #Penguicon- browse the whole internet and get a feel for Linux using one of our 20 laptops.",FALSE,PUBLIC,"none"
5/1/2016,11:00,5/1/2016,12:50,1 hour and 50 minutes,"Computer Lab (EMC III)","Tech","Kerbal Space Build off","Bob Trembley, Daniel Dugan","Build you own rocket - see if you can get it into orbit! Play with Kerbal Space Program yourself- and learn about its amazing potential as both a game and educational space simulator.",FALSE,PUBLIC,"none"
5/1/2016,13:00,5/1/2016,13:50,50 minutes,"Computer Lab (EMC III)","Tech","Open Linux Computer Lab (Unconference)","No Presenter","Open Computer lab utilizing the Unconference philopsophy of Open Space Technology. Bring your projects to discuss. Bring your discussions to projects. Attendees may also puruse social media- tweet to #Penguicon- browse the whole internet and get a feel for Linux using one of our 20 laptops.",FALSE,PUBLIC,"none"
5/1/2016,16:00,5/1/2016,16:50,50 minutes,"Computer Lab (EMC III)","Tech","Last Call for Linux","","Last Call for Linux. Catch up with old and new friends as the laptops are boxed up until Penguicon 2017!",FALSE,PUBLIC,"none"
