Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
05/04/2019,17:00,05/04/2019,18:00,1 hour,"Computer Lab [Charlevoix C]","Tech","Writing An Open Source Paypal Portal For Convention Reg","Matt Arnold, Drew Lanagan","We would like to eliminate the need for ticketing services such as Eventbrite for online registration. Possibly Penguicon could host this software for other events as part of our mission to support the community. Join us to plan our future hackathons for writing this software. We will present the prototype.",TRUE,PUBLIC,""
05/04/2019,13:00,05/04/2019,14:00,1 hour,"Computer Lab [Charlevoix C]","Tech","Pen Testing with Kali Linux","William Bowen","Join us for an open discussion on Kali Linux- pen testing- and the possibilities of using this distro overall.",TRUE,PUBLIC,""
05/05/2019,11:00,05/05/2019,12:00,1 hour,"Computer Lab [Charlevoix C]","Tech","Network Science with Network: Session 2","Edward L. Platt","Network Science investigates the structure of relationships in complex systems: social networks- electrical grids- the internet- protein interactions- and many others. NetworkX is a FOSS python library for network science. This presentation covers the basic concepts of Network Science and examples of using NetworkX. Edward L. Platt is the author of the forthcoming book: Network Science with Python and NetworkX.",TRUE,PUBLIC,""
05/03/2019,17:00,05/03/2019,19:00,2 hours,"Computer Lab [Charlevoix C]","Tech","The Sunday Morning Linux Review","Tom Lawrence, Jay LaCroix, Tony Bemus, Phil Porada, Mary Tomich","The Sunday Morning Linux Review is a podcast hosted by Tony Bemus- Tom Lawrence- Phil Porada- Jay LaCroix- and Mary Tomich. We talk about Linux- Open Source- and Security topics. We have been recording Live at Penguicon since 2012.",TRUE,PUBLIC,""
05/05/2019,10:00,05/05/2019,11:00,1 hour,"Computer Lab [Charlevoix C]","Tech","Creating a web app using Wagtail CMS","Chrissy Baginski","Learn how to create a basic web app using Wagtail- a light-weight open source content management system (CMS) written in Python and built on the Django web framework. We'll go through the basics of setting up a web app- navigating the admin interface- and provide some key resources. If you're familiar with Django- great- but not necessary. However- a basic understanding of using the 'terminal' and HTML/CSS is helpful.",TRUE,PUBLIC,""
05/04/2019,15:00,05/04/2019,16:00,1 hour,"Computer Lab [Charlevoix C]","Tech","Building a Vuetiful Web Application With Vue and Vuetify","Brandon Lyons","This event will be an introduction into web development using the Vue.js javascript framework. Attendees will be guided through the process of creating a functional web application. We will use Vue.js together with Vuetify- a library of pre-styled components- to build put together a frontend display for the application. All of the setup code will be provided as a Codepen- as well as the finished result to compare against.",TRUE,PUBLIC,""
05/04/2019,16:00,05/04/2019,17:00,1 hour,"Computer Lab [Charlevoix C]","Tech","Linux 101: Get Started with Command Line","Zena Jasenak, Nick Lelli","Get started with linux command line- broken down into easy to understand pieces. Attendees can work at computers along with the presenter.",TRUE,PUBLIC,""
05/04/2019,18:00,05/04/2019,19:00,1 hour,"Computer Lab [Charlevoix C]","Tech","Network Science with Network: Session 1","Edward L. Platt","Network Science investigates the structure of relationships in complex systems: social networks- electrical grids- the internet- protein interactions- and many others. NetworkX is a FOSS python library for network science. This presentation covers the basic concepts of Network Science and examples of using NetworkX. Edward L. Platt is the author of the forthcoming book: Network Science with Python and NetworkX.",TRUE,PUBLIC,""
05/04/2019,20:00,05/04/2019,21:00,1 hour,"Computer Lab [Charlevoix C]","Tech","Ed: The Standard Unix Text Editor","Michael W. Lucas","The people who wrote primordial Unix were smarter than any of us. And their text editor proves it. Not only that- but their text editor is still useful today. Come learn how to use Ed- the Standard Unix Text Editor. See how early Unix design decisions stick with us today- and how temporary solutions last forever. You'll leave with knowledge of a tool you'll hope you'll never need- but when you truly need it you'll be glad it's there.",TRUE,PUBLIC,""
05/04/2019,10:00,05/04/2019,11:00,1 hour,"Computer Lab [Charlevoix C]","Tech","An Overview of Vim","Michael Rometty","We will look at the Vim Text Editor- starting with the very basics and moving to some of the lesser known features of Vim. Bring your computer with Vim already installed if you want to work along with the speaker.",TRUE,PUBLIC,""
