Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/24/2015,19:00,4/24/2015,19:50,50 minutes,"ConSuite","Food","LN2 Volunteer Training","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Come learn how to make LN2 Ice Cream so you can volunteer to help!",FALSE,PUBLIC,"none"
4/24/2015,19:00,4/24/2015,19:50,50 minutes,"ConSuite","Food","LN2 Volunteer Training","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Come learn how to make LN2 Ice Cream so you can volunteer to help!",FALSE,PUBLIC,"none"
4/24/2015,22:00,4/24/2015,23:50,1 hour and 50 minutes,"ConSuite","Food","LN2 Fantasy and Science Fiction Ice Cream","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Liquid nitrogen 'ice cream' featuring flavors found in your favorite Fantasy and Science Fiction Universes: Butterbeer- Pangalactic Gargleblaster- and Sonic Screwdriver. These flavors all include alcohol - 21+ only.",FALSE,PUBLIC,"none"
4/24/2015,22:00,4/24/2015,23:50,1 hour and 50 minutes,"ConSuite","Food","LN2 Fantasy and Science Fiction Ice Cream","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Liquid nitrogen 'ice cream' featuring flavors found in your favorite Fantasy and Science Fiction Universes: Butterbeer- Pangalactic Gargleblaster- and Sonic Screwdriver. These flavors all include alcohol - 21+ only.",FALSE,PUBLIC,"none"
4/25/2015,11:00,4/25/2015,11:50,50 minutes,"ConSuite","Food","Open Soda Demo","Bill Putt, Anthony Distel","Watch as Bill and Anthony actually make a two-liter of soda during a live demonstration. They'll explain how to make it- why they use different processes- and take suggestions for flavors from the audience.",FALSE,PUBLIC,"none"
4/25/2015,11:00,4/25/2015,11:50,50 minutes,"ConSuite","Food","Open Soda Demo","Bill Putt, Anthony Distel","Watch as Bill and Anthony actually make a two-liter of soda during a live demonstration. They'll explain how to make it- why they use different processes- and take suggestions for flavors from the audience.",FALSE,PUBLIC,"none"
4/25/2015,13:00,4/25/2015,13:50,50 minutes,"ConSuite","Food","LN2 Inclusive Ice Cream","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Liquid nitrogen 'ice cream' made with dairy and/or sugar alternatives (soda slushies- soy milk- coconut milk- agave nectar- stevia). Alternative ingredients also available at other LN2 sessions- just ask!",FALSE,PUBLIC,"none"
4/25/2015,14:00,4/25/2015,15:50,1 hour and 50 minutes,"ConSuite","Food","LN2 Improvisational Ice Cream","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Liquid nitrogen 'ice cream' made with flavors we have on hand! Feeling creative? Speak up and we'll see what we can do!",FALSE,PUBLIC,"none"
4/25/2015,13:00,4/25/2015,13:50,50 minutes,"ConSuite","Food","LN2 Inclusive Ice Cream","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Liquid nitrogen 'ice cream' made with dairy and/or sugar alternatives (soda slushies- soy milk- coconut milk- agave nectar- stevia). Alternative ingredients also available at other LN2 sessions- just ask!",FALSE,PUBLIC,"none"
4/25/2015,14:00,4/25/2015,15:50,1 hour and 50 minutes,"ConSuite","Food","LN2 Improvisational Ice Cream","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Liquid nitrogen 'ice cream' made with flavors we have on hand! Feeling creative? Speak up and we'll see what we can do!",FALSE,PUBLIC,"none"
4/26/2015,10:00,4/26/2015,11:50,1 hour and 50 minutes,"ConSuite","Food","LN2 Sunday Brunch Ice Cream","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Ice cream made with liquid nitrogen- for a Sunday brunch! Flavors will include egg custard- orange- coffee- and cheesecake with a variety of toppings. Alternative ingredients available; we can make some non-dairy or sugar-free!",FALSE,PUBLIC,"none"
4/26/2015,10:00,4/26/2015,11:50,1 hour and 50 minutes,"ConSuite","Food","LN2 Sunday Brunch Ice Cream","Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton","Ice cream made with liquid nitrogen- for a Sunday brunch! Flavors will include egg custard- orange- coffee- and cheesecake with a variety of toppings. Alternative ingredients available; we can make some non-dairy or sugar-free!",FALSE,PUBLIC,"none"
