Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/3/2019,16:00,5/3/2019,17:00,1 hour,"EMC I","Cosplay","How To Get Started In Cosplay","Jennifer Skwarski","Have you seen a lot of con goers dressed up in fabulous costumes? Would you like to join in on the fun? Feeling a little clueless on how to start or maybe a bit intimidated? We will talk about techniques to make a costume- sources of inspiration- how to choose a character- and trying to keep it all in a budget.",FALSE,PUBLIC,""
5/3/2019,17:00,5/3/2019,18:00,1 hour,"EMC I","Media","Got Comic Movie Overload?","BluRaven C. Houvener","With comic book films seemingly coming out every month- how long will it take for the comic book film to go the way of the western? Join us in a fun conversation about comic book films- past- present- and future...especially future!",FALSE,PUBLIC,""
5/3/2019,18:00,5/3/2019,19:00,1 hour,"EMC I","Tech","Securing Your Digital Life","James Gamble","Join James Gamble- an information technology professional with more than 17 years of experience- as he walks you through several easy- free- and practical ways that you can improve your digital security.",FALSE,PUBLIC,""
5/3/2019,19:00,5/3/2019,20:00,1 hour,"EMC I","Life","Cope or Nope: How to Adult Like a Real Grown Up","Beth Bondono","It's hard to manage all the things that are part and parcel of adult living. Dishes- laundry- cooking- and more can all sometimes feel overwhelming- especially when brain issues make it harder than normal. This panel will help you find ways to handle the things life throws at you.",FALSE,PUBLIC,""
5/3/2019,20:00,5/3/2019,21:00,1 hour,"EMC I","Tech","FOSS on Wheels: How Autonomous Cars are Being Driven by Open-Source","Joshua Whitley","Since the DARPA Grand Challenge in 2005- much of the automotive industry have been working toward self-driving cars. Recently- the algorithms and software stacks used by research teams have begun moving into the open. This panel will provide an overview of what makes up an autonomous vehicle stack- what is available to the masses- and how you can help drive the future through open-source contributions.",FALSE,PUBLIC,""
5/4/2019,09:00,5/4/2019,10:00,1 hour,"EMC I","DIY","Make Your Own Pillowcase","Kim Ulrich","Join me in sewing your very own pillowcase. Learn how to use a sewing machine while making something useful!",FALSE,PUBLIC,""
5/4/2019,10:00,5/4/2019,11:00,1 hour,"EMC I","Cosplay","Foamsmithing 101","Alex Drummer","Learn about the basic skills and tools needed to build props and costumes out of foam. See examples of pieces and ask for tips on projects you are working on.",FALSE,PUBLIC,""
5/4/2019,11:00,5/4/2019,12:00,1 hour,"EMC I","DIY","Lockpicking 101","Joseph Rock","Hands on with lock picks- just the basics- same as last year with a few new locks and things.",FALSE,PUBLIC,""
5/4/2019,12:00,5/4/2019,13:00,1 hour,"EMC I","DIY","Make Your Own Cardboard Automata","Karen Corbeill","Learn how to use cams and cranks to make a cardboard creation that moves and jives. Walk away with your own custom automata.",FALSE,PUBLIC,""
5/4/2019,14:00,5/4/2019,16:00,2 hours,"EMC I","Science","Electronics Wreck Lab and Scavenger Hunt","Karen Corbeill","Get some tools in hand and take apart some electronics! See whats inside and follow along with the scavenger hunt to find various electronics components and learn what they do. Capacitors- resistors- and diodes- oh my!",FALSE,PUBLIC,""
5/4/2019,16:00,5/4/2019,17:00,1 hour,"EMC I","Lit","The Art of the Query","Mary Lynne Gibbs, Christine Daigle, Claire Winn","What does it take to stand out in a slush pile? Authors and editors describe techniques beyond the basics of query structure that make pitches grab attention.",FALSE,PUBLIC,""
5/4/2019,17:00,5/4/2019,18:00,1 hour,"EMC I","Media","Recreating Viking History","Danny Hansen","Join Danny Hansen as he talks about how creating historical jewelry led to recreating Viking history on the TV show Vikings.",FALSE,PUBLIC,""
5/4/2019,18:00,5/4/2019,20:00,2 hours,"EMC I","Lit","Tiny Sci-Fi Stories","Sophia Brueckner","In this workshop- participates will work in small groups or individually to write tiny (1-sentence and/or 3-sentence) utopian and dystopian sci-fi stories. The very common and most interesting result of this workshop is that people realize how strongly they lean towards either dystopian or utopian thinking about the future of technology- which results in an excellent discussion at the end of the workshop.The goal of the workshop is to encourage people to avoid unproductive extremes of utopian/dystopian thinking and adopt a more critically optimistic- balanced approach to thinking about technology and the future.",FALSE,PUBLIC,""
5/5/2019,09:00,5/5/2019,10:00,1 hour,"EMC I","Science","What Lies Beneath the Waters","Patrick Allen, Mary Fitzpatrick","Have you ever wanted to be a treasure hunter? Join us for an introduction to finding treasures and fossils hidden beneath rivers and streams!",FALSE,PUBLIC,""
5/5/2019,10:00,5/5/2019,11:00,1 hour,"EMC I","DIY","Needle Felting 201","Liz 'Smoothie' DeBruyn","A follow-up to Bagel's Needlefelt 101 workshop. Learn to needle felt 3D objects.",FALSE,PUBLIC,""
5/5/2019,11:00,5/5/2019,12:00,1 hour,"EMC I","DIY","How to Make a Weighted Blanket or Lap Pad","Lea Pfeifer","Join me to learn how to make your own weighted blanket.",FALSE,PUBLIC,""
5/5/2019,12:00,5/5/2019,14:00,2 hours,"EMC I","DIY","Cross Stitch 201","Anna Carey","Come and learn more advanced techniques and how to work with more complex patterns. You will get the most out of this panel if you have some previous experience with basic cross stitch skills. Limited availability- sign up near ops.",FALSE,PUBLIC,""
