Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/3/2019,16:00,5/3/2019,17:00,1 hour,"EMC III","Media","Professional Wrestling 101","Shane Soules","Have you ever wondered just what pro wrestling is?' Have you ever wondered what the heck is the appeal of grown men and women fake fighting in their underwear? Well- have I got a panel for you! Come learn the ins-and-outs of professional wrestling. Learn what wrestling is- how it works- what makes a match good or bad- and more! Also attend the sister-panel 'History of Pro Wrestling' to learn more!",FALSE,PUBLIC,""
5/3/2019,17:00,5/3/2019,18:00,1 hour,"EMC III","DIY","Hand Spinning 101","Ellen Rimar","A tutorial on how to spin yarn using wool and a drop spindle with a live demo. If you have a spindle and want to know how to use it- or already and spin and are interested in tips- bring it and some roving to spin along.",FALSE,PUBLIC,""
5/3/2019,18:00,5/3/2019,19:00,1 hour,"EMC III","DIY","Cover Those Nips! DIY Pasties","Tommy Gun, Darryn Storm","Come decorate your own pair of pasties! We will also go over several different methods of constructing your own pastie bases and creating tassels. Supplies provided.",FALSE,PUBLIC,""
5/3/2019,19:00,5/3/2019,21:00,2 hours,"EMC III","Cosplay","Advanced Pattern Drafting: Make a Sloper Workshop","Jeannie Arquette","Learn to make your own pattern base customized to your own specific measurements to use in making future patterns fit you perfectly! This class is great for cosplay patterns or everyday clothing. Space is limited so please sign up in advance near Ops!",FALSE,PUBLIC,""
5/4/2019,10:00,5/4/2019,11:00,1 hour,"EMC III","Tech","Agile Escape Room","Ericka Kahler, Donald Mark Haynes, Doug Johnson","Its the agile zombie apocalypse. You and your friends are trapped and all that stands between you and lunch is a locked door and three puzzle boxes. Each puzzle- once solved becomes an important component of the key. Every team must solve all three of their puzzles in order to complete the key. There is one key to rule them all. Only then may you leave the room before its you who becomes lunch. Are you willing to stake the lives of your team on your agile knowledge? Oh and by the way- how closely did you follow Scrum and agile principles in obtaining your release?",FALSE,PUBLIC,""
5/4/2019,11:00,5/4/2019,12:00,1 hour,"EMC III","Media","History of Pro Wrestling","Shane Soules","Professional wrestling is one of the most storied art forms the world has ever known. Hey- wait! Come back! This panel is here to show you the history of pro wrestling. Dating from the early 1900s- all the way to present day- and all of the amazing history in-between. Pairs well with the sister-panel 'Professional Wrestling 101'",FALSE,PUBLIC,""
5/4/2019,12:00,5/4/2019,13:00,1 hour,"EMC III","Media","Self-publishing Comics and Books - Participant Errata","Stephanie Manard, Dave Phillips","This talk will help current and future writers learn how to self-publish and promote their work.",FALSE,PUBLIC,""
5/4/2019,13:00,5/4/2019,14:00,1 hour,"EMC III","DIY","Bicycle Maintenance 101","Joseph Leal","An extensive look into complete bicycle repair. Basic to advanced repair will be demonstrated- from flat repair to complete tune-up. Disc brakes and wheel truing/straightening will be covered in this presentation. The mechanic presenting this demonstration has 20+ years of shop experience.",FALSE,PUBLIC,""
5/4/2019,14:00,5/4/2019,15:00,1 hour,"EMC III","Anime","Five-Minute Anime: Face-Off","Paul Kemner, A. Carina Spears, Star Stramel","Tiny anime jewels: these series are silly- senseless- bizarre- or creepy- with episodes only five minutes long! We'll show our favorites- and you'll pick Penguicon's Best for 2019!",FALSE,PUBLIC,""
5/4/2019,15:00,5/4/2019,16:00,1 hour,"EMC III","Science","Arts and Scraps Workshop: Make a 100% Green Costume!","Jordan Ross","Make a green costume or cosplay! Have you ever wanted to make a costume out of unconventional materials? Did you think you could do it in an hour? Come learn and play with Arts & Scraps and use recycled industrial materials to create a new outfit that inspires and transforms! Learn about the 4 R's (yup- there's 4) and how you can incorporate green practices into your life as a maker.",FALSE,PUBLIC,""
5/4/2019,16:00,5/4/2019,17:00,1 hour,"EMC III","Life","Human Trafficking is Everywhere","Elizabeth Lucas","The presenter has over two decades of experience working with trafficking victims in Metro Detroit. We will start by discussing what trafficking is- how it starts- what it looks like- and what traffickers look like. We will also discuss the ramifications of abuse/trafficking and what to do if trafficking is suspected to keep the survivor and identifier safe.",FALSE,PUBLIC,""
5/4/2019,17:00,5/4/2019,18:00,1 hour,"EMC III","Gaming","The Idiots Guide to Microtransactions: Ludicrous Boxes Edition","Ianformed, Phil Nocerini","Tired of seeing lootboxes in your video games? Not tired of watching parody? This year's panel for the Idiot's Guide to Microtransactions (IGTO) is themed around Spaceballs- so we will be searching for more money and ludicrously transitioning toward plaid. Ludicrous Boxes! NO!",FALSE,PUBLIC,""
5/4/2019,18:00,5/4/2019,19:00,1 hour,"EMC III","Tech","Agile Escape Room","Ericka Kahler, Donald Mark Haynes, Doug Johnson","Its the agile zombie apocalypse. You and your friends are trapped and all that stands between you and lunch is a locked door and three puzzle boxes. Each puzzle- once solved becomes an important component of the key. Every team must solve all three of their puzzles in order to complete the key. There is one key to rule them all. Only then may you leave the room before its you who becomes lunch. Are you willing to stake the lives of your team on your agile knowledge? Oh and by the way- how closely did you follow Scrum and agile principles in obtaining your release?",FALSE,PUBLIC,""
5/4/2019,19:00,5/4/2019,20:00,1 hour,"EMC III","Gaming","World Building for RPGs and Fiction","Andrew M. "Fish" Popowich, Warren Brown","An interactive seminar with published authors and game designers going through an actual world creation process that will be distributed to participants for their own use.",FALSE,PUBLIC,""
5/5/2019,10:00,5/5/2019,11:00,1 hour,"EMC III","Tech","Why Techie Nerds Should Write Books","Clif Flynt, Michael W. Lucas","Writing a book is a positive step in professional development. It establishes you as 'an expert-' it answers the 'communication skills' question on job applications- and can be the springboard to independence.",FALSE,PUBLIC,""
5/5/2019,11:00,5/5/2019,12:00,1 hour,"EMC III","DIY","CANCELED Errata - Yarn Dyeing Demo","","<strong>Unfortunately- this session has been CANCELED.</strong> Dyeing yarn is both big business and a fun hobby. See how yarn is dyed and learn about the techniques involved.",FALSE,PUBLIC,""
5/5/2019,12:00,5/5/2019,13:00,1 hour,"EMC III","DIY","Crochet 102: Granny Squares! - Particpiant Errata","automatedjoy","Learn to crochet granny squares. Prior single crochet and double crochet knowledge required. Space is limited so please sign up in advance near Ops!",FALSE,PUBLIC,""
5/5/2019,13:00,5/5/2019,14:00,1 hour,"EMC III","Tech","Agile Escape Room","Ericka Kahler, Donald Mark Haynes, Doug Johnson","Its the agile zombie Apocalypse. You and your friends are trapped and all that stands between you and lunch is a locked door and three puzzle boxes. Each puzzle- once solved becomes an important component of the key. Every team must solve all three of their puzzles in order to complete the key. There is one key to rule them all. Only then may you leave the room before its you who becomes lunch. Are you willing to stake the lives of your team on your agile knowledge? Oh and by the way- how closely did you follow Scrum and agile principles in obtaining your release?",FALSE,PUBLIC,""
5/5/2019,14:00,5/5/2019,15:00,1 hour,"EMC III","DIY","Coloring Book Hand Embroidery","Kim Ulrich","Learn how to take your favorite coloring book page and turn it into a beautiful piece of hand embroidery. Some prior knowledge of embroidery is helpful- but not required.",FALSE,PUBLIC,""
