Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/29/2016,19:00,4/29/2016,19:50,50 minutes,"EMC IV","Life","Social Skills in a Digital Age","Mitch "Duckman" Peters, Jennifer Reisbig, Katherine Hatfield Nix","Flirting- dating- making friends- influencing people- even simple conversation- all of these things tend to get harder in real life- even as our online inter-connectedness increases! We're here to talk about simple- fun and easy ways to help your IRL social interactions be more LOL and less STFU.",FALSE,PUBLIC,"none"
4/29/2016,20:00,4/29/2016,20:50,50 minutes,"EMC IV","Action Adventure","Firearms and Law","Richard Houser, Rob Reed, Stuart Chisholm","Join your Firearms and the Law panelists for a discussion of all things firearms related:  law- training practices- depictions in media- gun control- background checks- holster preferences- favorite ammo- reloading- etc.",FALSE,PUBLIC,"none"
4/29/2016,21:00,4/29/2016,21:50,50 minutes,"EMC IV","Literature","Poetry Starter Kit","Jim Leach, Sean M Davis","Audience Participation Panel: Speculative Poetry Starter Kit: who to read- where to look and exactly what the heck IS speculative poetry.",FALSE,PUBLIC,"none"
4/30/2016,10:00,4/30/2016,10:50,50 minutes,"EMC IV","DIY, Tech","Build Your Own Satellite!","Scott Scheraga, Paul Frick, Matthew Carpenter","Learn about how to make your own cubesat satellite with the Detroitsat Team! At the i3Detroit Makerspace in Ferndale- our team is building one of the first hobbyist-level cubesats with the ability to point and rotate. We will discuss its development so far- design considerations and steps going forward",FALSE,PUBLIC,"none"
4/30/2016,11:00,4/30/2016,13:50,2 hours and 50 minutes,"EMC IV","Tech","Keysigning Party","Richard Houser","In this hands-on event- participants will learn how the web of trust model works and perform identity verification with fellow attendees. We will do so in a manner compatible with CAcert.org- so you can use the resulting identify assurance to issue your own free SSL certificates- code signatures- etc. With a little additional work- you can also become an assurer of your own right at Penguicon. We will also exchange OpenPGP keys if you have them- so bring your key fingerprints with you! Participants need to bring at least two forms of ID   at least one of which must be a government issued photo ID showing birthdate. Having your own notebook computer able to output PDFs files greatly simplifies things- too. New users are expected to show up at the start- but returning participants from Penguicon Keysigning events and any CAcert.org assurers may show up one hour in.",FALSE,PUBLIC,"none"
4/30/2016,14:00,4/30/2016,14:50,50 minutes,"EMC IV","Life","Queer: Identity, Sexuality and Beyond","Jen Schwartz, Matt Sweet, Max Issac, Allison Demars, Ryan Souder","Queer means so many thing to so many people: gender identity- orientation- even a political statement of who you are. Let's talk about the range of identities that fall under the queer label.",FALSE,PUBLIC,"none"
4/30/2016,15:00,4/30/2016,15:50,50 minutes,"EMC IV","Science","AsteroidDay","Bob Trembley, Krunal Desai","Bob Trembly and Krunal Desai talk all things asteroids- and what we need to know about them. ",FALSE,PUBLIC,"none"
4/30/2016,16:00,4/30/2016,16:50,50 minutes,"EMC IV","After Dark","Sexual Safety","Jen Schwartz, Matt Sweet, Max Issac, Allison Demars, Ryan Souder","Come with all your questions about sex and safety- and we'll talk about how to keep safe and stay healthy! This panel is for ages 18+ only. Minors are not allowed (with or without a parent).",FALSE,PUBLIC,"none"
4/30/2016,18:00,4/30/2016,18:50,50 minutes,"EMC IV","Tech","BoF: Unsexy Code","Susan Sons","For people who write or want to learn to write infrastructure code- and boring but necessary tools of the trade for programmers and sysadmins.  It is not for game programmers or web designers or anybody who makes anything pretty.  We're all about making things work. Birds of a Feather events are unmoderated.",FALSE,PUBLIC,"none"
4/30/2016,19:00,4/30/2016,19:50,50 minutes,"EMC IV","Tech","The Tech Behind Asteroid Mining","Krunal Desai","Krunal Desai- senior avionics engineer at Planetary Resources- the asteroid mining company talks about some of the technologies we use- and the challenges we face in mining asteroids.",FALSE,PUBLIC,"none"
4/30/2016,20:00,4/30/2016,20:50,50 minutes,"EMC IV","Literature","Speak Your Words","Jim Leach, Matt Betts, Sean M Davis, Jessica Roland","We are all made of stories and sharing them can be powerful and life changing. Come and share our version of an open mic night.  Bring your self-written poetry- personal manifesto- or short-short story.",FALSE,PUBLIC,"none"
4/30/2016,21:00,4/30/2016,21:50,50 minutes,"EMC IV","Comics","How Not To Draw Comics ","Galen Nelson, BluRaven C. Houvener, Jon David","This is a judgment free zone...but have you ever looked at a comic and thought- 'Wow that doesn't look right'. You've come to the right place. We'll study the comic greats and have a laugh as we explore the made up muscle groups- humanly impossible poses- and just downright ponder how it made it from the drawing table to the rack at your local comic book store!",FALSE,PUBLIC,"none"
5/1/2016,11:00,5/1/2016,11:50,50 minutes,"EMC IV","Tech","Open Source Maker Apps","Richard Houser","The maker movement has been making headlines- in particular the 3D printer space.  Something that is often overlooked is the state of the software.  Many manufacturers ship closed source software- which is against the spirit of the movement.  We'll go through a quick overview of one 3D printer toolchain (FreeCAD- Slic3r- OctoPrint)- and discuss possible alternatives at each stage.  Other participants are strongly encouraged to bring a laptop running their maker software of choice (OSS only- please!) to share in a 2-5minute show and tell fashion.  Other maker toolchain applications would be particularly welcome (PCB design/circuit simulation- CNC tooling- laser cutters- etc).",FALSE,PUBLIC,"none"
5/1/2016,12:00,5/1/2016,12:50,50 minutes,"EMC IV","Tech","Better Filesystems with Btrfs","Ryan Kather","Better FS- Butter FS- B-Tree FS?  What is it called- and why should you care about a new filesystem for Linux?  Come learn about the advanced features- design- and use of one of Linux's most exciting new features.  We will also cover how it compares to other filesystems- such as ZFS- and other interesting related topics like bcache.  ",FALSE,PUBLIC,"none"
