Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/29/2016,18:00,4/29/2016,18:50,50 minutes,"EMC V","DIY","Sewing: Make a pillow","RainbowRavenX","Whether you have never even seen a needle and thread- or have been sewing since you were three- come join me as I teach the basics. In this hands-on activity we will create and embellish a pillow. I will teach how to attach buttons- appliqués- ribbon and decorative trim. I will also teach how to do a basic hand stitch as well as a decorative blanket stitch.  The end result will be a decorative pillow for you to take home.  No experience necessary.  This is a limited attendance event.  Please sign up at Ops.",FALSE,PUBLIC,"none"
4/29/2016,20:00,4/29/2016,20:50,50 minutes,"EMC V","Anime","My Little Pony: Friendship Is Magic","Christina June, Galen Nelson","Friendship is magic- so come talk with other fans about the MLP show and fandom!",FALSE,PUBLIC,"none"
4/29/2016,21:00,4/29/2016,21:50,50 minutes,"EMC V","DIY","Anatomy of a Sewing Machine","Bagel Garrison","Have a sewing machine- but have no idea how to activate the magic that powers it? Don't have a sewing machine- but are thinking about getting one? This panel will be an absolute from-the-ground-up explanation of how to use- set up- and care for a sewing machine. Bring your own if you'd like- for a more personalized explanation. If time allows- you can do a test-sew on one of my machines- or I'll help you with your own.",FALSE,PUBLIC,"none"
4/30/2016,10:00,4/30/2016,10:50,50 minutes,"EMC V","Comics","Webcomics 101: Self Promotion","Erika Wagner, Laura Cascos","So you've learned from parts 1 and 2 how to make your Webcomic- how to build up the world around your characters and follow it all to completion. What now? You stand alone with your work. It's awesome. The world needs to bask in its awesomeness! What's that? How do you get it to them- you ask? Great question- and here is your answer! Come join Erika Wagner and Laura Cascos for part 3 of 3 of Webcomics 101! ",FALSE,PUBLIC,"none"
4/30/2016,11:00,4/30/2016,11:50,50 minutes,"EMC V","DIY","Knitting 101","Kelly Vanderwell","Learn how to use two sticks and a piece of string to make works of art!  A pair of needles and yarn will be provided or you can bring your own so you can learn to make things like dishcloths and scarves. This is a limited attendance event.  Please sign up at Ops.",FALSE,PUBLIC,"none"
4/30/2016,12:00,4/30/2016,12:50,50 minutes,"EMC V","DIY","Frankenstuffies","RainbowRavenX","Come join me in playing 'mad scientist' as we deconstruct stuffed animals- and reconstruct them into new and glorious creations!  Everyone is welcome- though I do ask that parents/guardians stay with children. Basic sewing skills are a plus.  This is a limited attendance event.  Please sign up at Ops.",FALSE,PUBLIC,"none"
4/30/2016,13:00,4/30/2016,14:50,1 hour and 50 minutes,"EMC V","Penguicon","Penguicon Board Meeting","Steve Gutterman, Randy Bradakis, Matt Arnold, Jer Lance,Amanda Long-Adams, Gini Judd, James Hice","You've done the convention- you've met the staff- and you've even socialized with the ConCom.  But what about those *other* Penguicon people?  Those shadowy figures that create the multi-year rules- have their fingers on the money- and cause a ConChair to mysteriously appear every year in a puff of penguin-scented smoke?  Ever wonder what the Penguicon Board of Directors does in their secret sanctum- and where they are taking Penguicon?  Come to the Board of Directors meeting and see!",FALSE,PUBLIC,"none"
4/30/2016,15:00,4/30/2016,16:50,1 hour and 50 minutes,"EMC V","DIY","Make a Cute Penguin Plushie!","Janet Gocay","Come to this workshop to learn how to hand sew a small plushie penguin from felt. Leave with your own adorable penguin and ideas about how to create your own plushies. No sewing experience required. This is a limited participation event. Sign up in advance at Ops. ",FALSE,PUBLIC,"none"
4/30/2016,17:00,4/30/2016,19:00,2 hours,"EMC V","Life","ConFusion ConCom Meeting","ConFusion ConCom","Join the 2017 ConFusion concom for a sneak peek at what might be in store for next January at out sister con!",FALSE,PUBLIC,"none"
4/30/2016,19:00,4/30/2016,20:50,1 hour and 50 minutes,"EMC V","DIY","Learn to Cross-Stitch ","Janet Gocay, Kelly Vanderwell","Come learn the basics of cross-stitch! You will begin stitching using a simple pattern and leave with the skills to continue on your own. All necessary supplies will be provided- and no previous experience is necessary. This is a limited participation event. Sign up in advance at Ops. ",FALSE,PUBLIC,"none"
5/1/2016,11:00,5/1/2016,11:50,50 minutes,"EMC V","Life, Gaming","Life-ing Your Game","Craig Hibbard","You've heard of hacking your life- maybe you've heard of gaming your life. But how much attention do you pay to what the game you're already playing is teaching you? Third try is a charm (I hope) for this panel where I will attempt to impart to you some of the things that I've learned from my gaming experiences and things that I think you and your children could learn too. Please join me and see what we can learn together.",FALSE,PUBLIC,"none"
5/1/2016,13:00,5/1/2016,13:50,50 minutes,"EMC V","Life","BoF: What Will Penguicon Look Like in 2020?","","Let's get together to talk about the future of Penguicon. What will it look like in 2020? Your autonomous- electric car drops you off at the convention and you are automatically registered- with payment taken from your Penguicash account. Then what? Does hospitality have a list of you favorite foods that are dropped in by drone? Is a custom costume cut for you based on prior appearances and the movies you attended that year? Let's use our scifi interest to tell the future. Birds of a feather events are unmoderated.",FALSE,PUBLIC,"none"
5/1/2016,14:00,5/1/2016,14:50,50 minutes,"EMC V","Life","Furries!","Gnora Ford-Lepthien","What is being a furry all about? Find out about your fuzzy friends. Anthropomorphic Characters- Art- & Costumes",FALSE,PUBLIC,"none"
