Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/3/2019,17:00,5/3/2019,18:00,1 hour,"Food [317]","Food","Multiple Ways To Make a Grilled Cheese - Sign Up Errata","Justin Winkelman","Come learn several ways to reach the same result- a grilled cheese- or at least melted cheese between two pieces of bread. Some methods will taste better than others- and all will be sampled. Space is limited- please sign up in advance near Ops!",FALSE,PUBLIC,""
5/3/2019,18:00,5/3/2019,19:00,1 hour,"Food [317]","Media","Spoilers Galore for the HBO Series: Game of Thrones - Addition Errata","Elizabeth Jury","<strong>SPOILER ALERT </strong><br><br>If you are a fellow <em>Game of Thrones-</em> HBO Series Geek and you have seen the latest episode(s) of the HBO Series- <em>Game of Thrones</em>- then this is the space to come and discuss everything and anything about the Series! &nbsp;<br>This event will allow <strong>spoiler-filled discussions </strong>about <em>Game of Thrones</em>; The HBO Series. <br><br>If you <strong>have not </strong>seen <em>Game of Thrones-</em> the HBO Series- than this is not the panel you are looking for. <br><br><strong>We strongly advise attendees to be aware that by chosing to attend this event- they are chosing to enter a <em>Game of Thrones</em>- HBO Series &nbsp;Spoiler Zone! <br></strong>",FALSE,PUBLIC,""
5/3/2019,19:00,5/3/2019,20:00,1 hour,"Food [317]","Food","Will it Sphere-ify - Sign Up Errata","Frannie","Spherification is a technique that transforms liquids into solid- edible spheres. People can use this technique to add color- texture- and flavor to their dishes. Join me as I experiment with spherification and try out a bunch of different liquids and see- WILL IT SPHERIFY? Space is limited- please sign up in advance near Ops!",FALSE,PUBLIC,""
5/3/2019,20:00,5/3/2019,21:00,1 hour,"Food [317]","Food","Oxling's Alcoholic Chocolates - Sign Up Errata","Dan Eckerd","If candy is dandy and liquor is quicker- then what is a combination of both?....Fun. Come see what Oxling has cooked up and learn to make your own fun filled treats. Tequila rose truffles- coconut rum cream and high octane cherry cordials are a few of the examples. Samples and recipes will be available at the end. Make sure to bring your valid ID with you to verify you are over 21 to try the chocolates. Space is limited- please sign up in advance near Ops!",FALSE,PUBLIC,""
5/3/2019,21:00,5/3/2019,22:00,1 hour,"Food [317]","Food","Whiskey of the West - Sign Up Errata","Greg Williams, Katie Buffone","For our annual journey into our favorite spirit- this year's theme will be an exploration of some interesting craft brands from west of the Mississippi. Space is limited- please sign up in advance near Ops!",FALSE,PUBLIC,""
5/3/2019,22:00,5/4/2019,00:00,2 hours,"Food [317]","After Dark","Sketchy Nonsense Live Podcast 2: We're Doing It Again - Sign Up Errata","Shane Soules, Andy Althouse, Nick Haynes, Anne LaCroix","Sketchy Nonsense is back again to do our patented (not actually patented) live podcast! Come see a group of guys do some live improv comedy for your listening pleasure. And also drink beer. And ALSO also- you can drink it with us! Sample the 'Beer of the Week' with us. It is most definitely 21+- so bring your big boy/girl/non-gender conforming pants and have a fun time! This event is 18+. &nbsp;Space is limited- please sign up in advance near Ops!",FALSE,PUBLIC,""
5/4/2019,11:00,5/4/2019,12:00,1 hour,"Food [317]","Food","Camp Cookery and Magical Meals to Prevent Trailside Tragedy - Sign Up Errata","Alex Drummer, chloe zrnich","Come learn some tips and tricks for camp cookery. We will focus on backpacking meal planning and on trail prep. Discussion points will include types of backpacking stoves and cook kits- dehydration- DIY freeze drying- cold soak meals- and trail baking. Recipes will be available and possibly meal samples too! Space is limited- please sign up in advance near Ops!",FALSE,PUBLIC,""
5/4/2019,13:00,5/4/2019,14:00,1 hour,"Food [317]","Food","Cheese: Young and Spry or Aged and Sharp? -Sign Up Errata","Shannon Marshall, Maggie Maiville","Shannon and Maggie return with another flavorful cheese tasting panel. Come discover if you like your cheese young and spry or aged and sharp. We will compare and contrast three different cheeses in both their 'young' and 'aged' stages. Come prepared to have your taste buds stimulated and your minds blown. Space is limited- please sign up in advance near Ops!",FALSE,PUBLIC,""
5/4/2019,14:00,5/4/2019,15:00,1 hour,"Food [317]","Food","Ask A Baker -Sign Up Errata","Erika Wagner","What does creaming really DO? What causes browning? Why does bread...bread? Why did my thing do that thing? If you've ever had a baking question- or just want to shoot the breeze about butter- come in. Have a chat- have a snack- and leave with a few recipes that won't let you down. Space is limited. Please sign up in advance near Ops!",FALSE,PUBLIC,""
5/4/2019,15:00,5/4/2019,16:00,1 hour,"Food [317]","Food","CMP Kitchen: Mad Food Science Continuing Education Credits - Sign Up Errata","Jeanette Quirk, Matthew Quirk, Amy Conlon, Kevin Hogan","The folks at Cine Mal Practice have a love/hate relationship with innovative food. We've made sauerkraut chocolate cake- bacon fat ginger snaps- and Velveeta fudge all in the name of SCIENCE! Some recipes hit the spot- some don't. Come join us for a 'how to make peep sushi' demonstration and taste some of the odder things we've made. Recipes will be available. Bring your own weird food recipe to trade if you want. Space is limited. Please sign up in advance near Ops!",FALSE,PUBLIC,""
