Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/26/2015,13:00,4/26/2015,14:50,1 hour and 50 minutes,"Food [Room 517]",Costuming, DIY,"Silicone Casting for Cheap Bastards","Gnora Ford-Lepthien",'Have you wanted to make stuff out of silicone- but don't want to buy the expensive stuff? In this panel you will learn how to mold silicone things out of cheap and easily obtainable silicone caulk and cornstarch. We will cover the entire process from plaster casting to the silicone mixture and casting. Limited amounts of casting materials will be available. Bring small items to mold in plaster- then cast in silicone. Spots are limited - please sign up at Ops!',FALSE,PUBLIC,none
4/25/2015,18:00,4/25/2015,18:50,50 minutes,"Food [Room 517]",Food,"Cheese, Glorious Cheese","Shannon Marshall, Maggie Maiville",'Shannon and Maggie have based their entire relationship on cheese. Come sample their favorites and learn how to pair the stinkiest of Gorgonzolas to the sharpest of Cheddars.',FALSE,PUBLIC,none
4/25/2015,15:00,4/25/2015,15:50,50 minutes,"Food [Room 517]",Food,"Cooking With the Con Chair: Sushi!","Janet Gocay, Nuri Gocay",'Our illustrious Con Char and indefatigable Head of Programming take an hour out from their real passions (Con - duh!) to share one of their other passions - sushi!',FALSE,PUBLIC,none
4/26/2015,12:00,4/26/2015,12:50,50 minutes,"Food [Room 517]",Food,"Dark Chocolate Around The World","Cathy Raymond, Eric Raymond",'What makes one chocolate different from others? It's not just how much cocoa or sugar it contains or how it's processed. Different varieties of are grown in different parts of the world- and sometimes it's the type of beans make for different flavor qualities. Join Cathy and Eric Raymond for a tasting session designed to show you how to tell West African chocolate from Ecuadorian.',FALSE,PUBLIC,none
4/25/2015,10:00,4/25/2015,10:50,50 minutes,"Food [Room 517]",Food,"Deconstructing Banana Bread","Leigh Mileur",'A talk about how varying different ingredients changes different aspects of the final product- as demonstrated using Grandma's banana bread recipe as a baseline.',FALSE,PUBLIC,none
4/26/2015,11:00,4/26/2015,11:50,50 minutes,"Food [Room 517]",Food,"DIY Infusions and Liqueurs","Heather Fish, Nuri Gocay",'Come see techniques for making homemade infusions and liqueurs! Techniques involving fruit- herbs and spices- alcohol bases- and sweeteners will be included. Must be 21+ to participate.',FALSE,PUBLIC,none
4/24/2015,18:00,4/24/2015,20:50,2 hours and 50 minutes,"Food [Room 517]",Food,"Flavored Popcorn!","Marcus Hauser",'Learn how to mix ingredients and seasonings to make various flavors of popcorn in this three-hour drop-in demo. Flavors can range from the usual- salt-and-butter and carmel corn - to the more adventurous- chili garlic and sea salt and vinegar!  Come learn some tips and tricks and enjoy some tasty popcorn!',FALSE,PUBLIC,none
4/26/2015,10:00,4/26/2015,10:50,50 minutes,"Food [Room 517]",Food,"Homemade Herbal Butters, Oils, and Vinegars","Hanna Christiansen",'One fast way to add big flavor to food is by using herb infused ingredients. Come learn a few simple techniques for making your own delicious concoctions; sample sweet- savory and spicy combinations while you are here; leave with ideas and several recipes to experiment with later.',FALSE,PUBLIC,none
4/25/2015,13:00,4/25/2015,13:50,50 minutes,"Food [Room 517]",Food,"Intro to Homebrewing Beer","Joe Rapp",'In this panel- we'll share various styles of homebrewed beer with the participants while briefly going over the science behind brewing. Participants will then learn of the various methods- ingredients and equipment they can use to brew their own beer- gearing up for May 3rd - National Homebrew Day! 21+ please',FALSE,PUBLIC,none
4/25/2015,9:00,4/25/2015,9:50,50 minutes,"Food [Room 517]",Food,"Penguicon Coffee Ritual","Matt Arnold",'A solemn celebration of caffeination in our time-honored Penguicon tradition.',FALSE,PUBLIC,none
4/25/2015,11:00,4/25/2015,12:50,1 hour and 50 minutes,"Food [Room 517]",Food,"PenguiPasta With Some Sauce Bosses","Andy Amsdill, Kattni Rembor",'Fresh pasta- tomato and alfredo sauce- all made from scratch. Simple ingredients- easy to do- etc etc etc.',FALSE,PUBLIC,none
4/25/2015,16:00,4/25/2015,16:50,50 minutes,"Food [Room 517]",Food,"Rethinking Your Food Plate","Maggie Maiville, Shannon Marshall",'A meal doesn't have to have meat to be tasty. Learn how to reduce your carbon footprint- cook for your annoying vegetarian friend- season with more than just salt- and participate in meatless Mondays.',FALSE,PUBLIC,none
4/25/2015,17:00,4/25/2015,17:50,50 minutes,"Food [Room 517]",Food,"The Brown Liquors","Dawn Kuczwara, Greg Williams",'What's the difference between Bourbon and Scotch? Is Tennessee whiskey any different from Irish? How? Why? Come hear how these different 'Brown Liquors' are made- and what makes them unique from one another. And while your at it- find out for yourself by sampling a little of each.Must be 21+ to participate. Spots are limited - please sign up at Ops!',FALSE,PUBLIC,none
4/26/2015,9:00,4/26/2015,9:50,50 minutes,"Food [Room 517]",Food,"What the Heck is Switchel?","Hanna Christiansen",'Switchel is also called swizzle- ginger-water- and haymaker's punch- a ginger infused sweet and sour drink (think spiced lemonade). Since the 16th century- this drink has been used by farm hands and travelers to combat thirst. It is currently experiencing a renaissance at farmers markets as a nutrient dense alternative to sports drinks. At this class we will walk through making a batch of one recipe and several other regional variants will be available for sampling.',FALSE,PUBLIC,none
