Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/2/2014,16:00,5/2/2014,17:50,1 hour and 50 minutes,"Gaming (Restaurant)",Gaming,"FRAG","",'Frag is a computer game without a computer. It's a 'first-person shooter' on a tabletop. Move your fighter and frag your foes; draw cards for weapons- armor- and gadgets; move through the blood spatters to restore your own health! If you die- you respawn and come back shooting! Up to six can play.',FALSE,PUBLIC,none
5/2/2014,16:00,5/2/2014,17:50,1 hour and 50 minutes,"Gaming (Restaurant)",Gaming,"Nuns on the Run","",'In Nuns on the Run™ you explore the exciting nocturnal world of a grand abbey filled with intrigue and deception. As the old abbess- the noble prioress- or a simple novice you become hunter or prey. Everyone gets a special 'blessing' but only the novices try to fulfill a 'secret wish.' They must sneak through the dimly lit halls- corridors- and gardens- seeking keys and treasures unique to their goal. Meanwhile- the vigilant abbess and prioress patrol their routes- ever watchful of young novices who should be fast asleep in their austere cells. Are you wily enough to fulfill your quest and win the night?',FALSE,PUBLIC,none
5/2/2014,18:00,5/2/2014,19:50,1 hour and 50 minutes,"Gaming (Restaurant)",Gaming,"MidEvil Deluxe","",'MidEvil is the first game to be based on- and an extension of- the award winning Zombies!!! system from Twilight Creations. Players have escaped the modern-day zombie horde only to find themselves transported back in time and faced with a whole new set of problems!',FALSE,PUBLIC,none
5/2/2014,18:00,5/2/2014,19:50,1 hour and 50 minutes,"Gaming (Restaurant)",Gaming,"Murder of Crows","",'Uncover a murder most foul by revealing six story elements that together describe the deadly deed and spell the word MURDER. But take care that your opponents can't do the same -- take their letters- counter their actions- or call on a waiting Crow to influence the murder before they do! At any moment a well-played card can shift the balance and seal someone's fate. ',FALSE,PUBLIC,none
5/2/2014,18:00,5/2/2014,20:50,2 hours and 50 minutes,"Gaming (Restaurant)",Gaming,"Under Where?! Hallaster's Tea Party... A D&D Dungeon Crawl","Jake Newman, Fred Lthrop",'Come join us for the ultimate dungeon crawl through the 'Ruins of Undermountain.' Do you dare enter the playhouse of the mad wizard Hallaster? He's having a tea party and you're invited...as the entertainment. Who knows what horrors lay waiting around the next corner! This is a massive magical dungeon where players can come and go at Hallaster's whim. Come join us for as long or as short as you like.  All characters are premade (level 6+) and ready to play. D&D 3.5 rules will be used. We have the dice- you have the vice!',FALSE,PUBLIC,none
5/2/2014,20:00,5/2/2014,21:50,1 hour and 50 minutes,"Gaming (Restaurant)",Gaming,"Cheap Shot","",'The gloves are off in the rummy-style game of insults. Players use the cards in hand to formulate an insult “Your Secret Boyfriend/is a drama farmer/and tells only lies.” Wham! Pow! Unless the targeted player can come up with a block card- such as “Oh grow up!-” the insult will stand as points. The more cards in the insult- the bigger the points. So- grab your toenail biting- hideous friends and duke it out with Cheap Shot or just go “Zip your pie hole”! ',FALSE,PUBLIC,none
5/2/2014,20:00,5/2/2014,21:50,1 hour and 50 minutes,"Gaming (Restaurant)",Gaming,"Revolution","",'Blackmail the printer. Threaten the innkeeper. Bribe the priest. Welcome to Revolution!  Secretly bid against your opponents to gain the support of the people- win territory . . . and gather more Gold- Blackmail- and Force for the next round of bidding! Will you try to control the tavern or the fortress? The harbor or the plantation? Knowing where to push for support – and where to back away and let your opponents fight – is the key to victory. It's a game of bluff- counter-bluff- and surprise.',FALSE,PUBLIC,none
5/2/2014,22:00,5/2/2014,22:50,50 minutes,"Gaming (Restaurant)",Gaming,"MovieMashups Tournament","William Meyer, Kim Horger",'In MovieMashups- teams of 2-4 players compete to prove their knowledge of mixed-up movies. The winning team will walk away with one deck of cards.',FALSE,PUBLIC,none
5/2/2014,22:00,5/3/2014,0:50,2 hours and 50 minutes,"Gaming (Restaurant)",Gaming,"The Biggest Game of Cards Against Humanity Ever Played","Nick Farr, M'jit Raindancer-Stahl, Dean Stahl",'We're going to attempt the biggest game of Cards Against Humanity ever.  Even if you've only heard about this wild tabletop game- show up for the fun and stay for the chaos.',FALSE,PUBLIC,none
5/3/2014,10:00,5/3/2014,12:50,2 hours and 50 minutes,"Gaming (Restaurant)",Gaming,"Chopped GM - Penguicon","Bill Korsak",'Fifteen players will have a chance to become the first winner of 'Chopped GM.' There will be four random elements to test and stretch players' creative muscles. Have you got what it takes to win the contest?',FALSE,PUBLIC,none
