Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
05/03/2019,18:00,05/03/2019,20:00,2 hours,"Gaming (TC's Room)","Gaming","London","Mike Dudash","BG 2-4 players. Players select cards with varying powers of cash flow- victory points- and poverty penalties- and compete to manage them most efficiently. Nearly 250 years of progress is glimpsed in this game. Famous buildings and monuments of the era as well as engineering developments such as streetlights are illustrated on the cards.",TRUE,PUBLIC,""
05/04/2019,11:00,05/04/2019,12:00,1 hour,"Gaming (TC's Room)","Gaming","Tyrants of the Underdark","Jason Miller","BG 2-4 players; Each player leads a house of Drow in a section of the Underdark below the Sword Coast. The Drow house is represented by a deck of cards- with each card being a minion in that player's deck. Each minion belongs to one of five aspects of Drow society- and those aspects correspond to different strategies in the game- e.g.- malice minions excel at assassinating opponents' troops- while ambition minions are best at recruiting additional minions and promoting minions to your 'inner circle'- which is a special zone that increases their value at the end of the game.",TRUE,PUBLIC,""
05/03/2019,16:00,05/03/2019,17:00,1 hour,"Gaming (TC's Room)","Gaming","Mystic Vale","The Wandering Meeple","BG 2-4 players; This game features an innovative 'card crafting system-' which lets you not only build your deck- but build the individual cards in your deck- customizing each card's abilities to exactly the strategy you want to follow.",TRUE,PUBLIC,""
05/05/2019,11:00,05/05/2019,12:00,1 hour,"Gaming (TC's Room)","Gaming","Sushi Go","Heather Williams","BG 2-5 players; You are eating at a sushi restaurant and trying to grab the best combination of sushi dishes as they whiz by. Score points for collecting the most sushi rolls or making a full set of sashimi. Dip your favorite nigiri in wasabi to triple its value! And once you've eaten it all- finish your meal with all the pudding you've got! But be careful which sushi you allow your friends to take; it might be just what they need to beat you!",TRUE,PUBLIC,""
05/04/2019,14:00,05/04/2019,17:00,3 hours,"Gaming (TC's Room)","Gaming","Terraforming Mars","Heather Williams","BG 1-5 players; In the 2400s- mankind begins to terraform the planet Mars. Giant corporations- sponsored by the World Government on Earth- initiate huge projects to raise the temperature- the oxygen level- and the ocean coverage until the environment is habitable. In Terraforming Mars- you play one of those corporations and work together in the terraforming process- but compete for getting victory points that are awarded not only for your contribution to the terraforming- but also for advancing human infrastructure throughout the solar system- and doing other commendable things.",TRUE,PUBLIC,""
05/03/2019,20:00,05/03/2019,23:00,3 hours,"Gaming (TC's Room)","Gaming","Dune","Eric McGlohon","BG 2-6 players; Set thousands of years in the future- Dune the board game is based on the Frank Herbert novels about an arid planet at the heart of the human space empire's political machinations. Player interaction is generated through negotiation and bluffing. Players each take the role of one of the factions attempting to control Dune- with each faction having special powers that overlook certain rules in the game. The game concludes when one faction (or two allied factions) is able to control a certain number of strongholds on the planet.",TRUE,PUBLIC,""
05/04/2019,15:00,05/04/2019,17:00,2 hours,"Gaming (TC's Room)","Gaming","Egiza","Mike Dudash","BG 2-4 players; The game lasts 5 turns. In each turn- the players place their pawns on the board- along the banks of the Nile- getting the advantages shown on each square. On the right bank there are fixed squares where the players may get workers- improve their mercantile capabilities- influence the floods (and thus the fertility of the fields) and reserve the right to build the monuments (that are built only after all the placements are done). On the left bank the players may take cards that are deployed randomly on the 10 squares at the start of each turn; some of these cards are kept until the end of the game (cultivable fields- stone quarries- deities granting special advantages)- while others are discarded after the use and offer multiple immediate advantages.",TRUE,PUBLIC,""
05/04/2019,13:00,05/04/2019,14:00,1 hour,"Gaming (TC's Room)","Gaming","Istanbul","Mike Dudash","BG 2-5 players; There's hustle and bustle at Istanbul's grand bazaar as merchants and their assistants rush through the narrow alleys in their attempt to be more successful than their competitors. Everything must be well organized: wheelbarrows must be filled with goods at the warehouses- then swiftly transported by the assistants to various destinations. Your goal? Be the first merchant to collect a certain number of rubies.",TRUE,PUBLIC,""
05/04/2019,13:00,05/04/2019,14:00,1 hour,"Gaming (TC's Room)","Gaming","Dice Forge","Jason Miller","BG 2-4 players; Development game featuring innovative mechanics based on dice with removable faces. In this dice crafting game- players build their own dice. Roll your dice- manage your resources- complete ordeals before your opponents and explore multiple winning strategies.",TRUE,PUBLIC,""
05/03/2019,22:00,05/04/2019,00:00,2 hours,"Gaming (TC's Room)","Gaming","Red Dragon Inn","Kevin King","BG 3-6 players; You and your friends are a party of heroic- fantasy adventurers. You've raided the dungeon- killed the monsters- and taken their treasure. Now you're back- and what better way to celebrate your most recent victory than to spend an evening at the Red Dragon Inn. You and your adventuring companions will spend the night drinking- gambling- and roughhousing. The last person who is both sober enough to remain conscious and shrewd enough to hold onto his gold coins wins the game.",TRUE,PUBLIC,""
05/04/2019,15:00,05/04/2019,16:00,1 hour,"Gaming (TC's Room)","Gaming","I Didn't Plan For This One Shot","Julie Miller","RPG; 100% of the session will be created as we play! Player characters- world- and story will all be generated using the techniques from my 'I Didn't Plan For This' panel. The game will use a simple high/low d20 system. (Note: attendees do NOT have to attend both in order to participate.)",TRUE,PUBLIC,""
05/05/2019,10:00,05/05/2019,11:00,1 hour,"Gaming (TC's Room)","Gaming","Roll for the Galaxy","Heather Williams","BG 2-5 players; Dice game of building space empires for 2-5 players. Your dice represent your populace- whom you direct to develop new technologies- settle worlds- and ship goods. The player who best manages his workers and builds the most prosperous empire wins!",TRUE,PUBLIC,""
05/04/2019,17:00,05/04/2019,18:00,1 hour,"Gaming (TC's Room)","Gaming","Timeline Challenge","Jason Miller","BG 2-10 players; Timeline Challenge incorporates the original mechanic of the series into progressive game track- of which players can move between 0-4 spaces per turn. Players will have to make use of predetermined time periods and guess where the incident depicted on the card occurred. There are four different challenges- and they are played depending on the color of the game space of the lead player. Additionally there are two further challenges which allow the two players at the back of the pack to catch up.",TRUE,PUBLIC,""
05/04/2019,19:00,05/04/2019,20:00,1 hour,"Gaming (TC's Room)","Gaming","Five Tribes","The Wandering Meeple","BG 2-4 players; Here- in a unique twist on the now-standard 'worker placement' genre- the game begins with the meeples already in place - and players must cleverly maneuver them over the villages- markets- oases- and sacred places tiles that make up Naqala. How- when- and where you dis-place these Five Tribes of Assassins- Elders- Builders- Merchants- and Viziers determine your victory or failure",TRUE,PUBLIC,""
05/05/2019,10:00,05/05/2019,11:00,1 hour,"Gaming (TC's Room)","Gaming","Overworld","Nemo Rathwald","BG 2 to 4 players; Play with a published edition of the strategy game playtested at Penguicon so many times before. Discover dungeon entrances by exploring pixel-art forests- mountains- reefs- and whirlpools. Lay L-shaped tiles and claim them with your ships and your rideable flightless birds. Dungeon doors are placed into the spaces where no tile could ever fit. The player whose three dungeon doors are farthest apart has discovered the largest dungeon- and is famed as the greatest explorer.",TRUE,PUBLIC,""
05/04/2019,10:00,05/04/2019,11:00,1 hour,"Gaming (TC's Room)","Gaming","Abyss","The Wandering Meeple","BG 2-4 players; A game of development- combination and collection in which players try to take control of strategic locations in an underwater city. To achieve this- players must develop on three levels: first by collecting allies- then using them to recruit Lords of the Abyss- who will then grant access to different parts of the city. Players acquire cards through a draft of sorts- and the Lords of the Abyss acquired on those cards grant special powers to the cardholder   but once you use the cards to acquire a location- that power is shut off- so players need to time their land grabs well in order to put themselves in the best position for when the game ends.",TRUE,PUBLIC,""
05/04/2019,15:00,05/04/2019,16:00,1 hour,"Gaming (TC's Room)","Gaming","Paper Tales","The Wandering Meeple","BG 2-5 players A simultaneous drafting card game. Each turn- players draft five units that they then recruit into their kingdom   assuming that they can pay. These choices determine the players ability to shine in battle- generate great income- construct dominant buildings- and earn legend points. There are only four hiring positions available during the four rounds of the play- but your units grow older with each turn until time takes them away.",TRUE,PUBLIC,""
05/04/2019,17:00,05/04/2019,18:00,1 hour,"Gaming (TC's Room)","Gaming","Pompeii","Mike Dudash","BG 1-6 players; A tile-laying game where the players must work cooperatively to save as many citizens as possible.",TRUE,PUBLIC,""
05/04/2019,17:00,05/04/2019,18:00,1 hour,"Gaming (TC's Room)","Gaming","The GRAM Role-Playing Game: Introductory Demo","Cyndi Chadwick","RPG: Join us for a demonstration of the GRAM role playing game led by one of the game designers.",TRUE,PUBLIC,""
05/04/2019,11:00,05/04/2019,12:00,1 hour,"Gaming (TC's Room)","Gaming","Vector! Attack of the Metapirates, Penguicon Edition","Shane Wheeler","A tabletop RPG adventure in the world of Vector! Attack of the Metapirates*- specifically tailored for Penguicon. *Vector! Attack of the Metapirates is not an adventure- supplement- setting- or campaign- but a MEMETIC VIRUS. Vector and the Meta Pirates may spread their influence into not only one game- but many- and should they not be contained or halted- may even irrevocably alter you and your players. You have been warned.",TRUE,PUBLIC,""
05/04/2019,21:00,05/04/2019,22:00,1 hour,"Gaming (TC's Room)","Gaming","Via Nebula","The Wandering Meeple","BG 2-4 players; Crafters- builders and carriers   your help is needed to dispel the mists of Nebula! The people of the valley will reward you handsomely if you harvest and exploit our many resources- open paths through the mists- and help our settlers build new structures. Cooperate temporarily with other builders in order to create paths and share goods- but do not forget your own objectives. Will you have a statue erected in your honor on the Nebula City plaza?",TRUE,PUBLIC,""
05/03/2019,21:00,05/03/2019,23:00,2 hours,"Gaming (TC's Room)","Gaming","Lords of Vegas","The Wandering Meeple","BG 2-4 players; You and your opponents represent powerful developers in a burgeoning Nevada city. You will earn money and prestige by building the biggest and most profitable casinos on 'The Strip-' the town's backbone of dust and sin. You start with nothing but parking lots and dreams- but from there you build- sprawl- reorganize and gamble your way to victory. Score the most points investing in the most profitable development companies and putting the best bosses in control of the richest casinos. Put your dollars on the line . . . it's time to roll!",TRUE,PUBLIC,""
05/05/2019,14:00,05/05/2019,18:00,4 hours,"Gaming (TC's Room)","Gaming","Igor's Challenge (D and D 5th Edition)","Liam McGlohon","RPG 2-4 players; Igor Larionov is an eccentric gnome inventor renowned around the world. He has sent out invitations to adventuring groups to come and compete for his latest- greatest invention. The competition will take place a few days hence in Penthill and consist of a race through his specially created challenge-dungeon.",TRUE,PUBLIC,""
05/03/2019,13:00,05/03/2019,15:00,2 hours,"Gaming (TC's Room)","Gaming","Azul","Heather Williams","BG 2-4 players; Players take turns drafting colored tiles from suppliers to their player board. Later in the round- players score points based on how they've placed their tiles to decorate the palace. Extra points are scored for specific patterns and completing sets; wasted supplies harm the player's score. The player with the most points at the end of the game wins.",TRUE,PUBLIC,""
05/04/2019,11:00,05/04/2019,11:00,00 minutes,"Gaming (TC's Room)","Gaming","The GRAM Role-Playing Game: Introductory Demo","Warren Brown","RPG; Join us for a demonstration of the GRAM role playing game led by one of the game designers.",TRUE,PUBLIC,""
05/03/2019,19:00,05/04/2019,20:00,25 hours,"Gaming (TC's Room)","Gaming","The GRAM Role-Playing Game: Introductory Demo","Cyndi Chadwick","RPG; Join us for a demonstration of the GRAM role playing game led by one of the game designers.",TRUE,PUBLIC,""
05/03/2019,19:00,05/03/2019,20:00,1 hour,"Gaming (TC's Room)","Gaming","7 Wonders","Heather Williams","BG 2-7 players; You are the leader of one of the 7 great cities of the Ancient World. Gather resources- develop commercial routes- affirm your military supremacy. Build your city and erect an architectural wonder.",TRUE,PUBLIC,""
05/05/2019,13:00,05/05/2019,15:00,2 hours,"Gaming (TC's Room)","Gaming","Augsburg 1520","Mike Dudash","BG 2-5; Players assume the role of the merchants from Augsburg and try to get what they can -- by means of auctions -- from the nobility- thus increasing their wealth and particularly their social status.",TRUE,PUBLIC,""
05/03/2019,15:00,05/03/2019,16:00,1 hour,"Gaming (TC's Room)","Gaming","Unpublished Prototype: GaiaVora","Nemo Rathwald","BG; Players fill the rotating cardboard planet of Gaia with verdant life. Arrange your carnivores- herbivores- and plants- so you can eat your opponents- under the light of Vora- the moon. Survive on the highest stacks of land tiles- when the final meteor strikes!",TRUE,PUBLIC,""
05/03/2019,20:00,05/03/2019,21:00,1 hour,"Gaming (TC's Room)","Gaming","Isle of Skye","The Wandering Meeple","BG 2-5 players; Players are chieftains of famous clans and want to build their kingdoms to score as many points as possible but in each game only four of the sixteen scoring tiles will be scored.",TRUE,PUBLIC,""
05/05/2019,14:00,05/05/2019,15:00,1 hour,"Gaming (TC's Room)","Gaming","Pandemic","Heather Williams","BG 2-4 players; Several virulent diseases have broken out simultaneously all over the world! The players are disease-fighting specialists whose mission is to treat disease hotspots while researching cures for each of four plagues before they get out of hand.",TRUE,PUBLIC,""
05/04/2019,12:00,05/04/2019,13:00,1 hour,"Gaming (TC's Room)","Gaming","The GRAM Role-Playing Game: Introductory Demo","Cyndi Chadwick","RPG; Join us for a demonstration of the GRAM role playing game led by one of the game designers.",TRUE,PUBLIC,""
05/03/2019,12:00,05/03/2019,13:00,1 hour,"Gaming (TC's Room)","Gaming","Dice Forge","The Wandering Meeple","BG 2-4 players; Development game featuring innovative mechanics based on dice with removable faces. In this dice crafting game- players build their own dice. Roll your dice- manage your resources- complete ordeals before your opponents and explore multiple winning strategies.",TRUE,PUBLIC,""
05/03/2019,18:00,05/03/2019,22:00,4 hours,"Gaming (TC's Room)","Gaming","Ghost Ship","Lloyd Williams","RPG 5 players; If you love the Fate system- or are interested in trying a new to you system- this session is for you. The characters are pre-made so the action can start right away! Play part of an archaeological exploration team in a universe where humanity is the only sentient race alive- that you know of. Remains of other races civilizations have been found- but no members of the races!",TRUE,PUBLIC,""
05/04/2019,16:00,05/04/2019,17:00,1 hour,"Gaming (TC's Room)","Gaming","Codename","Ska","BG 2-20 players; Two teams compete to see who can contact all of their agents first. Use clues that could point to multiple words on the board to guess your teams words- but not the other teams!",TRUE,PUBLIC,""
05/05/2019,12:00,05/05/2019,14:00,2 hours,"Gaming (TC's Room)","Gaming","Alien Frontiers","Eric McGlohon","BG 2-5 players; Do you have what it takes to be a deep space colonist? An alien frontier awaits the brave and daring! This new planet will be harsh- but if you have the skills to manage your resources- build a fleet- research alien life- and settle colonies- the world can be yours.",TRUE,PUBLIC,""
05/03/2019,17:00,05/03/2019,18:00,1 hour,"Gaming (TC's Room)","Gaming","Small World","The Wandering Meeple","BG 2-5 players; Small World is inhabited by a zany cast of characters such as dwarves- wizards- amazons- giants- orcs- and even humans- who use their troops to occupy territory and conquer adjacent lands in order to push the other races off the face of the earth.",TRUE,PUBLIC,""
