Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/25/2015,15:00,4/25/2015,16:50,1 hour and 50 minutes,"Gaming [Lobby]",Gaming,"Bug House (Chess) Tournament","Rick Houser, Seth Breidbart, Don Wenzel",'The first Penguicon Chess Tournament has arrived! Bug House games are extremely fast paced team play often involving shouting and some very non-traditional mechanics. Even if you don't play chess- feel free to swing by and take a peak. This tournament will -not- be elimination- so expect to get 4-5 games in. There will be a sign-up sheet at Ops. Chess set availability is limited. Those that bring a set get first priority; second priority goes to those on the sign-up sheet- in order.  Equipment: If you have a chess set or durable clock- please bring it.  We do have a limited number of sets available for use. You need to know at least one variant of Bughouse or Doubles Speed- so come check out our Bug House panel! As long as you understand the rules- don't worry about not being good enough!',FALSE,PUBLIC,none
4/26/2015,13:00,4/26/2015,14:50,1 hour and 50 minutes,"Gaming [Lobby]",Gaming,"Carabande (aka PitchCar)","Mark Geary",'A skill-packed automobile race requiring intuition and dexterity. The cars are colored wooden disks which are flicked over the race course. With the right touch- they fly over the track- zipping around corners- and sweep between opponents' cars in daring maneuvers. ',FALSE,PUBLIC,none
4/24/2015,20:00,4/24/2015,20:50,50 minutes,"Gaming [Lobby]",Gaming,"Don't Be That Guy","William Meyer",'Don't Be That Guy is a casual card game of pet-peeves. Players vote to see which person is most likely to be guilty of performing that activity. The loser is crowned 'That Guy.' One example is driving slowly in the left hand lane.',FALSE,PUBLIC,none
4/24/2015,18:00,4/24/2015,22:50,4 hours and 50 minutes,"Gaming [Lobby]",Gaming,"Halaster's Tea Party: A D&D/Pathfinder Dungeon Crawl (Friday)","Fred Lathrop, Ron Cook",'Come join the ultimate tabletop gaming dungeon crawl through the Ruins of Undermountain. Do you dare enter the playhouse of the mad wizard Halaster? He's having a tea party and you’re invited as one of his honored guests. Who knows what horrors lay in wait around the next corner? This is a massive magical dungeon where Halaster may control a player’s fate. Will you live? Will you perish? Will you be transported to locations unknown?  All characters are pre-made levels 6-12 and are ready for you to play. This is a drop-in and out game so you may come and go as you wish while continuing to play the same character. Some tabletop roleplaying experience recommended.',FALSE,PUBLIC,none
4/25/2015,18:00,4/25/2015,23:50,5 hours and 50 minutes,"Gaming [Lobby]",Gaming,"Halaster's Tea Party: A D&D/Pathfinder Dungeon Crawl (Saturday)","Fred Lathrop, Ron Cook",'Come join the ultimate tabletop gaming dungeon crawl through the Ruins of Undermountain. Do you dare enter the playhouse of the mad wizard Halaster? He's having a tea party and you’re invited as one of his honored guests. Who knows what horrors lay in wait around the next corner? This is a massive magical dungeon where Halaster may control a player’s fate. Will you live? Will you perish? Will you be transported to locations unknown?  All characters are pre-made levels 6-12 and are ready for you to play. This is a drop-in and out game so you may come and go as you wish while continuing to play the same character. Some tabletop roleplaying experience recommended.',FALSE,PUBLIC,none
4/25/2015,10:00,4/25/2015,10:50,50 minutes,"Gaming [Lobby]",Gaming,"Hanafuda Koi Koi","William A. Rowe Jr.",'Save Oz- save the Earth- and have fun with your friends in the process! Popularized recently by the DIY film Summer Wars (2009)- the Hanafuda or 'Flower Cards' consist of a 48 card deck organized into 12 months represented by 12 seasonal botanical species. The rules and strategy are straightforward yet confounding to the newcomer. Come play with us!',FALSE,PUBLIC,none
4/25/2015,11:00,4/25/2015,11:50,50 minutes,"Gaming [Lobby]",Gaming,"Learn Bug House (Chess)","Rick Houser, Seth Breidbart, Don Wenzel",'So- you know how to play chess - this is Penguicon- so bring on the chaos! 'Doubles Speed' or 'Bug House' is a fast-paced- team variant of chess that makes a heated game of Dominion look tame. It is anything but civilized- but a ton of fun. We'll go over the basics- and then play a couple games.   Please come knowing how to play a basic game of chess.  If you attended the Learn Chess event- and understood the rules- that's good enough.',FALSE,PUBLIC,none
4/24/2015,19:00,4/24/2015,19:50,50 minutes,"Gaming [Lobby]",Gaming,"Learn Chess","Rick Houser, Seth Breidbart, Don Wenzel",'Ever been curious about chess? Need a refresher before the doubles tournament? This is the place to be. All skill levels welcome- as beginners will learn faster with additional coaches! Drag your friends along- too.',FALSE,PUBLIC,none
4/24/2015,21:00,4/24/2015,22:50,1 hour and 50 minutes,"Gaming [Lobby]",Gaming,"Lords of Waterdeep","Joe Rapp",'Lords of Waterdeep + expansions is a fairly light strategy/worker placement board game for 2-6 players where players compete to recruit adventurers from around the city of Waterdeep to complete quests. Gain points and resources by completing these quests- buying buildings or hinder opponents using intrigue cards. Generally an easy game to grasp- so it can be explained in less than 15 minutes with 60-90 minutes play time. Note: this board game can be enjoyed even if you do not like DnD.',FALSE,PUBLIC,none
4/24/2015,18:00,4/24/2015,18:50,50 minutes,"Gaming [Lobby]",Gaming,"MovieMashups","William Meyer",'MovieMashups is a casual movie-trivia card game where teams work together to guess the Needss of famous movies. The twist is that each clue is two-or-more movie Needss- and plots- characters- actors- and descriptions are mixed up. Example: An orca whale is a mascot for a candy manufacturer. He dreams of finding a golden ticket to return to life in the sea. Answer: Free Willy Wonka.',FALSE,PUBLIC,none
