Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/29/2016,17:00,4/29/2016,17:50,50 minutes,"Hamlin","Life","How To Be Civilized Online","Mitchell Bowling, John Belden","The internet allows us to express our opinions- good and bad- anonymously and instantaneously.  Learn how to be a better cyber-citizen.",FALSE,PUBLIC,"none"
4/29/2016,18:00,4/29/2016,18:50,50 minutes,"Hamlin","Literature","Social Media for Writers","David Erik Nelson, Andrea Johnson, Michael W. Lucas, Christopher Purrett, Alex Kourvo","What social media trends does a writer building their web footprint need to understand? What are some Dos and Don'ts?",FALSE,PUBLIC,"none"
4/29/2016,19:00,4/29/2016,19:50,50 minutes,"Hamlin","Literature","Editing for Your Spouse/Partner/BFF/Pet","Scott Favre, Clif Flynt, Janice Leach, Jim Leach","'Can you read this and tell me what you think?' is a question to test any relationship.  We will learn some ways to navigate that communications mine-field while musing on the nature of editing- the care and feeding of your larval writer and some small- practical steps towards upping our editing game.",FALSE,PUBLIC,"none"
4/29/2016,20:00,4/29/2016,20:50,50 minutes,"Hamlin","After Dark","Dealing with the Paranormal","Shetan Noir","Come and learn how to remove unwanted things/beings from your life- home and being.  This presentation will include discussion of different practices and spells and ingredients that help to remove paranormal annoyances.  After ghost hunting and magically cleansing many homes- I have found different things that work to remove attachments and parasitic paranormals.",FALSE,PUBLIC,"none"
4/29/2016,22:00,4/29/2016,22:50,50 minutes,"Hamlin","Media","Live Podcast: Getting Drunk with Shannon & Maggie","Shannon Marshall, Maggie Maiville","Shannon and Maggie are BFF’s and they (used to) drink- a lot. Join us for our 3rd time at Penguicon. Hilarity will ensue- we will drink- eat cheese- and discuss the latest events in life and entertainment. Audience members will be able to submit questions to be answered live during the session directly- during the recording- to Shannon and Maggie or via Twitter at @ShannonsParty and @BrainOfMaggie ",FALSE,PUBLIC,"none"
4/30/2016,10:00,4/30/2016,10:50,50 minutes,"Hamlin","DIY","Intro to Needle Felting","Bagel Garrison","Needle Felting! You get to stab things! In this panel- we'll needle-felt a simple flat penguin- suitable for making into pendant/pin/whatever. Materials will be provided.",FALSE,PUBLIC,"none"
4/30/2016,12:00,4/30/2016,12:50,50 minutes,"Hamlin","Tech","Emulators and Emulation: Emulating a Trip Through Craig's Childhood, One Machine At a Time","Craig Maloney","Emulating a trip through Craig's childhood- one machine at a time. Desktop computers today don't have any soul. Sure you have your Linux and your Macintosh and your 'Windows' but it's all pretty much the same hardware underneath. Why not put those gigahertz to use and emulate the hardware and software of yester-year? Craig Maloney will give a tour of his childhood by showing us how to (legally) run such computers as the Atari 800XL- the Commodore Amiga- PET and C64- the Sinclair ZX series- and even some arcade games. Amaze your friends by running a room-full of 1970s and 1980s technology on more capable hardware. It's a presentation you won't want to miss!",FALSE,PUBLIC,"none"
4/30/2016,13:00,4/30/2016,14:50,1 hour and 50 minutes,"Hamlin","Tech","Intro to Agile/Scrum","Donald Mark Haynes, Douglas Johnson","What does it mean to be Agile?  Is it all marketing and hype or does this represent the future of software development?  We will explore fundamentals of Agile software development and focus primarily on the SCRUM framework.  We will discuss things like the element of Scrum- it’s roles- cadence and traditions- the elements of a good User Story-how to write an Acceptance Criteria- how to estimate User Stories using Scrum-Poker- release planning- a few useful Metrics- and follow-up with a few closing thoughts. ",FALSE,PUBLIC,"none"
4/30/2016,15:00,4/30/2016,15:50,50 minutes,"Hamlin","Media","BoF: Doctor Who","","Join fans of Doctor Who for an open discussion about all things timey-whimey. Birds of a Feather events are unmoderated.",FALSE,PUBLIC,"none"
4/30/2016,16:00,4/30/2016,16:50,50 minutes,"Hamlin","Media","BoF: Sherlock","","Join fans for an open discussion of the BBC powerhouse Sherlock. Birds of a Feather events are unmoderated.",FALSE,PUBLIC,"none"
4/30/2016,18:00,4/30/2016,18:50,50 minutes,"Hamlin","Literature","Dragons, Demons, and the Laundry","Christian Klaver, Robert Kroese, Michael Cieslak, Cathrynne Valente","With Urban Fantasy being such an enormous field- how do you keep the sense of wonder in magical spells- fantastic creatures and other mystical phenomenon. Is this required and what is the cost if it's missing? Do characters look differently at magic if it's used to handle mundane tasks and what does this mean to the setting?",FALSE,PUBLIC,"none"
4/30/2016,19:00,4/30/2016,19:50,50 minutes,"Hamlin","After Dark","Cryptozoology and the Paranormal in the Great Lakes","Shetan Noir","Come learn about and discuss cryptozoology and the paranormal wonders of the Great Lakes region.",FALSE,PUBLIC,"none"
4/30/2016,20:00,4/30/2016,20:50,50 minutes,"Hamlin","Comics","Webcomics 101-Logistics","Erika Wagner, Laura Cascos","Did you catch Part 1 (of 3) of the amazing Erika Wagner and Laura Cascos's Webcomics 101 panel? If you did...awesome! If you didn't...off to detention for you! Before you go to detention though- be sure to catch part 2 and learn about logistics and their importance in the Webcomic medium!",FALSE,PUBLIC,"none"
4/30/2016,21:00,4/30/2016,21:50,50 minutes,"Hamlin","After Dark","Electrifying Sex: From Quack to Kink","(Rabbit) Michael McPeek","What does high voltage and foreplay have in common? What is a TENS unit good for except back pain?  Find out these answers and more with this fun presentation and demonstration. Learn about violet wands- TENS units- and more! Come and try out an electric toy. ",FALSE,PUBLIC,"none"
4/30/2016,22:00,4/30/2016,22:50,50 minutes,"Hamlin","After Dark","Polyamory and Kink","Jillian Hawkins, Darek Hawkins, Ciaran Kingans, Ash Sexton, David Chase","Come and find out how how poly can be different with a D/s dynamic.",FALSE,PUBLIC,"none"
5/1/2016,10:00,5/1/2016,10:50,50 minutes,"Hamlin","Life","Gender and Geek Culture","Wendy Carson, Hannah Davis, John Belden","How do we eliminate the 'women aren't real [fill in the blank] sterotype?  Are we doing everything we can to bring more people into the geek fold?",FALSE,PUBLIC,"none"
