Start Date,Start Time,End Date,End Time,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/2/2014,16:00,5/2/2014,22:00,"Lobby",DIY,"Paint and Take","Dean Martelle, Linda Martelle","Enjoy a fun and relaxing session of painting miniature figures, even if you don't think of yourself as an artist. We are happy to demonstrate several painting techniques, including drybrushing, washes, and face elements, including the always tricky eyes. Some free figures available (one per person per day).",FALSE,PUBLIC,none
5/2/2014,21:00,5/2/2014,21:50,"Lobby",Tech,"Virtual Reality Headset Demo with Game Face Labs ","Ed Mason","Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!",FALSE,PUBLIC,none
5/3/2014,10:00,5/3/2014,10:50,"Lobby",Tech,"Virtual Reality Headset Demo with Game Face Labs ","Ed Mason","Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!",FALSE,PUBLIC,none
5/3/2014,12:00,5/3/2014,12:50,"Lobby",Life,"Let's Juggle!","Jody Raiford","General meetup for people who want to juggle together. Bring your own, or juggle whatever we have on hand!",FALSE,PUBLIC,none
5/3/2014,13:00,5/3/2014,17:00,"Lobby",DIY,"Paint and Take","Dean Martelle, Linda Martelle","Enjoy a fun and relaxing session of painting miniature figures, even if you don't think of yourself as an artist. We are happy to demonstrate several painting techniques, including drybrushing, washes, and face elements, including the always tricky eyes. Some free figures available (one per person per day).",FALSE,PUBLIC,none
5/3/2014,14:00,5/3/2014,14:50,"Lobby",Tech,"Virtual Reality Headset Demo with Game Face Labs ","Ed Mason","Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!",FALSE,PUBLIC,none
5/3/2014,18:00,5/3/2014,18:50,"Lobby",Tech,"Virtual Reality Headset Demo with Game Face Labs ","Ed Mason","Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!",FALSE,PUBLIC,none
5/4/2014,11:00,5/4/2014,11:50,"Lobby",Tech,"Virtual Reality Headset Demo with Game Face Labs ","Ed Mason","Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!",FALSE,PUBLIC,none
5/4/2014,13:00,5/4/2014,16:00,"Lobby",DIY,"Paint and Take","Dean Martelle, Linda Martelle","Enjoy a fun and relaxing session of painting miniature figures, even if you don't think of yourself as an artist. We are happy to demonstrate several painting techniques, including drybrushing, washes, and face elements, including the always tricky eyes. Some free figures available (one per person per day).",FALSE,PUBLIC,none
5/4/2014,14:00,5/4/2014,14:50,"Lobby",Tech,"Virtual Reality Headset Demo with Game Face Labs ","Ed Mason","Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!",FALSE,PUBLIC,none
