Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/24/2015,16:00,4/24/2015,17:50,1 hour and 50 minutes,"Portage Auditorium","Film","Game Bangers, the D&D Parody Webseries Episodes 1-3","Keith Martens","Did you enjoy 'The Guild'? Did you love 'Gamers'? Then you'll definitely love this webseries! In the not-so-distant future- D&D-Style Gaming has been made illegal. Come check out this Michigan-Made show that's full of gamer humor- medieval combat and cop-show parody- but also has a compelling story-arc throughout the season. The writer/director will be on-hand- so be prepared to ask questions! For aspiring film-makers and fans alike.",FALSE,PUBLIC,"Microphone, Projector, Sound System"
4/24/2015,18:00,4/24/2015,18:50,50 minutes,"Portage Auditorium","Tech","The State of Fedora","Tom Callaway","Fedora is one the most important Linux distros which serves as the proving ground for new technologies that may go into Red Hat. Hear Tom Callaway present a look at the current state of Fedora.",FALSE,PUBLIC,"Projector"
4/24/2015,19:00,4/24/2015,19:50,50 minutes,"Portage Auditorium","Action Adventure, Film","Archery in Hollywood","Devon Boling","Robin Hood vs. Katniss Everdeen. Let's take a look at Hollywood's greatest archers and see what they got right and what they got wrong. Learn about what goes on behind the scenes in some of these famous films.",FALSE,PUBLIC,"Projector, Microphone, Sound System"
4/24/2015,20:00,4/24/2015,20:50,50 minutes,"Portage Auditorium","Film","BroMances Through History","Shannon Marshall, Maggie Maiville","What is a 'bromance'? 'Guy Love'? Walk with us through cinema history as we highlight the evolution of the bromance. From Felix & Oscar- Wayne & Garth- through Harold & Kumar- we will highlight through film that it is ok to have a 'hetero-lifemate'.",FALSE,PUBLIC,"Projector, Sound System"
4/24/2015,21:00,4/24/2015,21:50,50 minutes,"Portage Auditorium","Film, Music","More Than Human Vid Show","Julie Winningham","Come watch an awesome selection of fanvids (music videos created by fans) in some of your favorite fandoms (like Battlestar Galactica- Pacific Rim- Terminator: The Sarah Conner Chronicles- the Marvel Cinematic Universe- etc.) themed around the con's unofficial theme of human augmentation!",FALSE,PUBLIC,"Projector, Sound System"
4/24/2015,16:00,4/24/2015,17:50,1 hour and 50 minutes,"Portage Auditorium","Film","Game Bangers, the D&D Parody Webseries Episodes 1-3","Keith Martens","Did you enjoy 'The Guild'? Did you love 'Gamers'? Then you'll definitely love this webseries! In the not-so-distant future- D&D-Style Gaming has been made illegal. Come check out this Michigan-Made show that's full of gamer humor- medieval combat and cop-show parody- but also has a compelling story-arc throughout the season. The writer/director will be on-hand- so be prepared to ask questions! For aspiring film-makers and fans alike.",FALSE,PUBLIC,"Microphone, Projector, Sound System"
4/24/2015,22:00,4/24/2015,23:50,1 hour and 50 minutes,"Portage Auditorium","Film","Dawn and Greg's Film Roast","Greg Williams, Jer Lance","Go to the movies with Dawn and Greg as they add their own special brand of color commentary (a la MST3K) to make a bad movie into a good laugh. WARNING: May (OK- WILL) include severe laughter- adult language and off-color jokes. Not appropriate for young children or those who are easily offended- Ask your doctor if your heart is healthy enough for sex - if it's not- it probably won't get you through one of our shows- either.",FALSE,PUBLIC,"Microphone, Projector, Sound System"
4/25/2015,9:00,4/25/2015,9:50,50 minutes,"Portage Auditorium","Tech","DIY Movie Making with, OpenShot","Clif Flynt","Whether you're making a vlog with a webcam and screen capture- shooting short videos of your cats with your phone- or studying the effects of gamma rays on man in the moon marigolds using stop-action photography- the last step is editing clips into a coherent message. Ubuntu Studio edition comes with Openshot (as well as a lot of other tools).  Clif will show how to assemble clips- zoom and pan- generate title screens and make a movie. No previous experience required.",FALSE,PUBLIC,"Projector"
4/24/2015,18:00,4/24/2015,18:50,50 minutes,"Portage Auditorium","Tech","The State of Fedora","Tom Callaway","Fedora is one the most important Linux distros which serves as the proving ground for new technologies that may go into Red Hat. Hear Tom Callaway present a look at the current state of Fedora.",FALSE,PUBLIC,"Projector"
4/25/2015,10:00,4/25/2015,10:50,50 minutes,"Portage Auditorium","Science","The CSI Phenomenon","Jen Haeger","A critical look at the hit show through the eyes of a fan with a masters in forensic science. We'll analyze specific clips to see what the show does right and what it does wrong- and talk about some interesting aspects of forensic science.",FALSE,PUBLIC,"Projector"
4/24/2015,19:00,4/24/2015,19:50,50 minutes,"Portage Auditorium","Action Adventure, Film","Archery in Hollywood","Devon Boling","Robin Hood vs. Katniss Everdeen. Let's take a look at Hollywood's greatest archers and see what they got right and what they got wrong. Learn about what goes on behind the scenes in some of these famous films.",FALSE,PUBLIC,"Projector, Microphone, Sound System"
