Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/25/2015,21:00,4/25/2015,21:50,50 minutes,"Windover","After Dark","Dating Safety for the 21st Century ","Rabbit","Dating is complicated. This class sheds some light on safely meeting and finding partners interested in BDSM- a polyamorous relationship- or a traditional dating partner. What are some red flags to look for? What can I do to be safe?",FALSE,PUBLIC,"none"
4/25/2015,20:00,4/25/2015,20:50,50 minutes,"Windover","After Dark","Flirting for Geeks","Greg Williams, Dawn Kuczwara, Nuri Gocay, Bob Waltenspiel, Dave Phillips","Come learn how to (and how not to) flirt from some of our local fandom's biggest flirts.  Not only is it laugh-out-loud funny- it's an irreverent and honest reflection of love- sex- and fandom. Find ways to woo- methods for making friends- and how to avoid being that creepy guy that we all talk about between conventions.",FALSE,PUBLIC,"none"
4/24/2015,18:00,4/24/2015,18:50,50 minutes,"Windover","Life","Destination Imagination: An Instant Challenge Workshop","Morgen Bocci, Courtney Bocci, Jerry Bocci","One of the components of Destination Imagination is the Instant Challenge- which encourages improvisational collaboration of both a technical/practical and dramatic standpoint. Come try a few!",FALSE,PUBLIC,"none"
4/26/2015,9:00,4/26/2015,9:50,50 minutes,"Windover","Life","Doing What you Love: Turning Passions into a Business","Abigail Keenan, Mark Oshiro","Come find out about how to create a business going from concept to surviving your first year. Have your questions answered- from what do I have to file with the government- to how do I make people like me- to how can I make this profitable. Find out how to face your first rejection- how to evolve to fit your market- and what are reasonable expectations for your first year.",FALSE,PUBLIC,"none"
4/24/2015,17:00,4/24/2015,17:50,50 minutes,"Windover","Life","Intro to MI Creativity and Destination Imagination","Morgen Bocci, Courtney Bocci, Jerry Bocci","Destination Imagination is a program that encourages STEAM concepts in education from Kindergarten through university levels- while fostering a love of collaborative and creative logic. Come learn more about it with people involved on team and volunteer levels in the local organization! ",FALSE,PUBLIC,"none"
4/24/2015,21:00,4/24/2015,21:50,50 minutes,"Windover","Life","Night Vale Community Radio Hour","Kat McConnell","We are all the same color in the inside- screaming.  Welcome to Night Vale.  We'll discuss characters- theories- the weather- and NOT the dog park.  A Vague- Yet Menacing- Government Agency will record the proceedings- but you knew that already.   ",FALSE,PUBLIC,"none"
4/24/2015,22:00,4/24/2015,22:50,50 minutes,"Windover","Life","Piratical Romeo and Juliet","Jennifer Reisbig, Katherine Hatfield-Nix, Mitchell Peters","Come see three fierce pirates- showing off their skills as they pirate everyone's favorite bard- Shakespeare! Captain Duckman- his bride/first Mate Jenniveve- and new cabin girl Titania are out to provide their take on Romeo and Juliet- in a short and funny manner. It's a Rennaissance Faire style interactive show!",FALSE,PUBLIC,"none"
4/26/2015,10:00,4/26/2015,11:50,1 hour and 50 minutes,"Windover","Life","Polyamory: Communication is Key","Rabbit","An interactive class on communication within a polyamory relationship. This class goes into common problems and communication issues in polyamory- tips to create your rules- and suggestions on what to do when those rules are broken.",FALSE,PUBLIC,"none"
4/25/2015,13:00,4/25/2015,13:50,50 minutes,"Windover","Life","So You Want to be a Manager","Nuri Gocay, Jer Lance, Dawn Kuczwara, Dave Phillips","Ah- the glamorous life of a manager! Or is it? Come hear a few voices 'from the trenches' talk about what it's really like to lead a team- what the job actually entails and some of the horrible - and horribly funny - stories of uncomfortable and embarrassing tasks we as managers have had to complete.",FALSE,PUBLIC,"none"
4/25/2015,23:00,4/25/2015,23:50,50 minutes,"Windover","Life, After Dark","Taking of the HMS Vigrinity","Jennifer Reisbig, Katherine Hatfield-Nix, Mitchell Peters","A dashing tale of gallantry and bawdiness- The Taking of the HMS Virginity is the story of two rival captains. The good and glorious Gloria Hymen- who's never been broken- and the evil pirate Captain Richard Cranium... Come see who wins out in this adult oriented pirate themed renaissance festival style show!",FALSE,PUBLIC,"none"
