Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/30/2016,11:00,4/30/2016,11:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: John Scalzi and Dave Klecha","John Scalzi, David Klecha","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
4/30/2016,13:00,4/30/2016,13:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Jen Haeger and Mary Lynne Gibbs","Jenn Haeger, Mary Lynne Gibbs","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
4/30/2016,14:00,4/30/2016,14:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Alex Kourvo/M.H. Mead and Ferrett Steinmetz","Alex Kourvo, Ferrett Steinmetz","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
4/30/2016,15:00,4/30/2016,15:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Michael Cieslak and Nicole Castle","Michael Cieslak, Nicole Castle","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
4/30/2016,16:00,4/30/2016,16:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Cindy Spencer Pape and Christine Daigle & Stewart Sternberg","Cindy Spencer Pape, Chistine Daigle, Stewart Sternberg","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
4/30/2016,17:00,4/30/2016,17:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Christopher Purrett and Merrie Haskell","Christopher Purrett, Merrie Haskell","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
4/30/2016,18:00,4/30/2016,18:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Paul Kemner and Jon David","Paul Kemner, Jon David","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
4/30/2016,19:00,4/30/2016,19:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Michael W. Lucas and Ken MacGregor","Michael W. Lucas, Ken MacGregor","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
4/30/2016,20:50,4/30/2016,20:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Tobias S. Buckell and Mark Oshiro","Tobias S. Buckell, Mark Oshiro","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
5/1/2016,11:00,5/1/2016,11:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Marie Staver","Marie Staver","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
5/1/2016,12:00,5/1/2016,12:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Emmy Jackson, David Erik Nelson","Emmy Jackson, David Erik Nelson","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
5/1/2016,13:00,5/1/2016,13:50,50 minutes,"Writer's Block (313 & 315)","Literature","Reading/Signing: Rosemary Van Deuren and Clarence 'Zig Zag Claybourne' Young","Rosemary Van Deuren, Clarence "Zig Zag Claybourne" Young","Join our attending authors in the Writers Block (317 & 318) for readings and signings!",FALSE,PUBLIC,"none"
