Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/4/2019,10:00,5/4/2019,11:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: Michael Cieslak and Nicole E. Castle","Nicole E. Castle, Michael Cieslak","The authors read from their works.",FALSE,PUBLIC,""
5/4/2019,12:00,5/4/2019,13:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: Michael W. Lucas","Michael W. Lucas","The authors read from their works.",FALSE,PUBLIC,""
5/4/2019,13:00,5/4/2019,14:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: David Erik Nelson and Christian Klaver","David Erik Nelson, Christian Klaver","The authors read from their works.",FALSE,PUBLIC,""
5/4/2019,14:00,5/4/2019,15:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: Mary Lynne Gibbs","Mary Lynne Gibbs","The authors read from their works.",FALSE,PUBLIC,""
5/4/2019,16:00,5/4/2019,17:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: Cassandra Morgan","Cassandra Morgan","The authors read from their works.",FALSE,PUBLIC,""
5/4/2019,17:00,5/4/2019,18:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: Jen Haeger and Leslie Gulvas","Jen Haeger, Leslie Gulvas","The authors read from their works.",FALSE,PUBLIC,""
5/4/2019,18:00,5/4/2019,19:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: Ken Schrader","Ken Schrader","The authors read from their works.",FALSE,PUBLIC,""
5/4/2019,19:00,5/4/2019,20:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: Vik Walker and Ophelia Crane","Vik K. Walker, Ophelia Crane","The authors read from their works.",FALSE,PUBLIC,""
5/5/2019,11:00,5/5/2019,12:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: Merrie Haskell","Merrie Haskell","The authors read from their works.",FALSE,PUBLIC,""
5/5/2019,12:00,5/5/2019,13:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: G.S. Scott and Diana Kathryn Plopa","G.S. Scott, Diana Kathryn Plopa","The authors read from their works.",FALSE,PUBLIC,""
5/5/2019,13:00,5/5/2019,14:00,1 hour,"Writer's Block Author Readings [306]","Lit","Reading: Jean Davis and Clif Flynt","Clif Flynt, Jean Davis","The authors read from their works.",FALSE,PUBLIC,""
