Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Surviving As an Independent Musician",4/24/2015,17:00,4/24/2015,17:50,FALSE,"It's hard out there on the streets. Are you a musician trying to get noticed? Or a fan wondering how musicians keep up with work/school/life while still having time and energy for creativity? Come snag some advice from some of the hardest working folks in the area.  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B, StarF, MPFM, 2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Surviving As an Independent Musician",4/24/2015,17:00,4/24/2015,17:50,FALSE,"It's hard out there on the streets. Are you a musician trying to get noticed? Or a fan wondering how musicians keep up with work/school/life while still having time and energy for creativity? Come snag some advice from some of the hardest working folks in the area.  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B, StarF, MPFM, 2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Surviving As an Independent Musician",4/24/2015,17:00,4/24/2015,17:50,FALSE,"It's hard out there on the streets. Are you a musician trying to get noticed? Or a fan wondering how musicians keep up with work/school/life while still having time and energy for creativity? Come snag some advice from some of the hardest working folks in the area.  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B, StarF, MPFM, 2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Surviving As an Independent Musician",4/24/2015,17:00,4/24/2015,17:50,FALSE,"It's hard out there on the streets. Are you a musician trying to get noticed? Or a fan wondering how musicians keep up with work/school/life while still having time and energy for creativity? Come snag some advice from some of the hardest working folks in the area.  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B, StarF, MPFM, 2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Performance: 2d6",4/25/2015,21:00,4/25/2015,21:50,FALSE,"2d6 is here to rock the Penguicon stage! In 2009, in Youngstown, Ohio, a runaway cat and dog were just trying to find their way home. When they found a pair of mystical 6-sided dice, they were transformed into men who couldn't stop rapping. It was terrifying and a little upsetting to everyone involved. Now it's 2015 so strap on your spats and lace 'em tight to prepare for high-energy nerd-themed hip-hop with a lot of hyphenates! 2d6's rhymes are about the geekiest of geek topics: DIY conventions, Boba Fett, Amedeo Avogadro, daikaiju, geek girls, and the like.  Speakers include:2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: Sound System ","Algonquin B",PUBLIC
"Surviving As an Independent Musician",4/24/2015,17:00,4/24/2015,17:50,FALSE,"It's hard out there on the streets. Are you a musician trying to get noticed? Or a fan wondering how musicians keep up with work/school/life while still having time and energy for creativity? Come snag some advice from some of the hardest working folks in the area.  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B, StarF, MPFM, 2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Performance: 2d6",4/25/2015,21:00,4/25/2015,21:50,FALSE,"2d6 is here to rock the Penguicon stage! In 2009, in Youngstown, Ohio, a runaway cat and dog were just trying to find their way home. When they found a pair of mystical 6-sided dice, they were transformed into men who couldn't stop rapping. It was terrifying and a little upsetting to everyone involved. Now it's 2015 so strap on your spats and lace 'em tight to prepare for high-energy nerd-themed hip-hop with a lot of hyphenates! 2d6's rhymes are about the geekiest of geek topics: DIY conventions, Boba Fett, Amedeo Avogadro, daikaiju, geek girls, and the like.  Speakers include:2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: Sound System ","Algonquin B",PUBLIC
"Surviving As an Independent Musician",4/24/2015,17:00,4/24/2015,17:50,FALSE,"It's hard out there on the streets. Are you a musician trying to get noticed? Or a fan wondering how musicians keep up with work/school/life while still having time and energy for creativity? Come snag some advice from some of the hardest working folks in the area.  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B, StarF, MPFM, 2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Performance: 2d6",4/25/2015,21:00,4/25/2015,21:50,FALSE,"2d6 is here to rock the Penguicon stage! In 2009, in Youngstown, Ohio, a runaway cat and dog were just trying to find their way home. When they found a pair of mystical 6-sided dice, they were transformed into men who couldn't stop rapping. It was terrifying and a little upsetting to everyone involved. Now it's 2015 so strap on your spats and lace 'em tight to prepare for high-energy nerd-themed hip-hop with a lot of hyphenates! 2d6's rhymes are about the geekiest of geek topics: DIY conventions, Boba Fett, Amedeo Avogadro, daikaiju, geek girls, and the like.  Speakers include:2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: Sound System ","Algonquin B",PUBLIC
"Performance: 2d6",4/25/2015,21:00,4/25/2015,21:50,FALSE,"2d6 is here to rock the Penguicon stage! In 2009, in Youngstown, Ohio, a runaway cat and dog were just trying to find their way home. When they found a pair of mystical 6-sided dice, they were transformed into men who couldn't stop rapping. It was terrifying and a little upsetting to everyone involved. Now it's 2015 so strap on your spats and lace 'em tight to prepare for high-energy nerd-themed hip-hop with a lot of hyphenates! 2d6's rhymes are about the geekiest of geek topics: DIY conventions, Boba Fett, Amedeo Avogadro, daikaiju, geek girls, and the like.  Speakers include:2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: Sound System ","Algonquin B",PUBLIC
