Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Opening Ceremonies",4/24/2015,18:00,4/24/2015,18:50,FALSE,"Join our con chair, Nuri Gocay, the Con Committee, and our Guests of Honor as we open this bad boy up for the weekend. You never know what surprises might be in store!  Speakers include:Janet Gocay, Scott Kennedy, Lucy Kennedy, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Christine Bender, Aral Balkan, Annalee Newitz, Albert Manero, ,Charlie Jane Anders, Ivan Owen, Aaron Brown - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: Microphone, Sound System ","Algonquin B/C",PUBLIC
"Opening Ceremonies",4/24/2015,18:00,4/24/2015,18:50,FALSE,"Join our con chair, Nuri Gocay, the Con Committee, and our Guests of Honor as we open this bad boy up for the weekend. You never know what surprises might be in store!  Speakers include:Janet Gocay, Scott Kennedy, Lucy Kennedy, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Christine Bender, Aral Balkan, Annalee Newitz, Albert Manero, ,Charlie Jane Anders, Ivan Owen, Aaron Brown - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: Microphone, Sound System ","Algonquin B/C",PUBLIC
"Guest of Honor Social Hour",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Get to know our Guests of Honor as we all get together for some cocktails. Meet us in the bar!  Speakers include:Aral Balkan, Annalee Newitz, Albert Manero, ,Charlie Jane Anders, Ivan Owen, Aaron Brown - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: none ","Restaurant",PUBLIC
"Guest of Honor Social Hour",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Get to know our Guests of Honor as we all get together for some cocktails. Meet us in the bar!  Speakers include:Aral Balkan, Annalee Newitz, Albert Manero, ,Charlie Jane Anders, Ivan Owen, Aaron Brown - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: none ","Restaurant",PUBLIC
"Surveillance Can Be Fun: The Future of Civil Liberties in Tech",4/25/2015,12:00,4/25/2015,12:50,FALSE,"Come hear the Editor-in-Chief of Gizmodo talk about cloud surveillance, smart cities, biological data, and the bizarre world of tomorrow where privacy is temporary and your DNA is public access.  Speakers include:Annalee Newitz - Track: Tech, Science  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"Surveillance Can Be Fun: The Future of Civil Liberties in Tech",4/25/2015,12:00,4/25/2015,12:50,FALSE,"Come hear the Editor-in-Chief of Gizmodo talk about cloud surveillance, smart cities, biological data, and the bizarre world of tomorrow where privacy is temporary and your DNA is public access.  Speakers include:Annalee Newitz - Track: Tech, Science  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"Surviving a Nuclear Holocaust",4/25/2015,16:00,4/25/2015,16:50,FALSE,"A look into the science of radiation protection including atomic theory, physics, radiation detection instrumentation, radiobiology, and, most importantly, applying the knowledge gained in practical exercises. Learn how you can survive and maybe prosper in the short and long term after a nuclear event.  Speakers include:David Newland, Annalee Newitz - Track: Life, Science  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
"Surviving a Nuclear Holocaust",4/25/2015,16:00,4/25/2015,16:50,FALSE,"A look into the science of radiation protection including atomic theory, physics, radiation detection instrumentation, radiobiology, and, most importantly, applying the knowledge gained in practical exercises. Learn how you can survive and maybe prosper in the short and long term after a nuclear event.  Speakers include:David Newland, Annalee Newitz - Track: Life, Science  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
"SciComm: Communicating Science to the Public",4/25/2015,18:00,4/25/2015,18:50,FALSE,"People are not naturally uninterested in what is happening in science and mathematics. Science Communication does what it can to tell everyone the stories of science in an engaging and interesting way, but it is not an easy task. An approach that works for astronomy could well fail when talking about new mathematics research. This panel will gather together people who communicate science for a discussion about the tools and techniques they use to tell mathematical and scientific stories, and about their successes and their failures.  Speakers include:Samuel Hansen, Constance L. Martin-Trembley, Bob Trembley, Annalee Newitz - Track: Science  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"SciComm: Communicating Science to the Public",4/25/2015,18:00,4/25/2015,18:50,FALSE,"People are not naturally uninterested in what is happening in science and mathematics. Science Communication does what it can to tell everyone the stories of science in an engaging and interesting way, but it is not an easy task. An approach that works for astronomy could well fail when talking about new mathematics research. This panel will gather together people who communicate science for a discussion about the tools and techniques they use to tell mathematical and scientific stories, and about their successes and their failures.  Speakers include:Samuel Hansen, Constance L. Martin-Trembley, Bob Trembley, Annalee Newitz - Track: Science  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"Science Fiction is Now Science Reality",4/26/2015,13:00,4/26/2015,13:50,FALSE,"Science fiction authors have been writing about futuristic concepts for longer than any of us can remember. Moore's law, though, has us flying into the future at speeds faster than what any of us have previously comprehended. Things only imagined by creative minds are coming to reality in exciting, and sometimes terrifying ways. Come join some authors and technologists as they talk about science fiction themes that are now a reality and what's coming next!  Speakers include:Annalee Newitz, Ed Mason, Karl Schroeder, Charlie Jane Anders, Jen Haeger - Track: Science, Literature  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
