Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Comic and Graphic Novel Writing",4/24/2015,16:00,4/24/2015,16:50,FALSE,"Writing for comics, graphic novels, and other sequential art forms is different from short story writing. Come learn the tricks of the trade.  Speakers include:BluRaven Houvener, Trico Lutkins, Chris Thomasma - Track: Webcomics, Literature  - Duration: 50 minutes - Audio/video needs: Projector  ","Montcalm",PUBLIC
"Comic and Graphic Novel Writing",4/24/2015,16:00,4/24/2015,16:50,FALSE,"Writing for comics, graphic novels, and other sequential art forms is different from short story writing. Come learn the tricks of the trade.  Speakers include:BluRaven Houvener, Trico Lutkins, Chris Thomasma - Track: Webcomics, Literature  - Duration: 50 minutes - Audio/video needs: Projector  ","Montcalm",PUBLIC
"How to Start Up....and Keep Your Webcomic Going!",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Do you like Webcomics? Do you read webcomics? Have you ever wanted to start one of your own? Join Laura Cascos and her partners from the 7+ year running webcomic Sidekick Girl and BluRaven C. Houvener, writer and illustrator of the 3+ year running webcomic It's Just Another Day as they take you through tales of how they started up, got out there, and kept it going....and more importantly, how you can too!  Speakers include:BluRaven Houvener, Laura Cascos, Erika Wagner - Track: Webcomics  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix B",PUBLIC
"How to Start Up....and Keep Your Webcomic Going!",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Do you like Webcomics? Do you read webcomics? Have you ever wanted to start one of your own? Join Laura Cascos and her partners from the 7+ year running webcomic Sidekick Girl and BluRaven C. Houvener, writer and illustrator of the 3+ year running webcomic It's Just Another Day as they take you through tales of how they started up, got out there, and kept it going....and more importantly, how you can too!  Speakers include:BluRaven Houvener, Laura Cascos, Erika Wagner - Track: Webcomics  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix B",PUBLIC
"Philosophy in Anime",4/25/2015,12:00,4/25/2015,12:50,FALSE,"Sword Art Online asks us 'Is the real world virtual?' Ghost in the Shell asks us 'Who has a soul, and what makes us human (or cyborg)?' Avatar asks us 'What is good?' while Psyco-Pass asks us 'When is society a trap?' Come explore these thought-provoking questions posed by Anime!  Speakers include:Cassy Sinke, Richard Herrell, BluRaven Houvener - Track: Anime  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Philosophy in Anime",4/25/2015,12:00,4/25/2015,12:50,FALSE,"Sword Art Online asks us 'Is the real world virtual?' Ghost in the Shell asks us 'Who has a soul, and what makes us human (or cyborg)?' Avatar asks us 'What is good?' while Psyco-Pass asks us 'When is society a trap?' Come explore these thought-provoking questions posed by Anime!  Speakers include:Cassy Sinke, Richard Herrell, BluRaven Houvener - Track: Anime  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"You...You Don't Like My Webcomic?",4/25/2015,18:00,4/25/2015,18:50,FALSE,"Sadly it happens to us all at one time or another...and people aren't always so kind about it! Join Laura Cascos and Erika Wagner (the team behind the amazing Webcomic Sidekick Girl) and BluRaven C. Houvener (writer and illustrator of It's Just another day) as they walk you through the ins and outs of how to cope with criticism and survive to create another day!   Speakers include:BluRaven Houvener, Laura Cascos, Erika Wagner - Track: Webcomics  - Duration: 50 minutes - Audio/video needs: Projector  ","Nicolet",PUBLIC
"You...You Don't Like My Webcomic?",4/25/2015,18:00,4/25/2015,18:50,FALSE,"Sadly it happens to us all at one time or another...and people aren't always so kind about it! Join Laura Cascos and Erika Wagner (the team behind the amazing Webcomic Sidekick Girl) and BluRaven C. Houvener (writer and illustrator of It's Just another day) as they walk you through the ins and outs of how to cope with criticism and survive to create another day!   Speakers include:BluRaven Houvener, Laura Cascos, Erika Wagner - Track: Webcomics  - Duration: 50 minutes - Audio/video needs: Projector  ","Nicolet",PUBLIC
"Webcomic Underdogs Meet and Greet",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Webcomic Underdogs is an online organization with the mission of bringing together underground webcomic artists, writers, and publishers. Join us for a fun, exciting, and informational meet and greet that hopes to bring together many webcomic lovers and makers, and educate those that are interested in webcomics but have never quite known where to start.  Speakers include:BluRaven Houvener - Track: Webcomics  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
"Webcomic Underdogs Meet and Greet",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Webcomic Underdogs is an online organization with the mission of bringing together underground webcomic artists, writers, and publishers. Join us for a fun, exciting, and informational meet and greet that hopes to bring together many webcomic lovers and makers, and educate those that are interested in webcomics but have never quite known where to start.  Speakers include:BluRaven Houvener - Track: Webcomics  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
