Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Opening Ceremonies",5/2/2014,18:00,5/2/2014,18:50,FALSE,"Join our con chair, Nuri Gocay, the Con Committee, and our Guests of Honor as we open this bad boy up for the weekend.  You never know what surprises might be in store!  Speakers include:Janet Gocay, Scott Kennedy, Lucy Kennedy, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Christine Bender, Ed Mason, Erika Carlson, Eva Galperin, Ernie Cline, YTCracker - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: Microphone, Sound System ","Algonquin B/C",PUBLIC
"GoH Social Hour",5/2/2014,19:00,5/2/2014,19:50,FALSE,"Get to know our GoHs as we all get together for some cocktails. Meet us in the bar.  Speakers include:Ed Mason, Erika Carlson, Eva Galperin, Ernie Cline, YTCracker - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: none ","Bar",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/2/2014,21:00,5/2/2014,21:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason - Track: Tech  - Duration: 50 minutes - Audio/video needs: none ","Lobby",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/3/2014,10:00,5/3/2014,10:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason - Track: Tech  - Duration: 50 minutes - Audio/video needs: none ","Lobby",PUBLIC
"Virtual Reality: Fact vs. Fiction",5/3/2014,11:00,5/3/2014,11:50,FALSE,"How close are we to being inserted into The Matrix? Join our GoHs Ernie Cline and Ed Mason as we figure out what is fiction and what is reality.   Speakers include:Ernie Cline, Ed Mason - Track: Tech  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/3/2014,14:00,5/3/2014,14:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason, 
Vinny Rawlley - Track: Tech  - Duration: 50 minutes - Audio/video needs: none ","Lobby",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason, 
Vinny Rawlley - Track: Tech  - Duration: 50 minutes - Audio/video needs: none ","Lobby",PUBLIC
"Inside Game Face Labs",5/3/2014,20:00,5/3/2014,20:50,FALSE,"Join Ed Mason, CEO of Game Face Labs, as he gives you a behind the scenes look at making virtual reality come to life.   Speakers include:Ed Mason, 
Vinny Rawlley - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Montcalm",PUBLIC
"The Future of Virtual Reality",5/4/2014,10:00,5/4/2014,10:50,FALSE,"With the Oculus Rift being bought by media giant Facebook, the cautionary tales of science fiction seem closer than ever to reality.  Join authors Ernie Cline and John Scalzi, and Android VR creator Gameface Labs, as they talk about where our communal virtual fantasy is headed.  Speakers include:Ernie Cline, Ed Mason, John Scalzi - Track: Tech  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason, 
Vinny Rawlley - Track: Tech  - Duration: 50 minutes - Audio/video needs: none ","Lobby",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/4/2014,14:00,5/4/2014,14:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason, 
Vinny Rawlley - Track: Tech  - Duration: 50 minutes - Audio/video needs: none ","Lobby",PUBLIC
"Closing Ceremonies",5/4/2014,16:00,5/4/2014,16:50,FALSE,"As we officially shut down another amazing, exciting year for Penguicon, come hear about how it went, and what we've got our eye on for next year.  Speakers include:Janet Gocay, Scott Kennedy, Lucy Kennedy, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Christine Bender, Ed Mason, Erika Carlson, Eva Galperin, Ernie Cline, YTCracker - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: Microphone, Sound System ","Algonquin B/C",PUBLIC
