Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/2/2014,21:00,5/2/2014,22:50,1 hour and 50 minutes,"Food Track (Room 1017)",Food,"History and Sampling of Port","Heather Gutterman, Caitlynn Poirier, Taylor Watkins",'Many alcoholic drinks have histories- but Port will be the focus of this panel. We will discuss this history as we sample different varieties and labels of this illustrious drink. Do you have a favorite? Bring a bottle to share and we will be all the merrier for it. 21 and over only. Sign up at Ops!',FALSE,PUBLIC,none
5/3/2014,10:00,5/3/2014,10:50,50 minutes,"Charlevoix A",Action Adventure,"Designing and Making Sparring Weapons","Taylor Watkins, Douglas Tobin, Heather Gutterman",'Join us for a discussion about how to construct sparring weapons. When designing sparring weapons- we take into account many factors. Weight- flexibility- and many other elements of the materials allow for both safety and effectiveness. Construction techniques add to this. Come and add to the discussion as we begin with a historical weapon and talk through methods for creating a sparring weapon variant. ',FALSE,PUBLIC,none
5/3/2014,14:00,5/3/2014,15:50,1 hour and 50 minutes,"Algonquin A",Action Adventure,"Western Martial Arts Weaponry Demonstration","Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman",'Come see demonstrations in the use of swords- spears- shields- and other western martial arts weapons!',FALSE,PUBLIC,none
5/3/2014,16:00,5/3/2014,16:50,50 minutes,"Board of Governors",Life,"Geek Culture: Embracing Exercise?","Gini Judd, Angie Rush, Heather Gutterman",'For years- geeky folk seemed to regard their bodies are mobile devices for their brains- but not anymore. Now as one walks through the con- snippets of conversations about Warrior Dashes and Zombie Runs- about FitBits and heart monitors- can often be heard. How is exercise changing so that it appeals to geeks? How is geek culture changing to embrace sport? And what are the coolest devices out there to make it all fun?',FALSE,PUBLIC,none
5/3/2014,17:00,5/3/2014,17:50,50 minutes,"Algonquin A",Action Adventure,"Western Spear Techniques Workshop","Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman",'Learn to use a spear! This active workshop focuses on techniques of spear drawn from western historical sources. Come dressed and ready to move. There are a limited number of available spaces for this workshop. You must sign-up ahead in Ops.',FALSE,PUBLIC,none
5/3/2014,18:00,5/3/2014,18:50,50 minutes,"Algonquin A",Action Adventure,"Throwing and Catching Practice Swords","Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Douglas Tobin, Heather Gutterman",'Learn to throw and catch swords! There will be a short lesson followed by fun and awesome practice. In consideration of safety- we will be using training weapons. There are a limited number of available spaces for this workshop. You must sign-up ahead in Ops.',FALSE,PUBLIC,none
5/3/2014,19:00,5/3/2014,19:50,50 minutes,"Food Track (Room 1017)",Food,"Stupendous Jello Shots","Caitlynn Poirier, Heather Gutterman, Taylor Watkins, Mary Poirier, Douglas Tobin",'Explore the dark secrets of making the BEST jello shots of all time. We'll share some with you to prove it!. Already know all there is about jello shots? Let's go with 'pfffft!' and come anyway. 21 and over- please.',FALSE,PUBLIC,none
5/3/2014,20:00,5/3/2014,20:50,50 minutes,"Food Track (Room 1017)",Food,"The Pudding Shot Technique","Caitlynn Poirier, Heather Gutterman, Taylor Watkins, Mary Poirier, Douglas Tobin",'Fluffy- creamy- boozey- delicious-y... We have some lovely recipes to share. Live demo- including proper eating techniques. 21 and over- please. There will be samples.',FALSE,PUBLIC,none
5/4/2014,10:00,5/4/2014,10:50,50 minutes,"Food Track (Room 1017)",Food,"Cheese Tastings and Pairings","Heather Gutterman, Caitlynn Poirier, Taylor Watkins, Mary Poirier, Douglas Tobin",'Explore the amazing depth of field the cheese world has to offer. Bring eager tastebuds to fully experience the breadth of pairing cheese with other foods.',FALSE,PUBLIC,none
5/4/2014,11:00,5/4/2014,11:50,50 minutes,"Algonquin A",Action Adventure,"Open Source Martial Arts","Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman",'Martial artists of all backgrounds join in sharing and learning skills with other martial artists! Please bring any training equipment that you would like to use with you. This will be an open format opportunity for developing new understanding with martial artists of other backgrounds. ',FALSE,PUBLIC,none
