Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"More Than Human Vid Show",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Come watch an awesome selection of fanvids (music videos created by fans) in some of your favorite fandoms (like Battlestar Galactica, Pacific Rim, Terminator: The Sarah Conner Chronicles, the Marvel Cinematic Universe, etc.) themed around the con's unofficial theme of human augmentation!  Speakers include:Julie Winningham - Track: Film, Music  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"More Than Human Vid Show",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Come watch an awesome selection of fanvids (music videos created by fans) in some of your favorite fandoms (like Battlestar Galactica, Pacific Rim, Terminator: The Sarah Conner Chronicles, the Marvel Cinematic Universe, etc.) themed around the con's unofficial theme of human augmentation!  Speakers include:Julie Winningham - Track: Film, Music  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"Science Fiction Spelling Bee",4/25/2015,17:00,4/25/2015,18:50,FALSE,"Come test your genre knowledge in the most fantastically fictitious spelling bee ever!  From Prydain to Arameri, TANSTAAFL to gafiate, Arrakis to Raxacoricofallapatorius, we’ll be waiting to see who can claim our prizes and the title (and the tiara) of Penguicon spelling champ of 2015! The top 15 will also receive a Penguicon spelling bee badge charm.  Speakers include:Julie Winningham, Merrie Haskell, Lucy Kennedy - Track: Life  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
"Science Fiction Spelling Bee",4/25/2015,17:00,4/25/2015,18:50,FALSE,"Come test your genre knowledge in the most fantastically fictitious spelling bee ever!  From Prydain to Arameri, TANSTAAFL to gafiate, Arrakis to Raxacoricofallapatorius, we’ll be waiting to see who can claim our prizes and the title (and the tiara) of Penguicon spelling champ of 2015! The top 15 will also receive a Penguicon spelling bee badge charm.  Speakers include:Julie Winningham, Merrie Haskell, Lucy Kennedy - Track: Life  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
"More Than Human Vid Show",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Come watch an awesome selection of fanvids (music videos created by fans) in some of your favorite fandoms (like Battlestar Galactica, Pacific Rim, Terminator: The Sarah Conner Chronicles, the Marvel Cinematic Universe, etc.) themed around the con's unofficial theme of human augmentation!  Speakers include:Julie Winningham - Track: Film, Music  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"More Than Human Vid Show",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Come watch an awesome selection of fanvids (music videos created by fans) in some of your favorite fandoms (like Battlestar Galactica, Pacific Rim, Terminator: The Sarah Conner Chronicles, the Marvel Cinematic Universe, etc.) themed around the con's unofficial theme of human augmentation!  Speakers include:Julie Winningham - Track: Film, Music  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"More Than Human Vid Show",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Come watch an awesome selection of fanvids (music videos created by fans) in some of your favorite fandoms (like Battlestar Galactica, Pacific Rim, Terminator: The Sarah Conner Chronicles, the Marvel Cinematic Universe, etc.) themed around the con's unofficial theme of human augmentation!  Speakers include:Julie Winningham - Track: Film, Music  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"Science Fiction Spelling Bee",4/25/2015,17:00,4/25/2015,18:50,FALSE,"Come test your genre knowledge in the most fantastically fictitious spelling bee ever!  From Prydain to Arameri, TANSTAAFL to gafiate, Arrakis to Raxacoricofallapatorius, we’ll be waiting to see who can claim our prizes and the title (and the tiara) of Penguicon spelling champ of 2015! The top 15 will also receive a Penguicon spelling bee badge charm.  Speakers include:Julie Winningham, Merrie Haskell, Lucy Kennedy - Track: Life  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
"Science Fiction Spelling Bee",4/25/2015,17:00,4/25/2015,18:50,FALSE,"Come test your genre knowledge in the most fantastically fictitious spelling bee ever!  From Prydain to Arameri, TANSTAAFL to gafiate, Arrakis to Raxacoricofallapatorius, we’ll be waiting to see who can claim our prizes and the title (and the tiara) of Penguicon spelling champ of 2015! The top 15 will also receive a Penguicon spelling bee badge charm.  Speakers include:Julie Winningham, Merrie Haskell, Lucy Kennedy - Track: Life  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
"Science Fiction Spelling Bee",4/25/2015,17:00,4/25/2015,18:50,FALSE,"Come test your genre knowledge in the most fantastically fictitious spelling bee ever!  From Prydain to Arameri, TANSTAAFL to gafiate, Arrakis to Raxacoricofallapatorius, we’ll be waiting to see who can claim our prizes and the title (and the tiara) of Penguicon spelling champ of 2015! The top 15 will also receive a Penguicon spelling bee badge charm.  Speakers include:Julie Winningham, Merrie Haskell, Lucy Kennedy - Track: Life  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
"More Than Human Vid Show",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Come watch an awesome selection of fanvids (music videos created by fans) in some of your favorite fandoms (like Battlestar Galactica, Pacific Rim, Terminator: The Sarah Conner Chronicles, the Marvel Cinematic Universe, etc.) themed around the con's unofficial theme of human augmentation!  Speakers include:Julie Winningham - Track: Film, Music  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"Science Fiction Spelling Bee",4/25/2015,17:00,4/25/2015,18:50,FALSE,"Come test your genre knowledge in the most fantastically fictitious spelling bee ever!  From Prydain to Arameri, TANSTAAFL to gafiate, Arrakis to Raxacoricofallapatorius, we’ll be waiting to see who can claim our prizes and the title (and the tiara) of Penguicon spelling champ of 2015! The top 15 will also receive a Penguicon spelling bee badge charm.  Speakers include:Julie Winningham, Merrie Haskell, Lucy Kennedy - Track: Life  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
