Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Fighting in Film vs. Martial Arts",5/3/2014,11:00,5/3/2014,12:50,FALSE,"A demonstration of how a fight scene in a movie is blocked out, choreographed, rehearsed, filmed, edited, and finally seen by the audience.  Speakers include:Mary Poirier, Douglas Scholl, Douglas Tobin, Keith Martens - Track: Action Adventure, Film  - Duration: 1 hour and 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"Western Martial Arts Weaponry Demonstration",5/3/2014,14:00,5/3/2014,15:50,FALSE,"Come see demonstrations in the use of swords, spears, shields, and other western martial arts weapons!  Speakers include:Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
"Western Spear Techniques Workshop",5/3/2014,17:00,5/3/2014,17:50,FALSE,"Learn to use a spear! This active workshop focuses on techniques of spear drawn from western historical sources. Come dressed and ready to move. There are a limited number of available spaces for this workshop, so please sign up at Ops!  Speakers include:Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
"Throwing and Catching Practice Swords",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Learn to throw and catch swords! There will be a short lesson followed by fun and awesome practice. In consideration of safety, we will be using training weapons. There are a limited number of available spaces for this workshop, so please sign up at Ops!  Speakers include:Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
"Stupendous Jello Shots",5/3/2014,19:00,5/3/2014,19:50,FALSE,"Explore the dark secrets of making the BEST jello shots of all time. We'll share some with you to prove it!. Already know all there is about jello shots? Let's go with 'pfffft!' and come anyway. 21 and over, please.  Speakers include:Caitlynn Poirier, Heather Gutterman, Taylor Watkins, Mary Poirier, Douglas Tobin - Track: Food, After Dark  - Duration: 50 minutes - Audio/video needs: none ","Food Track (Room 1017)",PUBLIC
"The Pudding Shot Technique",5/3/2014,20:00,5/3/2014,20:50,FALSE,"Fluffy, creamy, boozey, delicious-y... We have some lovely recipes to share. Live demo, including proper eating techniques. 21 and over, please. There will be samples.  Speakers include:Caitlynn Poirier, Heather Gutterman, Taylor Watkins, Mary Poirier, Douglas Tobin - Track: Food, After Dark  - Duration: 50 minutes - Audio/video needs: none ","Food Track (Room 1017)",PUBLIC
"Cheese Tastings and Pairings",5/4/2014,10:00,5/4/2014,10:50,FALSE,"Explore the amazing depth of field the cheese world has to offer. Bring eager tastebuds to fully experience the breadth of pairing cheese with other foods.  Speakers include:Heather Gutterman, Caitlynn Poirier, Taylor Watkins, Mary Poirier, Douglas Tobin - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","Food Track (Room 1017)",PUBLIC
"Open Source Martial Arts",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Martial artists of all backgrounds join in sharing and learning skills with other martial artists! Please bring any training equipment that you would like to use with you. This will be an open format opportunity for developing new understanding with martial artists of other backgrounds.
  Speakers include:Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
"Fighting in the Movies - Chicks That Kick Ass",5/4/2014,13:00,5/4/2014,13:50,FALSE,"Ever wonder if the action in films could happen in real life? Join us as we review and discuss some of the top female fighting scenes in cinema. We will watch movie clips and then examine the hand-to-hand techniques, “prop” fighting, and swordsmanship in each clip.  Speakers include:Shannon Marshall, Heather Gutterman, Mary Poirier, Caitlynn Poirier, Eva Galperin - Track: Film, Action Adventure  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"Western Swordsmanship Workshop",5/4/2014,15:00,5/4/2014,15:50,FALSE,"Learn to use a sword!  In this active workshop you will learn swordsmanship techniques drawn from western historical sources. Come dressed and ready to move. There are a limited number of available spaces for this workshop, so please sign up at Ops!  Speakers include:Matthew William, Jeanine Ecker, Taylor Watkins, Mary Poirier, Douglas Scholl, Michael Spagnolio, Douglas Tobin, Heather Gutterman - Track: Action Adventure  - Duration: 50 minutes - Audio/video needs: none ","Algonquin A",PUBLIC
