Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"How to Lay a Crepe Wool Facial Hair",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Learn basic hair laying techniques used in special effects and costuming to create the look of inexpensive, realistic facial hair. Techniques will be demonstrated on a volunteer, and supplies will be discussed.  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
"How to Lay a Crepe Wool Facial Hair",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Learn basic hair laying techniques used in special effects and costuming to create the look of inexpensive, realistic facial hair. Techniques will be demonstrated on a volunteer, and supplies will be discussed.  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
"How to Lay a Crepe Wool Facial Hair",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Learn basic hair laying techniques used in special effects and costuming to create the look of inexpensive, realistic facial hair. Techniques will be demonstrated on a volunteer, and supplies will be discussed.  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
"How to Apply a Foam Latex Prosthetic",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Learn how to apply a foam latex prosthetic, and blend and paint it to create a realistic special effect. Materials will be discussed and a pre-made prosthetic will be applied to a volunteer!  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
"How to Apply a Foam Latex Prosthetic",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Learn how to apply a foam latex prosthetic, and blend and paint it to create a realistic special effect. Materials will be discussed and a pre-made prosthetic will be applied to a volunteer!  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
"How to Apply a Foam Latex Prosthetic",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Learn how to apply a foam latex prosthetic, and blend and paint it to create a realistic special effect. Materials will be discussed and a pre-made prosthetic will be applied to a volunteer!  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
"How to Lay a Crepe Wool Facial Hair",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Learn basic hair laying techniques used in special effects and costuming to create the look of inexpensive, realistic facial hair. Techniques will be demonstrated on a volunteer, and supplies will be discussed.  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
"How to Apply a Foam Latex Prosthetic",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Learn how to apply a foam latex prosthetic, and blend and paint it to create a realistic special effect. Materials will be discussed and a pre-made prosthetic will be applied to a volunteer!  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
"How to Apply a Foam Latex Prosthetic",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Learn how to apply a foam latex prosthetic, and blend and paint it to create a realistic special effect. Materials will be discussed and a pre-made prosthetic will be applied to a volunteer!  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
"How to Apply a Foam Latex Prosthetic",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Learn how to apply a foam latex prosthetic, and blend and paint it to create a realistic special effect. Materials will be discussed and a pre-made prosthetic will be applied to a volunteer!  Speakers include:Melissa Ebbe - Track: Costuming  - Duration: 50 minutes - Audio/video needs: none ","Board of Regents",PUBLIC
