Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Ray Bradbury: A Fan Discussion",5/3/2019,16:00,5/3/2019,17:00,FALSE,"Bradbury's work crossed genre lines, publishing works in science fiction, fantasy, horror, and mystery. Come join other fans to discuss his work.  Speakers include:Sarah Elkins, Michael Cieslak - Track: Lit  - Duration: 1 hour ","Baldwin",PUBLIC
"The Importance of Animals",5/4/2019,09:00,5/4/2019,10:00,FALSE,"From sentient characters to plucky sidekicks, animals have been featured in SFF since its inception. This talk will discuss which animal characters work, which don't, and perhaps how to create your own believable, non-human characters.  Speakers include:Cassandra Morgan, Michael Cieslak - Track: Lit  - Duration: 1 hour ","Charlevoix A",PUBLIC
"Reading: Michael Cieslak and Nicole E. Castle",5/4/2019,10:00,5/4/2019,11:00,FALSE,"The authors read from their works.  Speakers include:Nicole e. Castle, Michael Cieslak - Track: Lit  - Duration: 1 hour ","Author Readings Room",PUBLIC
"Author Office Hours with Michael Cieslak and Mary Lynne Gibbs",5/4/2019,13:00,5/4/2019,14:00,FALSE,"Have a question about life, the universe, or publishing? Come chat with the author and find out all the answers to your burning questions.  Speakers include:Mary Lynne Gibbs, Michael Cieslak - Track: Lit  - Duration: 1 hour ","Writer's Block ",PUBLIC
"The Dark Side -- The Reanimation of Horror",5/4/2019,14:00,5/4/2019,15:00,FALSE,"There has been a resurgence of dark speculative fiction in the past few years. Numerous movies and television programs have appeared including many created by specific platforms (Amazon Prime, Netflix). What is behind this reappearance of horror, or has it been there lurking in the shadows all along?  Speakers include:Nicole e. Castle, Michael Cieslak - Track: Media  - Duration: 1 hour ","Charlevoix A",PUBLIC
"Podcasts for Readers",5/4/2019,15:00,5/4/2019,16:00,FALSE,"There are now a slew of book related podcasts! How do you find the one which fits your needs? Are you looking for recommendations, reviews, publishing news, or bookish news?  Speakers include:Michael Cieslak - Track: Lit  - Duration: 1 hour ","Montcalm",PUBLIC
"Authors Should Play with Dead Things",5/4/2019,17:00,5/4/2019,18:00,FALSE,"Vampires, werewolves, demons, for centuries they have been the villains of our tales...but what if you want to write them as heroes? The panel will discuss the creation of believable supernatural characters and the worlds they populate.  Speakers include:Nicole e. Castle, Mary Lynne Gibbs, Michael Cieslak, Colleen Nye - Track: Lit  - Duration: 1 hour ","Baldwin",PUBLIC
"Finding Your Next Book",5/4/2019,18:00,5/4/2019,19:00,FALSE,"Where do you go when you need a recommendation for your next book/graphic novel/series? The panel will discuss numerous possibilities including Amazon recommendations, Goodreads, podcasts, literary magazines, and good old word of mouth.  Speakers include:Mary Lynne Gibbs, Michael Cieslak - Track: Lit  - Duration: 1 hour ","Baldwin",PUBLIC
"You're Only as Good as Your Villain is Bad",5/5/2019,09:00,5/5/2019,10:00,FALSE,"Every good heroine needs an appropriate villain. We've all heard the old saw that everyone is the hero in their own story, but what goes in to writing a believable villain? Come explore the dark side!  Speakers include:Cassandra Morgan, Michael Cieslak - Track: Lit  - Duration: 1 hour ","Nicolet",PUBLIC
"Categorizing and Classification: Are Genres Still a Thing?",5/5/2019,10:00,5/5/2019,11:00,FALSE,"Sci-Fi. Fantasy. Horror. How well does what you are reading, watching, or perhaps creating, fall into these broad categories? Then there are all of the numerous sub-genres which make up the speculative fiction spectrum. The panel discusses the uses and perhaps misuses of classifying a work into one or more genres.  Speakers include:Mary Lynne Gibbs, Michael Cieslak - Track: Lit  - Duration: 1 hour ","Algonquin B",PUBLIC
