Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Self-Publishing 2019",5/4/2019,09:00,5/4/2019,10:00,FALSE,"Self-publishing is no longer the hot new way to publish. It's not quite mature, but the options and tools have dramatically increased. It's not just 'shove a book up on Amazon and profit;' we can sell hardcovers in Malaysia and audiobooks in China. Is self-publishing for you? What tools do you need? What works? What used to work, but doesn't anymore? How do you self-publish? SHOULD you self-publish? Would pro basketball be a better career goal? Come find out!  Speakers include:Michael W. Lucas, Colleen Nye - Track: Lit  - Duration: 1 hour ","Nicolet",PUBLIC
"Author Office Hours with Michael W. Lucas",5/4/2019,10:00,5/4/2019,11:00,FALSE,"Have a question about life, the universe, or publishing? Come chat with the author and find out all the answers to your burning questions.  Speakers include:Michael W. Lucas - Track: Lit  - Duration: 1 hour ","Writer's Block ",PUBLIC
"Blocking Writer's Block",5/4/2019,11:00,5/4/2019,12:00,FALSE,"The dreaded writer's block. What is it, and how do you get rid of it? Our panelists will ponder this pernicious plague upon creativity, and how to root it out of your writing practice. Writer's block can be beaten. We've done it.  Speakers include:Vik K. Walker, Fred Paffhausen, Michael W. Lucas, Colleen Nye - Track: Lit  - Duration: 1 hour ","Baldwin",PUBLIC
"Reading: Michael W. Lucas",5/4/2019,12:00,5/4/2019,13:00,FALSE,"The authors read from their works.  Speakers include:Michael W. Lucas - Track: Lit  - Duration: 1 hour ","Author Readings Room",PUBLIC
"Improving your Writing",5/4/2019,13:00,5/4/2019,14:00,FALSE,"Writing is one of the hardest crafts to learn, and measuring improvement is nearly impossible. How do you improve your writing? What methods have worked for us, and which failed miserably? How did our panelists achieve success? If we can improve, so can you.  Speakers include:Vik K. Walker, Michael W. Lucas, Colleen Nye - Track: Lit  - Duration: 1 hour ","Baldwin",PUBLIC
"FreeBSD Containerization: Jails",5/4/2019,17:00,5/4/2019,18:00,FALSE,"FreeBSD's jails are the oldest open source virtualization system, and perhaps the least well understood. What are jails? How are they different from Linux and Solaris containers? What can you do with jails, and why? What are these virtual network stacks? How can you run Linux in a jail? How many questions can Lucas ask? Will he answer them? Come find out? Talk based on Lucas' new book, 'FreeBSD Mastery: Jails,' which should be released at Penguicon.  Speakers include:Michael W. Lucas - Track: Tech  - Duration: 1 hour ","Nicolet",PUBLIC
"The Fediverse: Decentralized Social Networking",5/4/2019,19:00,5/4/2019,20:00,FALSE,"The Fediverse is a loose association of independent, privately owned, interoperable social media servers. How can this possibly work? Multiple implementations like gnu.social, Mastodon, PixelFed, and more allow you to build your own online community that the big social media companies can't touch. Come learn how this works, how different servers define their culture, how to find the right server for you, and what it takes to run your own server.  Speakers include:Edward L. Platt, Matt Arnold, Michael W. Lucas, Mark Felder - Track: Tech  - Duration: 1 hour ","Charlevoix A",PUBLIC
"Ed: The Standard Unix Text Editor",5/4/2019,20:00,5/4/2019,21:00,FALSE,"The people who wrote primordial Unix were smarter than any of us. And their text editor proves it. Not only that, but their text editor is still useful today. Come learn how to use Ed, the Standard Unix Text Editor. See how early Unix design decisions stick with us today, and how temporary solutions last forever. You'll leave with knowledge of a tool you'll hope you'll never need, but when you truly need it you'll be glad it's there.  Speakers include:Michael W. Lucas - Track: Tech  - Duration: 1 hour ","Computer Lab [Charlevoix C]",PUBLIC
"Why Techie Nerds Should Write Books",5/5/2019,10:00,5/5/2019,11:00,FALSE,"Writing a book is a positive step in professional development. It establishes you as 'an expert,' it answers the 'communication skills' question on job applications, and can be the springboard to independence.  Speakers include:Clif Flynt, Michael W. Lucas - Track: Tech  - Duration: 1 hour ","EMC III",PUBLIC
"Senior Sysadmin Ethics Panel",5/5/2019,11:00,5/5/2019,12:00,FALSE,"System and network administrators have access to all sorts of data that they really shouldn't. Except when you should. Except when you're happier not knowing. And sometimes, there's no right answer. There's nobody on your side. It's just you, a computer, and a decision that you're going to have to live with. The panelists have all been in technology for multiple decades. We've been in horrible spots and had to make hard decisions. We've made all the mistakes, so you don't have to.  Speakers include:Michael W. Lucas, Wayne Pederson - Track: Tech  - Duration: 1 hour ","Charlevoix A",PUBLIC
"Cashflow for Writers and Other Creative Businesses",5/5/2019,13:00,5/5/2019,14:00,FALSE,"You've achieved your dream, and turned your love into a business. Congratulations! Now you'll learn why most businesses fail in the first year. This mysterious 'cashflow' thing destroys more dreams than any other. The presenter is a full-time writer, and hence easily confused by 'checkbooks' and 'ledgers' and all that messy accounting stuff. He also has a deep aversion to visits from the IRS. Despite all this, he's managed to break down cash flow in a way that even he can understand it. You'll leave with a sufficient understanding of cash flow to run your own small business. All you'll need is a product! And customers.  Speakers include:Michael W. Lucas - Track: Lit  - Duration: 1 hour ","Nicolet",PUBLIC
