Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"2014's Con Chair Roast",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Our fearless leader has finally found something to fear - a roasting by his friends and underlings! It's probably all in good fun, but don't expect everyone to be sober.  Speakers include:Nuri Gocay, Greg Williams, James Gamble, Britain Woodman, Rathbone the Pirate - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: none ","Algonquin D",PUBLIC
"So This is Your First Penguicon?",4/24/2015,17:00,4/24/2015,17:50,FALSE,"Our chair, Nuri, will talk about how he first joined Penguicon, and give you a tour of what's awesome (everything!) here. If you're new to Penguicon and you want to get to know the event, this is the panel for you!  Speakers include:Nuri Gocay - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"Opening Ceremonies",4/24/2015,18:00,4/24/2015,18:50,FALSE,"Join our con chair, Nuri Gocay, the Con Committee, and our Guests of Honor as we open this bad boy up for the weekend. You never know what surprises might be in store!  Speakers include:Janet Gocay, Scott Kennedy, Lucy Kennedy, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Christine Bender, Aral Balkan, Annalee Newitz, Albert Manero, ,Charlie Jane Anders, Ivan Owen, Aaron Brown - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: Microphone, Sound System ","Algonquin B/C",PUBLIC
"Flirting for Geeks",4/25/2015,20:00,4/25/2015,20:50,FALSE,"Come learn how to (and how not to) flirt from some of our local fandom's biggest flirts. Not only is it laugh-out-loud funny, it's an irreverent and honest reflection of love, sex, and fandom. Find ways to woo, methods for making friends, and how to avoid being that creepy guy that we all talk about between conventions.  Speakers include:Greg Williams, Nuri Gocay, Bob Waltenspiel, Dave Phillips - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"2014's Con Chair Roast",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Our fearless leader has finally found something to fear - a roasting by his friends and underlings! It's probably all in good fun, but don't expect everyone to be sober.  Speakers include:Nuri Gocay, Greg Williams, James Gamble, Britain Woodman, Rathbone the Pirate - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: none ","Algonquin D",PUBLIC
"DIY Infusions and Liqueurs",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Come see techniques for making homemade infusions and liqueurs! Techniques involving fruit, herbs and spices, alcohol bases, and sweeteners will be included. Must be 21+ to participate.  Speakers include:Heather Fish, Nuri Gocay - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","Food [Room 1017]",PUBLIC
"Flirting for Geeks",4/25/2015,20:00,4/25/2015,20:50,FALSE,"Come learn how to (and how not to) flirt from some of our local fandom's biggest flirts. Not only is it laugh-out-loud funny, it's an irreverent and honest reflection of love, sex, and fandom. Find ways to woo, methods for making friends, and how to avoid being that creepy guy that we all talk about between conventions.  Speakers include:Greg Williams, Nuri Gocay, Bob Waltenspiel, Dave Phillips - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"Closing Ceremonies",4/26/2015,16:00,4/26/2015,16:50,FALSE,"As we officially shut down another amazing, exciting year for Penguicon, come hear about how it went, and what we've got our eye on for next year.  Speakers include:Janet Gocay, Scott Kennedy, Lucy Kennedy, Nuri Gocay, Cylithria Dubois, Amanda Long-Adams, Amanda Robinson, Christine Bender, Aral Balkan, Annalee Newitz, Albert Manero, Charlie Jane Anders, Ivan Owen, Aaron Brown - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: Microphone, Sound System ","Algonquin B/C",PUBLIC
"2014's Con Chair Roast",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Our fearless leader has finally found something to fear - a roasting by his friends and underlings! It's probably all in good fun, but don't expect everyone to be sober.  Speakers include:Nuri Gocay, Greg Williams, James Gamble, Britain Woodman, Rathbone the Pirate - Track: Penguicon Events  - Duration: 50 minutes - Audio/video needs: none ","Algonquin D",PUBLIC
"Flirting for Geeks",4/25/2015,20:00,4/25/2015,20:50,FALSE,"Come learn how to (and how not to) flirt from some of our local fandom's biggest flirts. Not only is it laugh-out-loud funny, it's an irreverent and honest reflection of love, sex, and fandom. Find ways to woo, methods for making friends, and how to avoid being that creepy guy that we all talk about between conventions.  Speakers include:Greg Williams, Nuri Gocay, Bob Waltenspiel, Dave Phillips - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
