Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"LN2 Volunteer Training",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Come learn how to make LN2 Ice Cream so you can volunteer to help!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"LN2 Fantasy and Science Fiction Ice Cream",4/24/2015,22:00,4/24/2015,23:50,FALSE,"Liquid nitrogen 'ice cream' featuring flavors found in your favorite Fantasy and Science Fiction Universes: Butterbeer, Pangalactic Gargleblaster, and Sonic Screwdriver. These flavors all include alcohol - 21+ only.  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton - Track: Food  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"Troubleshooting in Tech, Health, and Beyond",4/25/2015,9:00,4/25/2015,9:50,FALSE,"What do medical diagnoses and fixing build breaks have in common? Sarah (configuration management specialist) and Jennifer (medical doctor) will talk about approaches for figuring out whether something's wrong, what is wrong, and possible fixes/treatments. Bonus: how to ask for help (in a way that will help people help you!)  Speakers include:Jen Hamilton, Sarah Elkins - Track: Tech, Life  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin B",PUBLIC
"LN2 Inclusive Ice Cream",4/25/2015,13:00,4/25/2015,13:50,FALSE,"Liquid nitrogen 'ice cream' made with dairy and/or sugar alternatives (soda slushies, soy milk, coconut milk, agave nectar, stevia). Alternative ingredients also available at other LN2 sessions, just ask!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"LN2 Volunteer Training",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Come learn how to make LN2 Ice Cream so you can volunteer to help!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"LN2 Improvisational Ice Cream",4/25/2015,14:00,4/25/2015,15:50,FALSE,"Liquid nitrogen 'ice cream' made with flavors we have on hand! Feeling creative? Speak up and we'll see what we can do!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton - Track: Food  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"LN2 Fantasy and Science Fiction Ice Cream",4/24/2015,22:00,4/24/2015,23:50,FALSE,"Liquid nitrogen 'ice cream' featuring flavors found in your favorite Fantasy and Science Fiction Universes: Butterbeer, Pangalactic Gargleblaster, and Sonic Screwdriver. These flavors all include alcohol - 21+ only.  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton - Track: Food  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"Troubleshooting in Tech, Health, and Beyond",4/25/2015,9:00,4/25/2015,9:50,FALSE,"What do medical diagnoses and fixing build breaks have in common? Sarah (configuration management specialist) and Jennifer (medical doctor) will talk about approaches for figuring out whether something's wrong, what is wrong, and possible fixes/treatments. Bonus: how to ask for help (in a way that will help people help you!)  Speakers include:Jen Hamilton, Sarah Elkins - Track: Tech, Life  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin B",PUBLIC
"PowerPoint Improv",4/25/2015,20:00,4/25/2015,20:50,FALSE,"Volunteer presenters pick a slide deck they've never seen before from a list of titles on a variety of topics, and improv a comedic or serious presentation for up to 5 minutes. They don't have to stick to the slides, as they're just a prop! Audience members then ask questions about each presentation, or about the price of tea in China -- they can improv, too! As improvisations accumulate, we can build off each others' topics and Q&A sessions. Come play with us!  Speakers include:Sarah Elkins, Cylithria Dubois - Track: Gaming  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"LN2 Inclusive Ice Cream",4/25/2015,13:00,4/25/2015,13:50,FALSE,"Liquid nitrogen 'ice cream' made with dairy and/or sugar alternatives (soda slushies, soy milk, coconut milk, agave nectar, stevia). Alternative ingredients also available at other LN2 sessions, just ask!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"LN2 Improvisational Ice Cream",4/25/2015,14:00,4/25/2015,15:50,FALSE,"Liquid nitrogen 'ice cream' made with flavors we have on hand! Feeling creative? Speak up and we'll see what we can do!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landau, Jen Hamilton - Track: Food  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
