Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"You Can't Kill The Undead",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Year after year we wonder if this will be the year that people get sick of zombies and vampires. Year after year we get a resounding no from the audience. Join us as we explore the most recent explorations of the undead and brainstorm with us, wondering what may be on the horizon: angels, ghosts, demons?  Speakers include:Nicole Castle, Mary Lynne Gibbs, Michael Cieslak, Sarah Hans, Ken MacGregor, Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"Author Reading: Jen Haeger and Sarah Hans",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Join author and veterinarian Jen Haeger and author/editor Sarah Hans while they read and discuss their latest works.   Speakers include:Jen Haeger, Sarah Hans - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"You Can't Kill The Undead",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Year after year we wonder if this will be the year that people get sick of zombies and vampires. Year after year we get a resounding no from the audience. Join us as we explore the most recent explorations of the undead and brainstorm with us, wondering what may be on the horizon: angels, ghosts, demons?  Speakers include:Nicole Castle, Mary Lynne Gibbs, Michael Cieslak, Sarah Hans, Ken MacGregor, Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"Crowdfunding Your Way to Success",4/26/2015,14:00,4/26/2015,15:50,FALSE,"Crowdfunding has taken the world by storm. Learn about the different types of crowdfunding and the ways they can help your project become a reality.  Speakers include:Maggie Maiville, Sarah Hans - Track: Literature, Videogaming, Gaming, Webcomics  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"You Can't Kill The Undead",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Year after year we wonder if this will be the year that people get sick of zombies and vampires. Year after year we get a resounding no from the audience. Join us as we explore the most recent explorations of the undead and brainstorm with us, wondering what may be on the horizon: angels, ghosts, demons?  Speakers include:Nicole Castle, Mary Lynne Gibbs, Michael Cieslak, Sarah Hans, Ken MacGregor, Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"Author Reading: Jen Haeger and Sarah Hans",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Join author and veterinarian Jen Haeger and author/editor Sarah Hans while they read and discuss their latest works.   Speakers include:Jen Haeger, Sarah Hans - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Crowdfunding Your Way to Success",4/26/2015,14:00,4/26/2015,15:50,FALSE,"Crowdfunding has taken the world by storm. Learn about the different types of crowdfunding and the ways they can help your project become a reality.  Speakers include:Maggie Maiville, Sarah Hans - Track: Literature, Videogaming, Gaming, Webcomics  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"How to do Dystopia",4/25/2015,10:00,4/25/2015,10:50,FALSE,"The Hunger Games, Divergent, Mad Max -- dystopian settings are populating books shelves and movie theaters, especially when it comes to the Young Adult market. The panel will discuss the popularity of the dystopian future and what makes one believable.  Speakers include:Sarah Hans, Janea Schimmel, Sean M. Davis, Steven Saus - Track: Literature, Film  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Crowdfunding Your Way to Success",4/26/2015,14:00,4/26/2015,15:50,FALSE,"Crowdfunding has taken the world by storm. Learn about the different types of crowdfunding and the ways they can help your project become a reality.  Speakers include:Maggie Maiville, Sarah Hans - Track: Literature, Videogaming, Gaming, Webcomics  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"Author Reading: Jen Haeger and Sarah Hans",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Join author and veterinarian Jen Haeger and author/editor Sarah Hans while they read and discuss their latest works.   Speakers include:Jen Haeger, Sarah Hans - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Author Reading: Jen Haeger and Sarah Hans",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Join author and veterinarian Jen Haeger and author/editor Sarah Hans while they read and discuss their latest works.   Speakers include:Jen Haeger, Sarah Hans - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Making the Fantastic Believable",4/25/2015,13:00,4/25/2015,13:50,FALSE,"Ghosts, lycanthropes, robots, elves, even vampires that sparkle in the sunlight, what does it take to make the utterly fantastic believable to your readers? The panel will discuss the research and decision process which goes into making good (or in some cases ridiculous) characters.  Speakers include:Michael Cieslak, Sarah Hans, Steven Saus, Skeeter Enright, Christian Klaver, Karl Schroeder - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
